date,year_low
"March 19, 2020",285.00
"March 18, 2020",285.00
"March 17, 2020",285.00
"March 16, 2020",285.00
"March 13, 2020",292.53
"March 12, 2020",292.53
"March 11, 2020",292.53
"March 10, 2020",292.53
"March 9, 2020",292.53
"March 6, 2020",292.53
"March 5, 2020",292.53
"March 4, 2020",292.53
"March 3, 2020",292.53
"March 2, 2020",292.53
"Feb. 28, 2020",292.53
"Feb. 27, 2020",292.53
"Feb. 26, 2020",292.53
"Feb. 25, 2020",292.53
"Feb. 24, 2020",292.53
"Feb. 21, 2020",292.53
"Feb. 20, 2020",292.53
"Feb. 19, 2020",292.53
"Feb. 18, 2020",292.53
"Feb. 14, 2020",292.53
"Feb. 13, 2020",292.53
"Feb. 12, 2020",292.53
"Feb. 11, 2020",292.53
"Feb. 10, 2020",292.53
"Feb. 7, 2020",292.53
"Feb. 6, 2020",292.53
"Feb. 5, 2020",292.53
"Feb. 4, 2020",292.53
"Feb. 3, 2020",290.11
"Jan. 31, 2020",289.20
"Jan. 30, 2020",287.78
"Jan. 29, 2020",286.77
"Jan. 28, 2020",281.00
"Jan. 27, 2020",281.00
"Jan. 24, 2020",281.00
"Jan. 23, 2020",281.00
"Jan. 22, 2020",280.50
"Jan. 21, 2020",278.00
"Jan. 17, 2020",278.00
"Jan. 16, 2020",270.84
"Jan. 15, 2020",270.63
"Jan. 14, 2020",270.63
"Jan. 13, 2020",270.63
"Jan. 10, 2020",270.63
"Jan. 9, 2020",269.50
"Jan. 8, 2020",269.13
"Jan. 7, 2020",267.81
"Jan. 6, 2020",263.86
"Jan. 3, 2020",260.34
"Jan. 2, 2020",257.38
"Dec. 31, 2019",256.79
"Dec. 30, 2019",256.79
"Dec. 27, 2019",256.79
"Dec. 26, 2019",248.20
"Dec. 24, 2019",241.18
"Dec. 23, 2019",241.18
"Dec. 20, 2019",241.18
"Dec. 19, 2019",241.18
"Dec. 18, 2019",241.18
"Dec. 17, 2019",241.18
"Dec. 16, 2019",241.18
"Dec. 13, 2019",241.18
"Dec. 12, 2019",241.18
"Dec. 11, 2019",241.18
"Dec. 10, 2019",241.18
"Dec. 9, 2019",241.18
"Dec. 6, 2019",241.18
"Dec. 5, 2019",241.18
"Dec. 4, 2019",241.18
"Dec. 3, 2019",241.18
"Dec. 2, 2019",241.18
"Nov. 29, 2019",241.18
"Nov. 27, 2019",241.18
"Nov. 26, 2019",241.18
"Nov. 25, 2019",241.18
"Nov. 22, 2019",241.18
