date,altman_z_score
"Dec. 31, 2019",3.132
"Sept. 30, 2019",3.090
"June 30, 2019",3.011
"March 31, 2019",2.970
"Dec. 31, 2018",2.907
"Sept. 30, 2018",3.175
"June 30, 2018",2.960
"March 31, 2018",3.203
"Dec. 31, 2017",3.447
"Sept. 30, 2017",3.207
"June 30, 2017",3.342
"March 31, 2017",3.107
"Dec. 31, 2016",3.176
"Sept. 30, 2016",2.882
"June 30, 2016",3.010
"March 31, 2016",3.039
"Dec. 31, 2015",3.110
"Sept. 30, 2015",2.902
"June 30, 2015",2.691
"March 31, 2015",2.922
"Dec. 31, 2014",2.995
"Sept. 30, 2014",2.679
"June 30, 2014",2.365
"March 31, 2014",2.260
"Dec. 31, 2013",2.188
"Sept. 30, 2013",1.993
"June 30, 2013",1.832
"March 31, 2013",1.867
"Dec. 31, 2012",1.857
"Sept. 30, 2012",1.808
"June 30, 2012",1.816
"March 31, 2012",1.727
"Dec. 31, 2011",1.719
"Sept. 30, 2011",1.606
"June 30, 2011",1.732
"March 31, 2011",2.055
"Dec. 31, 2010",2.169
"Sept. 30, 2010",2.154
"June 30, 2010",1.911
"March 31, 2010",2.028
"Dec. 31, 2009",1.927
"Sept. 30, 2009",1.722
"June 30, 2009",1.546
"March 31, 2009",1.594
"Dec. 31, 2008",1.772
"Sept. 30, 2008",1.653
"June 30, 2008",1.345
"March 31, 2008",1.587
"Dec. 31, 2007",1.719
"Sept. 30, 2007",2.062
"June 30, 2007",2.012
"March 31, 2007",2.136
"Dec. 31, 2006",2.354
"Sept. 30, 2006",3.105
"June 30, 2006",2.792
"March 31, 2006",2.940
"Dec. 31, 2005",3.000
"Sept. 30, 2005",1.054
"June 30, 2005",0.9804
"March 31, 2005",0.9968
"Dec. 31, 2004",1.017
"Sept. 30, 2004",2.749
"June 30, 2004",2.939
"March 31, 2004",2.525
"Dec. 31, 2003",
"Sept. 30, 2003",1.704
"June 30, 2003",1.728
"March 31, 2003",1.634
"Dec. 31, 2002",1.429
"Sept. 30, 2002",2.671
"June 30, 2002",2.869
"March 31, 2002",3.043
"Dec. 31, 2001",2.779
"Sept. 30, 2001",3.370
"June 30, 2001",4.030
"March 31, 2001",4.143
"Dec. 31, 2000",
"Sept. 30, 2000",1.89
"June 30, 2000",1.497
"March 31, 2000",1.829
"Dec. 31, 1999",1.807
"Sept. 30, 1999",1.968
"June 30, 1999",2.556
"March 31, 1999",2.560
"Dec. 31, 1998",1.982
"Sept. 30, 1998",1.722
"June 30, 1998",1.617
"March 31, 1998",1.581
"Dec. 31, 1997",1.260
"Sept. 30, 1997",0.9453
"June 30, 1997",0.6038
"March 31, 1997",0.4983
"Dec. 31, 1996",0.438
"Sept. 30, 1996",1.565
"June 30, 1996",1.790
"March 31, 1996",1.816
"Dec. 31, 1995",1.538
"Sept. 30, 1995",1.587
"June 30, 1995",1.484
"March 31, 1995",1.234
"Dec. 31, 1994",1.668
"Sept. 30, 1994",2.438
"June 30, 1994",2.887
"March 31, 1994",3.541
"Dec. 31, 1993",3.762
"Sept. 30, 1993",3.628
"June 30, 1993",3.247
"March 31, 1993",3.018
"Dec. 31, 1992",2.575
"Sept. 30, 1992",2.250
"June 30, 1992",2.177
"March 31, 1992",2.110
"Dec. 31, 1991",1.980
"Sept. 30, 1991",1.784
"June 30, 1991",1.924
"March 31, 1991",2.092
"Dec. 31, 1990",1.906
"Sept. 30, 1990",1.831
"June 30, 1990",1.850
"March 31, 1990",1.823
"Dec. 31, 1989",1.895
"Sept. 30, 1989",0.6703
"June 30, 1989",1.145
"March 31, 1989",1.589
"Dec. 31, 1988",1.890
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.795
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",2.082
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",2.274
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",3.041
