date,pe_ratio
"March 19, 2020",7.210
"March 18, 2020",8.213
"March 17, 2020",8.937
"March 16, 2020",8.766
"March 13, 2020",9.645
"March 12, 2020",8.428
"March 11, 2020",9.928
"March 10, 2020",10.64
"March 9, 2020",10.19
"March 6, 2020",10.68
"March 5, 2020",10.57
"March 4, 2020",10.96
"March 3, 2020",10.56
"March 2, 2020",10.97
"Feb. 28, 2020",10.79
"Feb. 27, 2020",10.89
"Feb. 26, 2020",11.43
"Feb. 25, 2020",11.60
"Feb. 24, 2020",12.64
"Feb. 21, 2020",13.21
"Feb. 20, 2020",13.30
"Feb. 19, 2020",13.34
"Feb. 18, 2020",13.46
"Feb. 14, 2020",13.54
"Feb. 13, 2020",13.68
"Feb. 12, 2020",13.66
"Feb. 11, 2020",13.54
"Feb. 10, 2020",13.42
"Feb. 7, 2020",13.38
"Feb. 6, 2020",13.49
"Feb. 5, 2020",13.31
"Feb. 4, 2020",13.01
"Feb. 3, 2020",12.90
"Jan. 31, 2020",12.85
"Jan. 30, 2020",13.04
"Jan. 29, 2020",13.29
"Jan. 28, 2020",13.46
"Jan. 27, 2020",13.14
"Jan. 24, 2020",13.21
"Jan. 23, 2020",12.94
"Jan. 22, 2020",12.50
"Jan. 21, 2020",12.51
"Jan. 17, 2020",12.85
"Jan. 16, 2020",12.92
"Jan. 15, 2020",12.86
"Jan. 14, 2020",12.73
"Jan. 13, 2020",12.61
"Jan. 10, 2020",12.60
"Jan. 9, 2020",12.69
"Jan. 8, 2020",12.70
"Jan. 7, 2020",12.68
"Jan. 6, 2020",12.65
"Jan. 3, 2020",12.70
"Jan. 2, 2020",12.81
"Dec. 31, 2019",12.61
"Dec. 30, 2019",12.10
"Dec. 27, 2019",12.15
"Dec. 26, 2019",12.28
"Dec. 24, 2019",12.29
"Dec. 23, 2019",12.36
"Dec. 20, 2019",12.22
"Dec. 19, 2019",12.10
"Dec. 18, 2019",11.99
"Dec. 17, 2019",12.12
"Dec. 16, 2019",12.16
"Dec. 13, 2019",12.11
"Dec. 12, 2019",12.19
"Dec. 11, 2019",12.08
"Dec. 10, 2019",12.28
