date,revenue_per_employee_annual
"Dec. 31, 2019",375050.2
"Dec. 31, 2018",382332.5
"Dec. 31, 2017",385875.9
"Dec. 31, 2016",393579.0
"Dec. 31, 2015",413442.1
"Dec. 31, 2014",408411.9
"Dec. 31, 2013",390310.1
"Dec. 31, 2012",374519.2
"Dec. 31, 2011",390021.5
"Dec. 31, 2010",347681.2
"Dec. 31, 2009",294766.8
"Dec. 31, 2008",315497.2
"Dec. 31, 2007",294173.8
"Dec. 31, 2006",282204.6
"Dec. 31, 2005",241759.6
"Dec. 31, 2004",204516.3
"Dec. 31, 2003",178416.9
"Dec. 31, 2002",169166.0
"Dec. 31, 2001",182573.8
"Dec. 31, 2000",198499.8
"Dec. 31, 1999",177056.7
"Dec. 31, 1998",167167.7
"Dec. 31, 1997",162701.8
"Dec. 31, 1996",158881.0
"Dec. 31, 1995",163655.0
"Dec. 31, 1994",170800.7
"Dec. 31, 1993",169030.4
"Dec. 31, 1992",154761.7
"Dec. 31, 1991",142798.1
"Dec. 31, 1990",138491.2
