date,altman_z_score
"Dec. 31, 2019",1.562
"Sept. 30, 2019",1.539
"June 30, 2019",1.184
"March 31, 2019",1.457
"Dec. 31, 2018",1.344
"Sept. 30, 2018",1.541
"June 30, 2018",1.496
"March 31, 2018",1.352
"Dec. 31, 2017",1.520
"Sept. 30, 2017",1.621
"June 30, 2017",1.588
"March 31, 2017",1.574
"Dec. 31, 2016",1.454
"Sept. 30, 2016",1.354
"June 30, 2016",0.6542
"March 31, 2016",0.439
"Dec. 31, 2015",0.4361
"Sept. 30, 2015",0.8527
"June 30, 2015",1.815
"March 31, 2015",2.061
"Dec. 31, 2014",1.986
"Sept. 30, 2014",1.896
"June 30, 2014",1.974
"March 31, 2014",1.994
"Dec. 31, 2013",2.059
"Sept. 30, 2013",1.787
"June 30, 2013",1.614
"March 31, 2013",2.115
"Dec. 31, 2012",2.394
"Sept. 30, 2012",1.752
"June 30, 2012",2.294
"March 31, 2012",2.358
"Dec. 31, 2011",2.428
"Sept. 30, 2011",3.502
"June 30, 2011",3.585
"March 31, 2011",3.716
"Dec. 31, 2010",3.777
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",3.681
"Dec. 31, 2009",3.602
"Sept. 30, 2009",3.594
"June 30, 2009",3.946
"March 31, 2009",4.675
"Dec. 31, 2008",5.021
"Sept. 30, 2008",5.216
"June 30, 2008",4.98
"March 31, 2008",4.495
"Dec. 31, 2007",4.313
"Sept. 30, 2007",4.275
"June 30, 2007",4.464
"March 31, 2007",4.363
"Dec. 31, 2006",4.660
"Sept. 30, 2006",4.550
"June 30, 2006",4.735
"March 31, 2006",4.889
"Dec. 31, 2005",4.982
"Sept. 30, 2005",4.767
"June 30, 2005",4.786
"March 31, 2005",4.485
"Dec. 31, 2004",3.956
"Sept. 30, 2004",3.673
"June 30, 2004",3.386
"March 31, 2004",2.936
"Dec. 31, 2003",2.948
"Sept. 30, 2003",2.799
"June 30, 2003",2.676
"March 31, 2003",2.531
"Dec. 31, 2002",2.471
"Sept. 30, 2002",2.300
"June 30, 2002",2.340
"March 31, 2002",3.016
"Dec. 31, 2001",3.329
"Sept. 30, 2001",3.186
"June 30, 2001",3.320
"March 31, 2001",3.078
"Dec. 31, 2000",2.800
"Sept. 30, 2000",3.680
"June 30, 2000",3.338
"March 31, 2000",3.084
"Dec. 31, 1999",2.750
"Sept. 30, 1999",2.490
"June 30, 1999",2.248
"March 31, 1999",2.223
"Dec. 31, 1998",2.405
"Sept. 30, 1998",2.223
"June 30, 1998",2.141
"March 31, 1998",2.157
"Dec. 31, 1997",2.260
"Sept. 30, 1997",2.403
"June 30, 1997",2.285
"March 31, 1997",2.218
"Dec. 31, 1996",2.028
"Sept. 30, 1996",1.816
"June 30, 1996",1.801
"March 31, 1996",1.787
"Dec. 31, 1995",1.784
"Sept. 30, 1995",1.698
"June 30, 1995",1.811
"March 31, 1995",1.814
"Dec. 31, 1994",1.835
"Sept. 30, 1994",1.900
"June 30, 1994",1.866
"March 31, 1994",1.860
"Dec. 31, 1993",1.842
"Sept. 30, 1993",2.217
"June 30, 1993",2.090
"March 31, 1993",2.141
"Dec. 31, 1992",2.105
"Sept. 30, 1992",1.789
"June 30, 1992",1.860
"March 31, 1992",1.701
"Dec. 31, 1991",1.491
"Sept. 30, 1991",1.581
"June 30, 1991",1.636
"March 31, 1991",2.036
"Dec. 31, 1990",1.898
"Sept. 30, 1990",2.015
"June 30, 1990",1.945
"March 31, 1990",2.492
"Dec. 31, 1989",2.916
"Sept. 30, 1989",1.163
"June 30, 1989",
"March 31, 1989",
"Dec. 31, 1988",1.396
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.305
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",1.353
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",1.806
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",1.832
