date,ca_score
"Dec. 31, 2019",-0.5518
"Sept. 30, 2019",-0.5133
"June 30, 2019",-0.5728
"March 31, 2019",-0.496
"Dec. 31, 2018",-0.4636
"Sept. 30, 2018",-0.6048
"June 30, 2018",-0.6487
"March 31, 2018",-0.6336
"Dec. 31, 2017",-0.5458
"Sept. 30, 2017",-0.3774
"June 30, 2017",-0.3316
"March 31, 2017",-0.4273
"Dec. 31, 2016",-0.6364
"Sept. 30, 2016",-0.8636
"June 30, 2016",-1.688
"March 31, 2016",-1.548
"Dec. 31, 2015",-1.366
"Sept. 30, 2015",-1.030
"June 30, 2015",-0.2266
"March 31, 2015",-0.1499
"Dec. 31, 2014",-0.0721
"Sept. 30, 2014",-0.0835
"June 30, 2014",-0.062
"March 31, 2014",0.0133
"Dec. 31, 2013",0.0513
"Sept. 30, 2013",0.0123
"June 30, 2013",0.1154
"March 31, 2013",0.3974
"Dec. 31, 2012",0.6926
"Sept. 30, 2012",0.3266
"June 30, 2012",0.4889
"March 31, 2012",0.461
"Dec. 31, 2011",0.40
"Sept. 30, 2011",1.067
"June 30, 2011",0.9685
"March 31, 2011",0.9716
"Dec. 31, 2010",0.9621
"Sept. 30, 2010",1.106
"June 30, 2010",1.083
"March 31, 2010",1.028
"Dec. 31, 2009",0.9514
"Sept. 30, 2009",0.8323
"June 30, 2009",1.100
"March 31, 2009",1.461
"Dec. 31, 2008",1.702
"Sept. 30, 2008",1.773
"June 30, 2008",1.491
"March 31, 2008",1.280
"Dec. 31, 2007",1.109
"Sept. 30, 2007",1.079
"June 30, 2007",1.223
"March 31, 2007",1.212
"Dec. 31, 2006",1.317
"Sept. 30, 2006",1.318
"June 30, 2006",1.266
"March 31, 2006",1.422
"Dec. 31, 2005",1.357
"Sept. 30, 2005",1.289
"June 30, 2005",1.072
"March 31, 2005",0.7308
"Dec. 31, 2004",0.5788
"Sept. 30, 2004",0.3723
"June 30, 2004",0.2164
"March 31, 2004",0.0012
"Dec. 31, 2003",-0.0106
"Sept. 30, 2003",0.0171
"June 30, 2003",-0.0141
"March 31, 2003",-0.0516
"Dec. 31, 2002",-0.1714
"Sept. 30, 2002",-0.2224
"June 30, 2002",-0.1413
"March 31, 2002",0.1921
"Dec. 31, 2001",0.445
"Sept. 30, 2001",0.5565
"June 30, 2001",0.7324
"March 31, 2001",0.5661
"Dec. 31, 2000",0.4866
"Sept. 30, 2000",0.7125
"June 30, 2000",0.5215
"March 31, 2000",0.3076
"Dec. 31, 1999",0.0722
"Sept. 30, 1999",-0.0975
"June 30, 1999",-0.2084
"March 31, 1999",-0.1334
"Dec. 31, 1998",0.0024
"Sept. 30, 1998",0.0949
"June 30, 1998",0.2305
"March 31, 1998",0.2501
"Dec. 31, 1997",0.2923
"Sept. 30, 1997",0.4323
"June 30, 1997",0.3645
"March 31, 1997",0.3581
"Dec. 31, 1996",0.3347
"Sept. 30, 1996",0.1658
"June 30, 1996",0.163
"March 31, 1996",0.2062
"Dec. 31, 1995",0.2017
"Sept. 30, 1995",0.1651
"June 30, 1995",0.3035
"March 31, 1995",0.301
"Dec. 31, 1994",0.3745
"Sept. 30, 1994",0.4372
"June 30, 1994",0.4147
"March 31, 1994",0.482
"Dec. 31, 1993",0.5131
"Sept. 30, 1993",0.7044
"June 30, 1993",0.6139
"March 31, 1993",0.5488
"Dec. 31, 1992",0.4443
"Sept. 30, 1992",0.1063
"June 30, 1992",0.1972
"March 31, 1992",-0.1808
"Dec. 31, 1991",-0.2503
"Sept. 30, 1991",-0.408
"June 30, 1991",-0.4754
"March 31, 1991",-0.2357
"Dec. 31, 1990",-0.2914
"Sept. 30, 1990",-0.1037
"June 30, 1990",-0.2455
"March 31, 1990",0.5083
"Dec. 31, 1989",1.197
