date,eps_ttm
"Dec. 31, 2019",7.06
"Sept. 30, 2019",8.12
"June 30, 2019",1.90
"March 31, 2019",1.61
"Dec. 31, 2018",2.34
"Sept. 30, 2018",0.09
"June 30, 2018",-0.83
"March 31, 2018",-1.18
"Dec. 31, 2017",-1.80
"Sept. 30, 2017",-0.51
"June 30, 2017",-0.22
"March 31, 2017",-0.10
"Dec. 31, 2016",-1.60
"Sept. 30, 2016",-4.64
"June 30, 2016",-13.81
"March 31, 2016",-14.25
"Dec. 31, 2015",-13.17
"Sept. 30, 2015",-7.66
"June 30, 2015",2.97
"March 31, 2015",4.11
"Dec. 31, 2014",5.04
"Sept. 30, 2014",3.34
"June 30, 2014",3.48
"March 31, 2014",4.88
"Dec. 31, 2013",5.91
"Sept. 30, 2013",6.33
"June 30, 2013",5.98
"March 31, 2013",5.38
"Dec. 31, 2012",4.99
"Sept. 30, 2012",3.58
"June 30, 2012",4.51
"March 31, 2012",4.59
"Dec. 31, 2011",4.48
"Sept. 30, 2011",5.96
"June 30, 2011",4.92
"March 31, 2011",4.73
"Dec. 31, 2010",4.12
"Sept. 30, 2010",4.88
"June 30, 2010",4.81
"March 31, 2010",4.23
"Dec. 31, 2009",4.35
"Sept. 30, 2009",3.37
"June 30, 2009",5.43
"March 31, 2009",7.82
"Dec. 31, 2008",9.07
"Sept. 30, 2008",9.47
"June 30, 2008",7.47
"March 31, 2008",5.57
"Dec. 31, 2007",4.01
"Sept. 30, 2007",3.41
"June 30, 2007",3.55
"March 31, 2007",3.37
"Dec. 31, 2006",3.40
"Sept. 30, 2006",3.79
"June 30, 2006",3.84
"March 31, 2006",4.55
"Dec. 31, 2005",4.54
"Sept. 30, 2005",4.41
"June 30, 2005",3.81
"March 31, 2005",3.83
"Dec. 31, 2004",3.755
"Sept. 30, 2004",3.345
"June 30, 2004",3.085
"March 31, 2004",1.645
"Dec. 31, 2003",1.59
"Sept. 30, 2003",1.58
"June 30, 2003",1.415
"March 31, 2003",1.06
"Dec. 31, 2002",0.605
"Sept. 30, 2002",0.4474
"June 30, 2002",0.4699
"March 31, 2002",1.285
"Dec. 31, 2001",1.810
"Sept. 30, 2001",2.172
"June 30, 2001",2.442
"March 31, 2001",1.955
"Dec. 31, 2000",1.64
"Sept. 30, 2000",1.455
"June 30, 2000",1.242
"March 31, 2000",0.9275
"Dec. 31, 1999",0.665
"Sept. 30, 1999",-0.0051
"June 30, 1999",-0.2401
"March 31, 1999",-0.2051
"Dec. 31, 1998",-0.0801
"Sept. 30, 1998",0.4375
"June 30, 1998",0.6225
"March 31, 1998",0.6525
"Dec. 31, 1997",0.735
"Sept. 30, 1997",0.80
"June 30, 1997",0.80
"March 31, 1997",0.8025
"Dec. 31, 1996",0.7675
"Sept. 30, 1996",-0.385
"June 30, 1996",-0.5775
"March 31, 1996",-0.6175
"Dec. 31, 1995",-0.6625
"Sept. 30, 1995",0.3475
"June 30, 1995",0.5125
"March 31, 1995",0.55
"Dec. 31, 1994",0.5925
"Sept. 30, 1994",0.605
"June 30, 1994",0.51
"March 31, 1994",0.485
"Dec. 31, 1993",0.57
"Sept. 30, 1993",0.6325
"June 30, 1993",0.615
"March 31, 1993",0.675
"Dec. 31, 1992",0.5525
"Sept. 30, 1992",0.5525
"June 30, 1992",0.70
"March 31, 1992",-0.2625
"Dec. 31, 1991",-0.175
"Sept. 30, 1991",-0.22
"June 30, 1991",-0.185
"March 31, 1991",0.80
"Dec. 31, 1990",0.75
"Sept. 30, 1990",0.7725
"June 30, 1990",0.515
"March 31, 1990",0.4275
"Dec. 31, 1989",0.3425
