date,ev_ebitda
"March 19, 2020",2.347
"March 18, 2020",2.261
"March 17, 2020",2.346
"March 16, 2020",2.444
"March 13, 2020",2.545
"March 12, 2020",2.430
"March 11, 2020",2.536
"March 10, 2020",2.714
"March 9, 2020",2.694
"March 6, 2020",3.351
"March 5, 2020",3.575
"March 4, 2020",3.655
"March 3, 2020",3.634
"March 2, 2020",3.663
"Feb. 28, 2020",3.642
"Feb. 27, 2020",3.540
"Feb. 26, 2020",3.641
"Feb. 25, 2020",3.746
"Feb. 24, 2020",3.857
"Feb. 21, 2020",3.950
"Feb. 20, 2020",3.984
"Feb. 19, 2020",3.985
"Feb. 18, 2020",3.984
"Feb. 14, 2020",3.956
"Feb. 13, 2020",3.986
"Feb. 12, 2020",4.009
"Feb. 11, 2020",3.936
"Feb. 10, 2020",3.905
"Feb. 7, 2020",3.945
"Feb. 6, 2020",3.984
"Feb. 5, 2020",4.007
"Feb. 4, 2020",3.908
"Feb. 3, 2020",3.878
"Jan. 31, 2020",3.848
"Jan. 30, 2020",3.870
"Jan. 29, 2020",4.00
"Jan. 28, 2020",4.069
"Jan. 27, 2020",4.048
"Jan. 24, 2020",4.122
"Jan. 23, 2020",4.162
"Jan. 22, 2020",4.204
"Jan. 21, 2020",4.195
"Jan. 17, 2020",4.271
"Jan. 16, 2020",4.367
"Jan. 15, 2020",4.519
"Jan. 14, 2020",4.531
"Jan. 13, 2020",4.462
"Jan. 10, 2020",4.447
"Jan. 9, 2020",4.470
"Jan. 8, 2020",4.442
"Jan. 7, 2020",4.503
"Jan. 6, 2020",4.474
"Jan. 3, 2020",4.464
"Jan. 2, 2020",4.390
"Dec. 31, 2019",4.414
"Dec. 30, 2019",4.342
"Dec. 27, 2019",4.360
"Dec. 26, 2019",4.361
"Dec. 24, 2019",4.364
"Dec. 23, 2019",4.369
"Dec. 20, 2019",4.287
"Dec. 19, 2019",4.258
"Dec. 18, 2019",4.256
"Dec. 17, 2019",4.258
"Dec. 16, 2019",4.237
"Dec. 13, 2019",4.214
"Dec. 12, 2019",4.303
"Dec. 11, 2019",4.197
"Dec. 10, 2019",4.200
"Dec. 9, 2019",4.208
"Dec. 6, 2019",4.155
"Dec. 5, 2019",4.088
"Dec. 4, 2019",4.124
