date,ev_revenues
"March 19, 2020",1.344
"March 18, 2020",1.294
"March 17, 2020",1.342
"March 16, 2020",1.399
"March 13, 2020",1.457
"March 12, 2020",1.391
"March 11, 2020",1.451
"March 10, 2020",1.554
"March 9, 2020",1.542
"March 6, 2020",1.918
"March 5, 2020",2.046
"March 4, 2020",2.092
"March 3, 2020",2.080
"March 2, 2020",2.097
"Feb. 28, 2020",2.085
"Feb. 27, 2020",2.026
"Feb. 26, 2020",2.084
"Feb. 25, 2020",2.144
"Feb. 24, 2020",2.208
"Feb. 21, 2020",2.261
"Feb. 20, 2020",2.280
"Feb. 19, 2020",2.281
"Feb. 18, 2020",2.280
"Feb. 14, 2020",2.264
"Feb. 13, 2020",2.281
"Feb. 12, 2020",2.295
"Feb. 11, 2020",2.253
"Feb. 10, 2020",2.235
"Feb. 7, 2020",2.258
"Feb. 6, 2020",2.280
"Feb. 5, 2020",2.294
"Feb. 4, 2020",2.237
"Feb. 3, 2020",2.22
"Jan. 31, 2020",2.203
"Jan. 30, 2020",2.215
"Jan. 29, 2020",2.290
"Jan. 28, 2020",2.329
"Jan. 27, 2020",2.317
"Jan. 24, 2020",2.359
"Jan. 23, 2020",2.382
"Jan. 22, 2020",2.407
"Jan. 21, 2020",2.401
"Jan. 17, 2020",2.444
"Jan. 16, 2020",2.500
"Jan. 15, 2020",2.587
"Jan. 14, 2020",2.593
"Jan. 13, 2020",2.554
"Jan. 10, 2020",2.545
"Jan. 9, 2020",2.559
"Jan. 8, 2020",2.543
"Jan. 7, 2020",2.578
"Jan. 6, 2020",2.561
"Jan. 3, 2020",2.555
"Jan. 2, 2020",2.512
"Dec. 31, 2019",2.526
"Dec. 30, 2019",2.728
"Dec. 27, 2019",2.740
"Dec. 26, 2019",2.740
"Dec. 24, 2019",2.742
"Dec. 23, 2019",2.745
"Dec. 20, 2019",2.694
"Dec. 19, 2019",2.675
"Dec. 18, 2019",2.675
"Dec. 17, 2019",2.675
"Dec. 16, 2019",2.662
"Dec. 13, 2019",2.648
"Dec. 12, 2019",2.704
"Dec. 11, 2019",2.637
"Dec. 10, 2019",2.639
"Dec. 9, 2019",2.644
"Dec. 6, 2019",2.611
"Dec. 5, 2019",2.569
"Dec. 4, 2019",2.592
"Dec. 3, 2019",2.542
"Dec. 2, 2019",2.550
"Nov. 29, 2019",2.522
"Nov. 27, 2019",2.568
"Nov. 26, 2019",2.567
"Nov. 25, 2019",2.588
"Nov. 22, 2019",2.616
"Nov. 21, 2019",2.593
"Nov. 20, 2019",2.573
"Nov. 19, 2019",2.532
"Nov. 18, 2019",2.567
"Nov. 15, 2019",2.604
"Nov. 14, 2019",2.573
"Nov. 13, 2019",2.579
