date,historical_monthly_var_1_all
"Feb. 29, 2020",22.21%
"Jan. 31, 2020",22.22%
"Dec. 31, 2019",22.24%
"Nov. 30, 2019",22.26%
"Oct. 31, 2019",22.28%
"Sept. 30, 2019",22.21%
"Aug. 31, 2019",22.23%
"July 31, 2019",22.17%
"June 30, 2019",22.19%
"May 31, 2019",22.20%
"April 30, 2019",22.22%
"March 31, 2019",22.24%
"Feb. 28, 2019",22.26%
"Jan. 31, 2019",22.27%
"Dec. 31, 2018",22.13%
"Nov. 30, 2018",21.94%
"Oct. 31, 2018",21.95%
"Sept. 30, 2018",21.96%
"Aug. 31, 2018",21.96%
"July 31, 2018",21.97%
"June 30, 2018",21.98%
"May 31, 2018",21.98%
"April 30, 2018",21.99%
"March 31, 2018",22.00%
"Feb. 28, 2018",22.01%
"Jan. 31, 2018",21.40%
"Dec. 31, 2017",21.42%
"Nov. 30, 2017",21.43%
"Oct. 31, 2017",21.44%
"Sept. 30, 2017",21.45%
"Aug. 31, 2017",21.46%
"July 31, 2017",21.48%
"June 30, 2017",21.49%
"May 31, 2017",21.51%
"April 30, 2017",21.52%
"March 31, 2017",21.52%
"Feb. 28, 2017",21.52%
"Jan. 31, 2017",21.52%
"Dec. 31, 2016",21.52%
"Nov. 30, 2016",21.54%
"Oct. 31, 2016",21.57%
"Sept. 30, 2016",21.59%
"Aug. 31, 2016",21.61%
"July 31, 2016",21.63%
"June 30, 2016",21.64%
"May 31, 2016",21.65%
"April 30, 2016",21.66%
"March 31, 2016",21.67%
"Feb. 29, 2016",21.72%
"Jan. 31, 2016",21.65%
"Dec. 31, 2015",21.23%
"Nov. 30, 2015",20.08%
"Oct. 31, 2015",20.13%
"Sept. 30, 2015",20.14%
"Aug. 31, 2015",19.91%
"July 31, 2015",19.71%
"June 30, 2015",19.33%
"May 31, 2015",19.34%
"April 30, 2015",19.35%
"March 31, 2015",19.36%
"Feb. 28, 2015",19.37%
"Jan. 31, 2015",19.37%
"Dec. 31, 2014",19.39%
"Nov. 30, 2014",19.40%
"Oct. 31, 2014",19.41%
"Sept. 30, 2014",19.42%
"Aug. 31, 2014",19.43%
"July 31, 2014",19.44%
"June 30, 2014",19.44%
"May 31, 2014",19.44%
"April 30, 2014",19.45%
"March 31, 2014",19.51%
"Feb. 28, 2014",19.59%
"Jan. 31, 2014",19.67%
"Dec. 31, 2013",19.76%
"Nov. 30, 2013",19.83%
"Oct. 31, 2013",19.84%
"Sept. 30, 2013",19.85%
"Aug. 31, 2013",19.86%
"July 31, 2013",19.86%
"June 30, 2013",19.87%
"May 31, 2013",19.88%
"April 30, 2013",19.89%
"March 31, 2013",19.90%
"Feb. 28, 2013",19.91%
"Jan. 31, 2013",19.91%
"Dec. 31, 2012",19.91%
"Nov. 30, 2012",19.91%
"Oct. 31, 2012",19.91%
"Sept. 30, 2012",19.92%
"Aug. 31, 2012",19.97%
"July 31, 2012",20.02%
"June 30, 2012",20.06%
"May 31, 2012",20.11%
"April 30, 2012",20.13%
"March 31, 2012",20.14%
"Feb. 29, 2012",20.16%
"Jan. 31, 2012",20.17%
"Dec. 31, 2011",20.18%
"Nov. 30, 2011",20.21%
"Oct. 31, 2011",20.23%
"Sept. 30, 2011",20.26%
"Aug. 31, 2011",20.29%
"July 31, 2011",19.27%
"June 30, 2011",19.28%
"May 31, 2011",19.30%
"April 30, 2011",19.32%
"March 31, 2011",19.34%
"Feb. 28, 2011",19.34%
"Jan. 31, 2011",19.35%
"Dec. 31, 2010",19.36%
"Nov. 30, 2010",19.37%
"Oct. 31, 2010",19.38%
"Sept. 30, 2010",19.40%
"Aug. 31, 2010",19.41%
"July 31, 2010",19.43%
"June 30, 2010",19.44%
"May 31, 2010",19.51%
"April 30, 2010",19.59%
"March 31, 2010",19.68%
"Feb. 28, 2010",19.76%
"Jan. 31, 2010",19.83%
"Dec. 31, 2009",19.84%
"Nov. 30, 2009",19.85%
"Oct. 31, 2009",19.86%
"Sept. 30, 2009",19.86%
"Aug. 31, 2009",19.87%
"July 31, 2009",19.88%
"June 30, 2009",19.89%
"May 31, 2009",19.90%
"April 30, 2009",19.91%
"March 31, 2009",19.91%
"Feb. 28, 2009",19.91%
"Jan. 31, 2009",19.91%
"Dec. 31, 2008",19.91%
"Nov. 30, 2008",19.83%
"Oct. 31, 2008",19.55%
"Sept. 30, 2008",17.96%
"Aug. 31, 2008",17.75%
"July 31, 2008",17.43%
"June 30, 2008",17.00%
"May 31, 2008",17.01%
"April 30, 2008",17.02%
"March 31, 2008",17.03%
"Feb. 29, 2008",17.04%
"Jan. 31, 2008",17.06%
"Dec. 31, 2007",17.09%
"Nov. 30, 2007",17.12%
"Oct. 31, 2007",17.15%
"Sept. 30, 2007",17.17%
"Aug. 31, 2007",17.18%
"July 31, 2007",17.20%
"June 30, 2007",17.21%
"May 31, 2007",17.22%
"April 30, 2007",17.23%
"March 31, 2007",17.24%
"Feb. 28, 2007",17.25%
"Jan. 31, 2007",17.26%
"Dec. 31, 2006",17.27%
"Nov. 30, 2006",17.28%
"Oct. 31, 2006",17.28%
"Sept. 30, 2006",17.28%
"Aug. 31, 2006",17.28%
"July 31, 2006",17.29%
"June 30, 2006",17.30%
"May 31, 2006",17.31%
"April 30, 2006",17.32%
"March 31, 2006",17.33%
"Feb. 28, 2006",17.36%
"Jan. 31, 2006",16.79%
"Dec. 31, 2005",16.83%
"Nov. 30, 2005",16.88%
"Oct. 31, 2005",16.90%
"Sept. 30, 2005",16.76%
"Aug. 31, 2005",16.80%
"July 31, 2005",16.85%
"June 30, 2005",16.89%
"May 31, 2005",16.90%
"April 30, 2005",16.90%
"March 31, 2005",16.90%
"Feb. 28, 2005",16.91%
"Jan. 31, 2005",16.91%
"Dec. 31, 2004",16.92%
"Nov. 30, 2004",16.92%
"Oct. 31, 2004",16.93%
"Sept. 30, 2004",16.94%
"Aug. 31, 2004",16.95%
"July 31, 2004",16.96%
"June 30, 2004",16.97%
"May 31, 2004",16.98%
"April 30, 2004",16.99%
"March 31, 2004",17.00%
"Feb. 29, 2004",17.01%
"Jan. 31, 2004",17.02%
"Dec. 31, 2003",17.03%
"Nov. 30, 2003",17.05%
"Oct. 31, 2003",17.08%
"Sept. 30, 2003",17.11%
"Aug. 31, 2003",17.14%
"July 31, 2003",17.16%
"June 30, 2003",17.18%
"May 31, 2003",17.19%
"April 30, 2003",17.20%
"March 31, 2003",17.21%
"Feb. 28, 2003",17.22%
"Jan. 31, 2003",17.23%
"Dec. 31, 2002",17.25%
"Nov. 30, 2002",17.26%
"Oct. 31, 2002",17.27%
"Sept. 30, 2002",17.27%
"Aug. 31, 2002",17.28%
"July 31, 2002",17.28%
"June 30, 2002",16.53%
"May 31, 2002",16.56%
"April 30, 2002",16.58%
"March 31, 2002",16.60%
"Feb. 28, 2002",16.61%
"Jan. 31, 2002",16.63%
"Dec. 31, 2001",16.64%
"Nov. 30, 2001",16.65%
"Oct. 31, 2001",16.65%
"Sept. 30, 2001",16.65%
"Aug. 31, 2001",16.64%
"July 31, 2001",16.65%
"June 30, 2001",16.65%
"May 31, 2001",16.65%
"April 30, 2001",16.66%
"March 31, 2001",16.66%
"Feb. 28, 2001",16.67%
"Jan. 31, 2001",16.68%
"Dec. 31, 2000",16.68%
"Nov. 30, 2000",16.69%
"Oct. 31, 2000",16.72%
"Sept. 30, 2000",16.77%
"Aug. 31, 2000",16.81%
"July 31, 2000",16.86%
"June 30, 2000",16.90%
"May 31, 2000",16.90%
"April 30, 2000",16.90%
"March 31, 2000",16.90%
"Feb. 29, 2000",16.91%
"Jan. 31, 2000",16.57%
"Dec. 31, 1999",16.58%
"Nov. 30, 1999",16.60%
"Oct. 31, 1999",16.62%
"Sept. 30, 1999",16.64%
"Aug. 31, 1999",16.65%
"July 31, 1999",16.65%
"June 30, 1999",16.65%
"May 31, 1999",16.66%
"April 30, 1999",16.66%
"March 31, 1999",16.67%
"Feb. 28, 1999",16.68%
"Jan. 31, 1999",16.68%
"Dec. 31, 1998",16.69%
"Nov. 30, 1998",16.73%
"Oct. 31, 1998",16.77%
"Sept. 30, 1998",16.82%
"Aug. 31, 1998",16.69%
"July 31, 1998",16.70%
"June 30, 1998",16.75%
"May 31, 1998",16.79%
"April 30, 1998",16.84%
"March 31, 1998",16.89%
"Feb. 28, 1998",16.91%
"Jan. 31, 1998",16.92%
"Dec. 31, 1997",16.93%
"Nov. 30, 1997",16.93%
"Oct. 31, 1997",16.94%
"Sept. 30, 1997",17.01%
"Aug. 31, 1997",17.08%
"July 31, 1997",17.16%
"June 30, 1997",17.23%
"May 31, 1997",17.34%
"April 30, 1997",17.53%
"March 31, 1997",17.72%
"Feb. 28, 1997",17.90%
"Jan. 31, 1997",18.08%
"Dec. 31, 1996",18.16%
"Nov. 30, 1996",18.19%
"Oct. 31, 1996",18.22%
"Sept. 30, 1996",18.24%
"Aug. 31, 1996",18.27%
"July 31, 1996",18.31%
"June 30, 1996",18.35%
"May 31, 1996",18.38%
"April 30, 1996",18.42%
"March 31, 1996",18.47%
"Feb. 29, 1996",18.52%
"Jan. 31, 1996",18.58%
"Dec. 31, 1995",18.64%
"Nov. 30, 1995",18.70%
"Oct. 31, 1995",18.79%
"Sept. 30, 1995",18.89%
"Aug. 31, 1995",18.98%
"July 31, 1995",19.08%
"June 30, 1995",19.19%
"May 31, 1995",19.34%
"April 30, 1995",19.50%
"March 31, 1995",19.64%
"Feb. 28, 1995",19.80%
"Jan. 31, 1995",19.84%
"Dec. 31, 1994",19.85%
"Nov. 30, 1994",19.85%
"Oct. 31, 1994",19.86%
"Sept. 30, 1994",19.87%
"Aug. 31, 1994",19.93%
"July 31, 1994",19.99%
"June 30, 1994",20.04%
"May 31, 1994",20.10%
"April 30, 1994",20.13%
"March 31, 1994",20.14%
"Feb. 28, 1994",20.15%
"Jan. 31, 1994",20.16%
"Dec. 31, 1993",20.17%
"Nov. 30, 1993",20.20%
"Oct. 31, 1993",20.23%
"Sept. 30, 1993",20.26%
"Aug. 31, 1993",20.28%
"July 31, 1993",20.32%
"June 30, 1993",20.38%
"May 31, 1993",20.44%
"April 30, 1993",20.49%
"March 31, 1993",20.55%
"Feb. 28, 1993",20.71%
"Jan. 31, 1993",20.87%
"Dec. 31, 1992",21.05%
"Nov. 30, 1992",21.24%
"Oct. 31, 1992",21.41%
"Sept. 30, 1992",21.54%
"Aug. 31, 1992",21.68%
"July 31, 1992",21.81%
"June 30, 1992",21.95%
"May 31, 1992",22.02%
"April 30, 1992",22.04%
"March 31, 1992",22.06%
"Feb. 29, 1992",22.07%
"Jan. 31, 1992",22.09%
"Dec. 31, 1991",22.21%
"Nov. 30, 1991",22.34%
"Oct. 31, 1991",22.47%
"Sept. 30, 1991",22.60%
"Aug. 31, 1991",22.71%
"July 31, 1991",22.77%
"June 30, 1991",22.83%
"May 31, 1991",22.88%
"April 30, 1991",22.94%
"March 31, 1991",22.98%
"Feb. 28, 1991",23.00%
"Jan. 31, 1991",23.03%
"Dec. 31, 1990",23.06%
"Nov. 30, 1990",23.08%
"Oct. 31, 1990",23.14%
"Sept. 30, 1990",23.19%
"Aug. 31, 1990",23.23%
"July 31, 1990",23.29%
"June 30, 1990",23.38%
"May 31, 1990",23.51%
"April 30, 1990",23.65%
"March 31, 1990",23.78%
"Feb. 28, 1990",23.92%
"Jan. 31, 1990",23.96%
"Dec. 31, 1989",24.01%
"Nov. 30, 1989",24.05%
"Oct. 31, 1989",24.10%
"Sept. 30, 1989",24.14%
"Aug. 31, 1989",24.16%
"July 31, 1989",24.18%
"June 30, 1989",24.20%
"May 31, 1989",24.22%
"April 30, 1989",24.25%
"March 31, 1989",24.27%
"Feb. 28, 1989",24.30%
"Jan. 31, 1989",24.32%
"Dec. 31, 1988",24.35%
"Nov. 30, 1988",24.45%
"Oct. 31, 1988",24.55%
"Sept. 30, 1988",24.65%
"Aug. 31, 1988",24.75%
"July 31, 1988",24.89%
"June 30, 1988",25.03%
"May 31, 1988",25.19%
"April 30, 1988",25.34%
"March 31, 1988",25.49%
"Feb. 29, 1988",25.60%
"Jan. 31, 1988",25.70%
"Dec. 31, 1987",25.79%
"Nov. 30, 1987",25.90%
"Oct. 31, 1987",22.71%
"Sept. 30, 1987",19.94%
"Aug. 31, 1987",20.00%
"July 31, 1987",20.05%
"June 30, 1987",20.11%
"May 31, 1987",20.13%
"April 30, 1987",20.14%
"March 31, 1987",20.16%
"Feb. 28, 1987",20.17%
"Jan. 31, 1987",20.18%
"Dec. 31, 1986",20.21%
"Nov. 30, 1986",20.24%
"Oct. 31, 1986",20.26%
"Sept. 30, 1986",20.29%
"Aug. 31, 1986",20.43%
"July 31, 1986",20.66%
"June 30, 1986",20.92%
"May 31, 1986",21.15%
"April 30, 1986",21.39%
"March 31, 1986",21.53%
"Feb. 28, 1986",21.65%
"Jan. 31, 1986",20.12%
"Dec. 31, 1985",20.23%
"Nov. 30, 1985",20.38%
"Oct. 31, 1985",20.61%
"Sept. 30, 1985",20.86%
"Aug. 31, 1985",21.09%
"July 31, 1985",21.33%
"June 30, 1985",21.50%
"May 31, 1985",21.62%
"April 30, 1985",21.76%
"March 31, 1985",21.90%
"Feb. 28, 1985",22.01%
"Jan. 31, 1985",22.03%
"Dec. 31, 1984",22.05%
"Nov. 30, 1984",22.07%
