date,long_term_debt
"Dec. 31, 2019",2.803B
"Sept. 30, 2019",2.779B
"June 30, 2019",4.186B
"March 31, 2019",3.110B
"Dec. 31, 2018",3.109B
"Sept. 30, 2018",2.904B
"June 30, 2018",2.897B
"March 31, 2018",2.899B
"Dec. 31, 2017",2.907B
"Sept. 30, 2017",2.908B
"June 30, 2017",2.367B
"March 31, 2017",2.422B
"Dec. 31, 2016",2.423B
"Sept. 30, 2016",2.974B
"June 30, 2016",2.435B
"March 31, 2016",3.410B
"Dec. 31, 2015",3.041B
"Sept. 30, 2015",3.328B
"June 30, 2015",3.265B
"March 31, 2015",2.592B
"Dec. 31, 2014",2.518B
"Sept. 30, 2014",3.986B
"June 30, 2014",3.786B
"March 31, 2014",3.416B
"Dec. 31, 2013",2.937B
"Sept. 30, 2013",2.583B
"June 30, 2013",3.046B
"March 31, 2013",2.507B
"Dec. 31, 2012",2.245B
"Sept. 30, 2012",1.185B
"June 30, 2012",791.53M
"March 31, 2012",249.56M
"Dec. 31, 2011",249.55M
"Sept. 30, 2011",974.54M
"June 30, 2011",1.185B
"March 31, 2011",974.39M
"Dec. 31, 2010",939.35M
"March 31, 2010",1.231B
"Dec. 31, 2009",1.353B
"Sept. 30, 2009",1.480B
"June 30, 2009",1.531B
"March 31, 2009",996.27M
"Dec. 31, 2008",1.026B
"Sept. 30, 2008",1.066B
"June 30, 2008",1.540B
"March 31, 2008",1.711B
"Dec. 31, 2007",1.516B
"Sept. 30, 2007",1.496B
"June 30, 2007",1.105B
"March 31, 2007",969.40M
"Dec. 31, 2006",840.28M
"Sept. 30, 2006",789.53M
"June 30, 2006",875.49M
"March 31, 2006",609.56M
"Dec. 31, 2005",609.57M
"Sept. 30, 2005",609.51M
"June 30, 2005",608.87M
"March 31, 2005",613.26M
"Dec. 31, 2004",613.36M
"Sept. 30, 2004",1.047B
"June 30, 2004",1.033B
"March 31, 2004",1.023B
"Dec. 31, 2003",1.061B
"Sept. 30, 2003",1.058B
"June 30, 2003",987.09M
"March 31, 2003",895.50M
"Dec. 31, 2002",862.81M
"Sept. 30, 2002",875.01M
"June 30, 2002",712.84M
"March 31, 2002",672.86M
"Dec. 31, 2001",520.78M
"Sept. 30, 2001",482.11M
"June 30, 2001",503.18M
"March 31, 2001",514.31M
"Dec. 31, 2000",524.76M
"Sept. 30, 2000",386.74M
"June 30, 2000",397.29M
"March 31, 2000",392.87M
"Dec. 31, 1999",393.20M
"Sept. 30, 1999",427.20M
"June 30, 1999",487.30M
"March 31, 1999",447.90M
"Dec. 31, 1998",333.50M
"Sept. 30, 1998",268.10M
"June 30, 1998",268.30M
"March 31, 1998",253.60M
"Dec. 31, 1997",205.90M
"Sept. 30, 1997",209.90M
"June 30, 1997",229.60M
"March 31, 1997",201.00M
"Dec. 31, 1996",201.80M
"Sept. 30, 1996",216.70M
"June 30, 1996",198.40M
"March 31, 1996",22.40M
"Dec. 31, 1995",193.90M
"Sept. 30, 1995",25.70M
"June 30, 1995",172.00M
"March 31, 1995",199.00M
"Dec. 31, 1994",172.50M
"Sept. 30, 1994",21.80M
"June 30, 1994",21.80M
"March 31, 1994",21.70M
"Dec. 31, 1993",21.70M
"Sept. 30, 1993",24.90M
"June 30, 1993",24.90M
"March 31, 1993",24.90M
"Dec. 31, 1992",24.90M
"Sept. 30, 1992",28.50M
"June 30, 1992",28.40M
"March 31, 1992",28.30M
"Dec. 31, 1991",193.20M
"Sept. 30, 1991",189.70M
"June 30, 1991",189.80M
"March 31, 1991",197.70M
"Dec. 31, 1990",207.90M
"Sept. 30, 1990",239.20M
"June 30, 1990",300.50M
"March 31, 1990",326.40M
"Dec. 31, 1989",330.30M
"Sept. 30, 1989",345.80M
"Dec. 31, 1988",382.50M
"Dec. 31, 1987",340.40M
"Dec. 31, 1986",236.70M
"Dec. 31, 1985",253.80M
"Dec. 31, 1984",261.00M
