Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,600.00M,1.131B,1.019B,972.00M,638.00M,497.00M,478.00M,550.00M,1.714B,1.381B,642.00M,600.00M,1.292B,681.00M,730.00M,628.00M,571.00M,1.181B,551.00M,469.00M,577.00M,485.00M,622.00M,488.00M,438.00M,558.00M,411.00M,215.00M,329.00M,246.00M,295.00M,275.00M,377.00M,640.00M,287.00M,425.00M,302.00M,791.00M,829.00M,1.215B,238.00M,164.00M,276.00M,276.00M,535.00M,1.592B,424.00M,603.00M,290.00M,350.00M,723.00M,226.00M,620.00M,159.00M,134.00M,148.00M,530.00M,1.102B,154.00M,241.00M,225.00M,451.00M,222.00M,232.00M,129.00M,935.00M,281.00M,332.00M,266.00M,696.00M,384.00M,117.00M,82.00M,299.00M,72.00M,109.00M,129.00M,377.00M,234.00M,104.00M,361.00M,370.00M,595.00M,548.00M,187.00M,447.00M,428.00M,72.00M,54.00M,460.30M,337.60M,394.70M,196.00M,91.70M,78.90M,28.30M,46.20M,103.50M,124.70M,159.50M,85.80M,210.40M,66.10M,88.90M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,600.00M,1.131B,1.019B,972.00M,638.00M,497.00M,478.00M,550.00M,1.714B,1.381B,642.00M,600.00M,1.292B,681.00M,730.00M,628.00M,571.00M,1.181B,551.00M,469.00M,577.00M,485.00M,622.00M,488.00M,438.00M,558.00M,411.00M,215.00M,329.00M,246.00M,295.00M,275.00M,377.00M,640.00M,287.00M,425.00M,302.00M,791.00M,829.00M,1.215B,238.00M,164.00M,276.00M,276.00M,535.00M,1.592B,424.00M,603.00M,290.00M,350.00M,723.00M,226.00M,620.00M,159.00M,134.00M,148.00M,530.00M,1.102B,154.00M,241.00M,225.00M,451.00M,222.00M,232.00M,129.00M,935.00M,281.00M,332.00M,266.00M,696.00M,384.00M,117.00M,82.00M,299.00M,72.00M,109.00M,129.00M,377.00M,234.00M,104.00M,361.00M,370.00M,595.00M,548.00M,187.00M,447.00M,428.00M,72.00M,54.00M,460.30M,337.60M,394.70M,196.00M,91.70M,78.90M,28.30M,46.20M,103.50M,124.70M,159.50M,85.80M,210.40M,66.10M,88.90M
Accounts Receivable,2.282B,2.717B,2.553B,2.191B,2.302B,2.454B,2.23B,1.881B,2.22B,2.147B,1.95B,1.635B,1.784B,1.921B,1.816B,1.574B,1.784B,1.961B,1.883B,1.718B,1.805B,2.022B,1.978B,1.904B,1.777B,1.888B,1.809B,1.366B,1.487B,1.633B,1.466B,1.262B,1.372B,1.689B,1.633B,1.285B,1.509B,1.595B,1.485B,1.174B,1.431B,1.594B,1.448B,1.281B,1.443B,2.068B,2.028B,1.71B,1.721B,1.861B,1.879B,1.935B,1.656B,1.862B,1.372B,1.529B,1.43B,1.826B,1.655B,1.277B,1.044B,1.397B,1.087B,1.007B,1.188B,1.131B,1.041B,965.00M,865.00M,810.00M,656.00M,615.00M,780.00M,806.00M,670.00M,619.00M,637.00M,690.00M,578.00M,463.00M,482.00M,658.00M,521.00M,462.00M,559.00M,705.00M,613.00M,438.00M,501.00M,624.30M,538.10M,454.00M,462.00M,564.20M,462.30M,432.10M,482.30M,564.70M,503.00M,390.90M,464.70M,613.00M,548.30M,511.40M
Other Receivables,525.00M,613.00M,568.00M,783.00M,667.00M,665.00M,661.00M,508.00M,517.00M,603.00M,530.00M,525.00M,655.00M,938.00M,857.00M,693.00M,481.00M,349.00M,256.00M,309.00M,354.00M,389.00M,314.00M,647.00M,512.00M,353.00M,311.00M,393.00M,569.00M,489.00M,542.00M,575.00M,430.00M,548.00M,500.00M,717.00M,1.073B,525.00M,540.00M,772.00M,816.00M,304.00M,249.00M,327.00M,264.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,2.807B,3.33B,3.121B,2.974B,2.969B,3.119B,2.891B,2.389B,2.737B,2.75B,2.48B,2.16B,2.439B,2.859B,2.673B,2.267B,2.265B,2.31B,2.139B,2.027B,2.159B,2.411B,2.292B,2.551B,2.289B,2.241B,2.12B,1.759B,2.056B,2.122B,2.008B,1.837B,1.802B,2.237B,2.133B,2.002B,2.582B,2.12B,2.025B,1.946B,2.247B,1.898B,1.697B,1.608B,1.707B,2.068B,2.028B,1.71B,1.721B,1.861B,1.879B,1.935B,1.656B,1.862B,1.372B,1.529B,1.43B,1.826B,1.655B,1.277B,1.044B,1.397B,1.087B,1.007B,1.188B,1.131B,1.041B,965.00M,865.00M,810.00M,656.00M,615.00M,780.00M,806.00M,670.00M,619.00M,637.00M,690.00M,578.00M,463.00M,482.00M,658.00M,521.00M,462.00M,559.00M,705.00M,613.00M,438.00M,501.00M,624.30M,538.10M,454.00M,462.00M,564.20M,462.30M,432.10M,482.30M,564.70M,503.00M,390.90M,464.70M,613.00M,548.30M,511.40M
Inventories,1.328B,1.451B,1.427B,1.41B,1.223B,1.083B,1.159B,1.205B,1.273B,1.352B,1.313B,1.303B,1.289B,1.309B,1.254B,1.287B,1.259B,1.344B,1.278B,1.249B,1.292B,1.269B,1.178B,1.148B,1.153B,1.142B,1.12B,1.098B,1.073B,1.055B,1.082B,1.092B,1.074B,1.045B,1.072B,875.00M,857.00M,895.00M,826.00M,852.00M,877.00M,884.00M,906.00M,871.00M,968.00M,1.019B,1.096B,836.00M,857.00M,868.00M,814.00M,719.00M,785.00M,772.00M,777.00M,747.00M,567.00M,467.00M,475.00M,442.00M,394.00M,377.00M,376.00M,410.00M,458.00M,422.00M,408.00M,407.00M,448.00M,310.00M,358.00M,283.00M,349.00M,341.00M,373.00M,340.00M,370.00M,331.00M,320.00M,312.00M,343.00M,308.00M,301.00M,275.00M,282.00M,278.00M,282.00M,289.00M,302.00M,277.70M,287.90M,294.20M,268.00M,274.80M,260.50M,238.50M,247.30M,261.70M,298.70M,305.90M,309.30M,310.90M,309.10M,311.20M
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,10.00M,404.00M,608.00M,739.00M,31.00M,395.00M,754.00M,753.00M,8.00M,11.00M,10.00M,397.00M,,,,10.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,1.911B,1.187B,1.099B,1.058B,999.00M,917.00M,898.00M,891.00M,968.00M,1.102B,966.00M,1.086B,1.052B,760.00M,758.00M,721.00M,979.00M,811.00M,782.00M,601.00M,555.00M,638.00M,814.00M,501.00M,519.00M,958.00M,486.00M,373.00M,455.00M,419.00M,430.00M,353.00M,384.00M,381.00M,488.00M,375.00M,407.00M,439.00M,798.00M,1.521B,481.00M,1.162B,1.901B,2.333B,2.182B,1.629B,1.94B,1.13B,911.00M,1.305B,1.285B,1.061B,1.769B,2.041B,2.084B,1.598B,2.46B,2.636B,1.106B,1.199B,864.00M,1.063B,678.00M,617.00M,695.00M,770.00M,810.00M,557.00M,329.00M,403.00M,428.00M,546.00M,391.00M,560.00M,748.00M,726.00M,645.00M,445.00M,478.00M,198.00M,187.00M,282.00M,180.00M,143.00M,238.00M,341.00M,306.00M,243.00M,244.00M,208.30M,158.90M,189.10M,247.00M,345.60M,241.00M,229.60M,209.50M,216.50M,120.80M,147.60M,89.80M,110.50M,174.60M,170.00M
Total Current Assets,7.408B,7.679B,7.471B,8.222B,6.393B,8.349B,5.885B,5.612B,7.181B,7.027B,5.947B,5.827B,7.409B,6.747B,6.512B,7.096B,6.795B,6.657B,6.346B,6.297B,6.944B,5.633B,6.099B,6.141B,5.842B,5.472B,4.735B,4.045B,5.237B,4.437B,4.854B,5.094B,4.872B,6.252B,4.813B,4.519B,5.258B,5.776B,5.299B,5.557B,4.337B,4.176B,4.869B,5.154B,5.392B,6.308B,5.488B,4.279B,3.779B,4.384B,4.701B,3.941B,4.83B,4.834B,4.367B,4.022B,4.987B,6.031B,3.39B,3.159B,2.527B,3.288B,2.363B,2.266B,2.47B,3.258B,2.54B,2.261B,1.908B,2.219B,1.826B,1.561B,1.602B,2.006B,1.863B,1.794B,1.781B,1.843B,1.61B,1.077B,1.373B,1.618B,1.597B,1.428B,1.266B,1.771B,1.629B,1.042B,1.101B,1.571B,1.322B,1.332B,1.173B,1.276B,1.043B,928.50M,985.30M,1.146B,1.047B,1.004B,949.60M,1.245B,1.098B,1.082B
