Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,844.00M,799.00M,1.139B,606.00M,314.00M,941.00M,687.00M,3.834B,2.071B,857.00M,804.00M,1.591B,1.011B,790.00M,544.00M,654.00M,510.00M,881.00M,721.00M,650.00M,884.00M,664.00M,491.00M,430.00M,327.00M,698.00M,611.00M,41.00M,429.00M,414.00M,607.00M,461.00M,667.00M,408.00M,580.00M,268.00M,1.957B,-973.00M,417.00M,556.00M,348.00M,533.00M,370.00M,364.00M,407.00M,774.00M,209.00M,249.00M,224.00M,533.00M,405.00M,150.00M,268.00M,526.00M,236.00M,251.00M,222.00M,339.00M,203.00M,137.00M,172.00M,320.00M,257.00M,138.00M,145.00M,331.00M,239.00M,175.00M,129.00M,-72.00M,250.00M,166.00M,-882.00M,1.444B,109.00M,110.00M,65.00M,314.00M,204.00M,121.00M,120.00M,291.00M,77.00M,209.00M,93.00M,287.00M,176.00M,108.00M,90.00M,263.00M,164.00M,101.00M,84.90M,250.10M,150.30M,93.70M,74.40M,240.50M,138.30M,99.80M,76.20M,222.30M,125.80M,94.40M
Gain/Loss on Sale Business,-46.00M,-4.00M,-362.00M,-49.00M,-60.00M,-36.00M,-31.00M,-3.991B,-53.00M,-21.00M,-4.00M,-1.145B,-196.00M,-12.00M,-264.00M,-15.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Foreign Currency Exchange Gain/Loss,7.00M,-2.00M,17.00M,-5.00M,21.00M,-16.00M,-27.00M,38.00M,-2.00M,-11.00M,-40.00M,28.00M,-86.00M,9.00M,50.00M,40.00M,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,-243.00M,151.00M,-402.00M,386.00M,-34.00M,89.00M,192.00M,-193.00M,391.00M,31.00M,183.00M,-169.00M,-413.00M,-83.00M,500.00M,-48.00M,56.00M,-264.00M,-30.00M,-99.00M,-692.00M,-29.00M,186.00M,124.00M,74.00M,-152.00M,26.00M,42.00M,4.00M,181.00M,-138.00M,-132.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,-146.00M,90.00M,6.00M,-16.00M,13.00M,-122.00M,-52.00M,-197.00M,,,,,,,,,,,,,21.00M,0.00,0.00,-21.00M,-40.00M,-22.00M,-5.00M,67.00M,,,,,-65.00M,-9.00M,6.00M,13.00M,-34.00M,-22.00M,5.00M,-7.00M,33.00M,-26.00M,17.00M,-7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-428.00M,235.00M,-741.00M,316.00M,-60.00M,-85.00M,82.00M,-4.343B,195.00M,-1.00M,139.00M,-1.286B,-843.00M,-86.00M,286.00M,-23.00M,6.00M,-278.00M,-55.00M,-99.00M,-715.00M,-41.00M,153.00M,59.00M,74.00M,-193.00M,12.00M,97.00M,124.00M,128.00M,-205.00M,-132.00M,-444.00M,239.00M,-112.00M,57.00M,237.00M,-98.00M,-212.00M,-438.00M,238.00M,123.00M,19.00M,259.00M,379.00M,-302.00M,-197.00M,40.00M,113.00M,-143.00M,-350.00M,568.00M,605.00M,27.00M,-97.00M,262.00M,-209.00M,-627.00M,16.00M,-100.00M,-345.00M,-226.00M,-59.00M,169.00M,204.00M,-34.00M,-175.00M,-197.00M,,,,,,,,,,,,,-173.00M,-108.00M,89.00M,192.00M,-50.00M,-66.00M,19.00M,97.00M,-224.00M,14.00M,16.00M,142.00M,65.30M,-16.80M,-44.80M,125.30M,-78.40M,-30.20M,58.70M,116.40M,-27.40M,8.60M,10.10M,35.00M
Depreciation Expense,1.041B,1.313B,1.262B,862.00M,1.145B,1.183B,894.00M,925.00M,-148.00M,1.138B,957.00M,691.00M,891.00M,1.07B,816.00M,651.00M,841.00M,900.00M,825.00M,637.00M,778.00M,872.00M,695.00M,551.00M,736.00M,690.00M,595.00M,500.00M,452.00M,521.00M,408.00M,396.00M,403.00M,575.00M,469.00M,402.00M,529.00M,604.00M,454.00M,486.00M,727.00M,314.00M,494.00M,469.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-186.00M,186.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,1.041B,1.313B,1.262B,862.00M,1.145B,1.183B,894.00M,925.00M,-148.00M,1.138B,957.00M,691.00M,891.00M,1.07B,816.00M,651.00M,841.00M,900.00M,825.00M,637.00M,778.00M,872.00M,695.00M,551.00M,736.00M,690.00M,595.00M,500.00M,452.00M,521.00M,408.00M,396.00M,403.00M,575.00M,469.00M,402.00M,529.00M,604.00M,454.00M,486.00M,541.00M,500.00M,494.00M,469.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
