Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,4.588B,5.572B,4.97B,4.075B,4.39B,4.416B,4.063B,3.857B,3.988B,4.808B,4.404B,3.972B,3.681B,4.805B,3.817B,3.835B,4.069B,4.954B,4.358B,4.104B,4.664B,4.654B,4.029B,3.674B,3.63B,4.394B,3.833B,3.279B,3.375B,3.843B,3.667B,3.371B,3.865B,4.382B,3.961B,3.134B,3.413B,4.691B,3.591B,3.622B,3.655B,4.473B,3.811B,3.705B,4.003B,5.387B,3.585B,3.434B,3.684B,4.575B,3.929B,3.075B,3.623B,4.694B,3.809B,3.584B,3.164B,3.504B,2.741B,2.437B,2.589B,2.983B,2.619B,2.331B,2.435B,2.775B,2.459B,2.082B,1.922B,2.353B,2.128B,1.843B,1.581B,2.529B,2.166B,1.941B,1.857B,2.087B,1.67B,1.468B,1.52B,1.892B,1.614B,1.412B,1.631B,1.999B,1.692B,1.338B,1.478B,1.859B,1.587B,1.445B,1.436B,1.770B,1.474B,1.358B,1.361B,1.587B,1.467B,1.177B,1.290B,1.512B,1.442B,1.178B,1.232B,1.603B,1.350B,1.132B,1.271B,1.569B,1.262B,1.093B,1.181B,1.518B,1.387B,1.163B,1.582B,1.774B,1.575B,1.358B,1.471B,1.812B,1.530B,1.366B,2.222B,1.385B,1.174B,1.072B,1.100B,1.308B,1.062B,968.30M,979.10M,1.170B,999.10M,943.00M,1.032B,1.263B,1.062B,991.00M,904.10M,1.217B,967.60M,852.20M
Revenue,4.588B,5.572B,4.97B,4.075B,4.39B,4.416B,4.063B,3.857B,3.988B,4.808B,4.404B,3.972B,3.681B,4.805B,3.817B,3.835B,4.069B,4.954B,4.358B,4.104B,4.664B,4.654B,4.029B,3.674B,3.63B,4.394B,3.833B,3.279B,3.375B,3.843B,3.667B,3.371B,3.865B,4.382B,3.961B,3.134B,3.413B,4.691B,3.591B,3.622B,3.655B,4.473B,3.811B,3.705B,4.003B,5.387B,3.585B,3.434B,3.684B,4.575B,3.929B,3.075B,3.623B,4.694B,3.809B,3.584B,3.164B,3.504B,2.741B,2.437B,2.589B,2.983B,2.619B,2.331B,2.435B,2.775B,2.459B,2.082B,1.922B,2.353B,2.128B,1.843B,1.581B,2.529B,2.166B,1.941B,1.857B,2.087B,1.67B,1.468B,1.52B,1.892B,1.614B,1.412B,1.631B,1.999B,1.692B,1.338B,1.478B,1.859B,1.587B,1.445B,1.436B,1.770B,1.474B,1.358B,1.361B,1.587B,1.467B,1.177B,1.290B,1.512B,1.442B,1.178B,1.232B,1.603B,1.350B,1.132B,1.271B,1.569B,1.262B,1.093B,1.181B,1.518B,1.387B,1.163B,1.582B,1.774B,1.575B,1.358B,1.471B,1.812B,1.530B,1.366B,2.222B,1.385B,1.174B,1.072B,1.100B,1.308B,1.062B,968.30M,979.10M,1.170B,999.10M,943.00M,1.032B,1.263B,1.062B,991.00M,904.10M,1.217B,967.60M,852.20M
Cost of Goods Sold,2.119B,2.129B,1.974B,1.782B,1.818B,1.913B,1.742B,1.59B,1.935B,1.993B,1.862B,1.737B,1.942B,2.05B,1.803B,1.727B,2.092B,2.291B,2.116B,2.098B,2.118B,2.338B,2.141B,2.153B,2.048B,2.256B,2.026B,1.821B,1.986B,2.302B,2.031B,1.957B,4.386B,1.911B,1.557B,1.404B,4.324B,1.991B,1.455B,1.349B,1.632B,2.164B,1.797B,1.811B,1.994B,2.728B,1.964B,1.726B,1.971B,2.443B,2.106B,1.672B,2.06B,2.656B,2.174B,2.053B,1.713B,1.826B,1.393B,1.238B,1.328B,1.488B,1.243B,1.159B,1.214B,1.318B,1.182B,944.00M,793.00M,1.082B,969.00M,804.00M,512.00M,1.242B,1.054B,951.00M,876.00M,845.00M,605.00M,542.00M,577.00M,693.00M,588.00M,506.00M,592.00M,659.00M,558.00M,436.00M,478.00M,674.00M,560.00M,544.00M,552.70M,628.50M,500.20M,449.70M,437.80M,480.90M,458.40M,344.90M,406.60M,470.30M,473.60M,364.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,2.469B,3.443B,2.996B,2.293B,2.572B,2.503B,2.321B,2.267B,2.053B,2.815B,2.542B,2.235B,1.739B,2.755B,2.014B,2.108B,1.977B,2.663B,2.242B,2.006B,2.546B,2.316B,1.888B,1.521B,1.582B,2.138B,1.807B,1.458B,1.389B,1.541B,1.636B,1.414B,-521.00M,2.471B,2.404B,1.73B,-911.00M,2.70B,2.136B,2.273B,2.023B,2.309B,2.014B,1.894B,2.009B,2.659B,1.621B,1.708B,1.713B,2.132B,1.823B,1.403B,1.563B,2.038B,1.635B,1.531B,1.451B,1.678B,1.348B,1.199B,1.261B,1.495B,1.376B,1.172B,1.221B,1.457B,1.277B,1.138B,1.129B,1.271B,1.159B,1.039B,1.069B,1.287B,1.112B,990.00M,981.00M,1.242B,1.065B,926.00M,943.00M,1.199B,1.026B,906.00M,1.039B,1.34B,1.134B,902.00M,1.00B,1.185B,1.027B,901.00M,882.90M,1.141B,973.90M,908.00M,923.10M,1.106B,1.008B,832.50M,883.20M,1.042B,968.80M,813.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Write Off,,,,,,,,,,,,,,,,,8.00M,24.00M,,,5.00M,4.00M,,,11.00M,0.00,0.00,300.00M,16.00M,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,-63.00M,12.00M,360.00M,36.00M,17.00M,30.00M,49.00M,3.963B,-469.00M,24.00M,22.00M,1.122B,272.00M,2.00M,269.00M,21.00M,-38.00M,4.00M,12.00M,29.00M,-58.00M,15.00M,39.00M,59.00M,16.00M,32.00M,21.00M,-262.00M,36.00M,74.00M,75.00M,13.00M,-6.00M,-130.00M,-9.00M,31.00M,9.00M,27.00M,-11.00M,44.00M,41.00M,26.00M,21.00M,-23.00M,-69.00M,-20.00M,13.00M,15.00M,-74.00M,50.00M,41.00M,15.00M,123.00M,49.00M,49.00M,12.00M,0.00,81.00M,39.00M,38.00M,5.00M,52.00M,10.00M,20.00M,-6.00M,35.00M,24.00M,40.00M,10.00M,18.00M,47.00M,13.00M,-4.00M,46.00M,34.00M,15.00M,13.00M,46.00M,26.00M,7.00M,-148.00M,39.00M,32.00M,9.00M,-14.00M,21.00M,16.00M,7.00M,-25.00M,17.00M,4.00M,8.00M,-1.60M,4.40M,-8.50M,-1.40M,3.50M,9.20M,0.90M,5.40M,4.70M,17.90M,4.90M,8.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,310.00M,553.00M,416.00M,396.00M,359.00M,409.00M,371.00M,366.00M,340.00M,397.00M,377.00M,354.00M,281.00M,374.00M,355.00M,333.00M,343.00M,377.00M,350.00M,326.00M,350.00M,371.00M,323.00M,320.00M,302.00M,348.00M,326.00M,305.00M,261.00M,332.00M,301.00M,291.00M,345.00M,316.00M,267.00M,278.00M,281.00M,332.00M,289.00M,261.00M,301.00M,345.00M,302.00M,284.00M,285.00M,342.00M,298.00M,279.00M,272.00M,321.00M,271.00M,271.00M,269.00M,313.00M,285.00M,266.00M,212.00M,263.00M,233.00M,224.00M,215.00M,239.00M,214.00M,212.00M,206.00M,227.00M,205.00M,192.00M,165.00M,199.00M,185.00M,173.00M,172.00M,195.00M,174.00M,169.00M,149.00M,180.00M,144.00M,145.00M,153.00M,175.00M,144.00M,144.00M,140.00M,171.00M,150.00M,136.00M,146.00M,165.00M,146.00M,139.00M,150.90M,160.00M,138.30M,137.00M,134.10M,148.30M,138.10M,128.40M,129.90M,145.00M,134.30M,121.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,188.00M,746.00M,601.00M,714.00M,710.00M,168.00M,394.00M,226.00M,387.00M,381.00M,430.00M,360.00M,-382.00M,369.00M,602.00M,509.00M,299.00M,311.00M,280.00M,321.00M,321.00M,316.00M,305.00M,319.00M,296.00M,288.00M,266.00M,272.00M,243.00M,259.00M,270.00M,265.00M,260.00M,265.00M,256.00M,254.00M,247.00M,247.00M,247.00M,238.00M,218.00M,204.00M,215.00M,211.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,13.00M,16.00M,13.00M,12.00M,12.00M,11.00M,10.00M,18.00M,22.00M,20.00M,19.00M,19.00M,21.00M,23.00M,20.00M,18.00M,21.00M,22.00M,22.00M,21.00M,20.00M,18.00M,21.00M,22.00M,20.00M,20.00M,19.00M,19.00M,24.00M,20.00M,22.00M,20.00M,21.00M,21.00M,16.00M,21.00M,22.00M,22.00M,28.00M,18.00M,20.00M,15.00M,17.00M,27.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-175.00M,-730.00M,-588.00M,-702.00M,-698.00M,-157.00M,-384.00M,-208.00M,-365.00M,-361.00M,-411.00M,-341.00M,403.00M,-346.00M,-582.00M,-491.00M,-278.00M,-289.00M,-258.00M,-300.00M,-301.00M,-298.00M,-284.00M,-297.00M,-276.00M,-268.00M,-247.00M,-253.00M,-219.00M,-239.00M,-248.00M,-245.00M,-239.00M,-244.00M,-240.00M,-233.00M,-225.00M,-225.00M,-219.00M,-220.00M,-198.00M,-189.00M,-198.00M,-184.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
