date,cash_investing_ttm
"Dec. 31, 2019",-16.18B
"Sept. 30, 2019",-14.85B
"June 30, 2019",-14.49B
"March 31, 2019",-14.23B
"Dec. 31, 2018",-10.95B
"Sept. 30, 2018",-10.63B
"June 30, 2018",-8.759B
"March 31, 2018",-8.915B
"Dec. 31, 2017",-8.918B
"Sept. 30, 2017",-7.914B
"June 30, 2017",-8.123B
"March 31, 2017",-8.035B
"Dec. 31, 2016",-8.046B
"Sept. 30, 2016",-9.502B
"June 30, 2016",-9.679B
"March 31, 2016",-10.11B
"Dec. 31, 2015",-7.996B
"Sept. 30, 2015",-7.76B
"June 30, 2015",-7.01B
"March 31, 2015",-6.083B
"Dec. 31, 2014",-6.361B
"Sept. 30, 2014",-5.935B
"June 30, 2014",-6.443B
"March 31, 2014",-6.387B
"Dec. 31, 2013",-6.123B
"Sept. 30, 2013",-6.693B
"June 30, 2013",-7.692B
"March 31, 2013",-8.511B
"Dec. 31, 2012",-8.928B
"Sept. 30, 2012",-7.358B
"June 30, 2012",-6.941B
"March 31, 2012",-6.197B
"Dec. 31, 2011",-5.279B
"Sept. 30, 2011",-6.15B
"June 30, 2011",-5.36B
"March 31, 2011",-5.00B
"Dec. 31, 2010",-5.284B
"Sept. 30, 2010",-5.473B
"June 30, 2010",-5.797B
"March 31, 2010",-6.20B
"Dec. 31, 2009",-5.935B
"Sept. 30, 2009",-5.969B
"June 30, 2009",-5.699B
"March 31, 2009",-5.716B
"Dec. 31, 2008",-5.808B
"Sept. 30, 2008",-4.553B
"June 30, 2008",-5.269B
"March 31, 2008",-4.913B
"Dec. 31, 2007",-4.578B
"Sept. 30, 2007",-4.783B
"June 30, 2007",-3.475B
"March 31, 2007",-3.427B
"Dec. 31, 2006",-3.807B
"Sept. 30, 2006",-3.206B
"June 30, 2006",-3.012B
"March 31, 2006",-2.678B
"Dec. 31, 2005",-2.165B
"Sept. 30, 2005",-2.366B
"June 30, 2005",-2.233B
"March 31, 2005",-1.962B
"Dec. 31, 2004",-1.872B
"Sept. 30, 2004",-2.247B
"June 30, 2004",-2.497B
"March 31, 2004",-3.031B
"Dec. 31, 2003",-3.089B
"Sept. 30, 2003",-3.728B
"June 30, 2003",-3.638B
"March 31, 2003",-3.402B
"Dec. 31, 2002",-3.267B
"Sept. 30, 2002",-2.593B
"June 30, 2002",-2.904B
"March 31, 2002",-3.479B
"Dec. 31, 2001",-3.269B
"Sept. 30, 2001",-2.98B
"June 30, 2001",-2.475B
"March 31, 2001",-1.959B
"Dec. 31, 2000",-1.943B
"Sept. 30, 2000",-1.668B
"June 30, 2000",-1.603B
"March 31, 2000",-2.155B
"Dec. 31, 1999",-2.172B
"Sept. 30, 1999",-2.013B
"June 30, 1999",-1.852B
"March 31, 1999",-828.00M
"Dec. 31, 1998",-795.00M
"Sept. 30, 1998",-929.00M
"June 30, 1998",-908.00M
"March 31, 1998",-1.017B
"Dec. 31, 1997",-797.00M
"Sept. 30, 1997",-618.40M
"June 30, 1997",-660.30M
"March 31, 1997",-449.70M
"Dec. 31, 1996",-526.00M
"Sept. 30, 1996",-678.80M
"June 30, 1996",-633.30M
"March 31, 1996",-720.80M
"Dec. 31, 1995",-701.60M
"Sept. 30, 1995",-572.30M
"June 30, 1995",-609.20M
"March 31, 1995",-607.10M
"Dec. 31, 1994",-573.90M
