date,current_ratio
"Dec. 31, 2019",0.5348
"Sept. 30, 2019",0.5768
"June 30, 2019",0.5184
"March 31, 2019",0.4587
"Dec. 31, 2018",0.364
"Sept. 30, 2018",0.6519
"June 30, 2018",0.5779
"March 31, 2018",0.5859
"Dec. 31, 2017",0.6387
"Sept. 30, 2017",0.6056
"June 30, 2017",0.6645
"March 31, 2017",0.597
"Dec. 31, 2016",0.6785
"Sept. 30, 2016",0.6453
"June 30, 2016",0.5745
"March 31, 2016",0.6703
"Dec. 31, 2015",0.6723
"Sept. 30, 2015",0.6419
"June 30, 2015",0.6736
"March 31, 2015",0.6709
"Dec. 31, 2014",0.7186
"Sept. 30, 2014",0.5885
"June 30, 2014",0.6294
"March 31, 2014",0.5967
"Dec. 31, 2013",0.6358
"Sept. 30, 2013",0.5939
"June 30, 2013",0.534
"March 31, 2013",0.4609
"Dec. 31, 2012",0.5898
"Sept. 30, 2012",0.5634
"June 30, 2012",0.6351
"March 31, 2012",0.6364
"Dec. 31, 2011",0.7251
"Sept. 30, 2011",0.8427
"June 30, 2011",0.7533
"March 31, 2011",0.6706
"Dec. 31, 2010",0.7616
"Sept. 30, 2010",0.8037
"June 30, 2010",0.7436
"March 31, 2010",0.7141
"Dec. 31, 2009",0.6725
"Sept. 30, 2009",0.6369
"June 30, 2009",0.7322
"March 31, 2009",0.7759
"Dec. 31, 2008",0.7013
"Sept. 30, 2008",0.742
"June 30, 2008",0.6575
"March 31, 2008",0.7278
"Dec. 31, 2007",0.6563
"Sept. 30, 2007",0.638
"June 30, 2007",0.7591
"March 31, 2007",0.662
"Dec. 31, 2006",0.7635
"Sept. 30, 2006",0.7844
"June 30, 2006",0.6394
"March 31, 2006",0.6197
"Dec. 31, 2005",0.6863
"Sept. 30, 2005",0.7574
"June 30, 2005",0.735
"March 31, 2005",0.7951
"Dec. 31, 2004",0.5949
"Sept. 30, 2004",0.8027
"June 30, 2004",0.7364
"March 31, 2004",0.6983
"Dec. 31, 2003",0.7367
"Sept. 30, 2003",0.8082
"June 30, 2003",0.6084
"March 31, 2003",0.5011
"Dec. 31, 2002",0.4879
"Sept. 30, 2002",0.6587
"June 30, 2002",0.6128
"March 31, 2002",0.4587
"Dec. 31, 2001",0.4402
"Sept. 30, 2001",0.5671
"June 30, 2001",0.5627
"March 31, 2001",0.6034
"Dec. 31, 2000",0.6446
"Sept. 30, 2000",0.6241
"June 30, 2000",0.6631
"March 31, 2000",0.6346
"Dec. 31, 1999",0.7342
"Sept. 30, 1999",0.7169
"June 30, 1999",0.5609
"March 31, 1999",0.7387
"Dec. 31, 1998",0.7715
"Sept. 30, 1998",0.9736
"June 30, 1998",0.8646
"March 31, 1998",0.7216
"Dec. 31, 1997",0.7345
"Sept. 30, 1997",0.8386
"June 30, 1997",0.7795
"March 31, 1997",0.8437
"Dec. 31, 1996",0.9207
"Sept. 30, 1996",0.9942
"June 30, 1996",0.7814
"March 31, 1996",0.7315
"Dec. 31, 1995",0.6551
"Sept. 30, 1995",0.7498
"June 30, 1995",0.6598
"March 31, 1995",0.6976
"Dec. 31, 1994",0.8175
"Sept. 30, 1994",0.8727
"June 30, 1994",0.7739
"March 31, 1994",0.7415
