date,dividend_yield
"March 19, 2020",2.49%
"March 18, 2020",2.44%
"March 17, 2020",2.32%
"March 16, 2020",2.56%
"March 13, 2020",2.32%
"March 12, 2020",2.47%
"March 11, 2020",2.13%
"March 10, 2020",2.01%
"March 9, 2020",1.97%
"March 6, 2020",1.89%
"March 5, 2020",1.86%
"March 4, 2020",1.82%
"March 3, 2020",1.94%
"March 2, 2020",1.92%
"Feb. 28, 2020",2.04%
"Feb. 27, 2020",2.01%
"Feb. 26, 2020",1.86%
"Feb. 25, 2020",1.85%
"Feb. 24, 2020",1.83%
"Feb. 21, 2020",1.80%
"Feb. 20, 2020",1.80%
"Feb. 19, 2020",1.82%
"Feb. 18, 2020",1.77%
"Feb. 14, 2020",1.80%
"Feb. 13, 2020",1.82%
"Feb. 12, 2020",1.85%
"Feb. 11, 2020",1.84%
"Feb. 10, 2020",1.84%
"Feb. 7, 2020",1.86%
"Feb. 6, 2020",1.86%
"Feb. 5, 2020",1.87%
"Feb. 4, 2020",1.89%
"Feb. 3, 2020",1.87%
"Jan. 31, 2020",1.86%
"Jan. 30, 2020",1.85%
"Jan. 29, 2020",1.88%
"Jan. 28, 2020",1.88%
"Jan. 27, 2020",1.87%
"Jan. 24, 2020",1.90%
"Jan. 23, 2020",1.92%
"Jan. 22, 2020",1.92%
"Jan. 21, 2020",1.95%
"Jan. 17, 2020",1.97%
"Jan. 16, 2020",1.98%
"Jan. 15, 2020",1.99%
"Jan. 14, 2020",2.02%
"Jan. 13, 2020",2.03%
"Jan. 10, 2020",2.05%
"Jan. 9, 2020",2.06%
"Jan. 8, 2020",2.07%
"Jan. 7, 2020",2.07%
"Jan. 6, 2020",2.07%
"Jan. 3, 2020",2.08%
"Jan. 2, 2020",2.10%
"Dec. 31, 2019",2.06%
"Dec. 30, 2019",2.07%
"Dec. 27, 2019",2.06%
"Dec. 26, 2019",2.07%
"Dec. 24, 2019",2.08%
"Dec. 23, 2019",2.09%
"Dec. 20, 2019",2.06%
"Dec. 19, 2019",2.08%
"Dec. 18, 2019",2.08%
"Dec. 17, 2019",2.08%
"Dec. 16, 2019",2.09%
"Dec. 13, 2019",2.11%
"Dec. 12, 2019",2.14%
"Dec. 11, 2019",2.12%
"Dec. 10, 2019",2.13%
"Dec. 9, 2019",2.13%
"Dec. 6, 2019",2.13%
"Dec. 5, 2019",2.13%
"Dec. 4, 2019",2.13%
"Dec. 3, 2019",2.15%
"Dec. 2, 2019",2.16%
"Nov. 29, 2019",2.14%
"Nov. 27, 2019",2.15%
"Nov. 26, 2019",2.07%
"Nov. 25, 2019",2.09%
"Nov. 22, 2019",2.08%
"Nov. 21, 2019",2.07%
"Nov. 20, 2019",2.07%
"Nov. 19, 2019",2.09%
"Nov. 18, 2019",2.09%
"Nov. 15, 2019",2.10%
"Nov. 14, 2019",2.11%
"Nov. 13, 2019",2.13%
"Nov. 12, 2019",2.18%
"Nov. 11, 2019",2.19%
"Nov. 8, 2019",2.19%
"Nov. 7, 2019",2.18%
"Nov. 6, 2019",2.14%
"Nov. 5, 2019",2.14%
"Nov. 4, 2019",2.12%
"Nov. 1, 2019",2.06%
"Oct. 31, 2019",2.04%
"Oct. 30, 2019",2.06%
"Oct. 29, 2019",2.09%
"Oct. 28, 2019",2.08%
"Oct. 25, 2019",2.05%
"Oct. 24, 2019",2.05%
"Oct. 23, 2019",2.06%
"Oct. 22, 2019",2.06%
"Oct. 21, 2019",2.09%
"Oct. 18, 2019",2.09%
"Oct. 17, 2019",2.10%
"Oct. 16, 2019",2.11%
"Oct. 15, 2019",2.14%
"Oct. 14, 2019",2.12%
"Oct. 11, 2019",2.12%
"Oct. 10, 2019",2.09%
"Oct. 9, 2019",2.08%
"Oct. 8, 2019",2.11%
"Oct. 7, 2019",2.09%
"Oct. 4, 2019",2.08%
"Oct. 3, 2019",2.11%
"Oct. 2, 2019",2.12%
"Oct. 1, 2019",2.09%
"Sept. 30, 2019",2.09%
"Sept. 27, 2019",2.10%
"Sept. 26, 2019",2.10%
"Sept. 25, 2019",2.12%
"Sept. 24, 2019",2.13%
"Sept. 23, 2019",2.16%
"Sept. 20, 2019",2.15%
"Sept. 19, 2019",2.16%
"Sept. 18, 2019",2.17%
"Sept. 17, 2019",2.19%
"Sept. 16, 2019",2.23%
"Sept. 13, 2019",2.22%
"Sept. 12, 2019",2.20%
