date,eps_est_0y
"March 19, 2020",9.078
"March 13, 2020",9.078
"March 12, 2020",9.069
"March 2, 2020",9.068
"Feb. 28, 2020",9.07
"Feb. 21, 2020",9.068
"Feb. 19, 2020",9.063
"Feb. 18, 2020",9.052
"Feb. 14, 2020",9.066
"Feb. 11, 2020",9.069
"Feb. 10, 2020",9.069
"Jan. 30, 2020",9.069
"Jan. 28, 2020",9.074
"Jan. 27, 2020",9.071
"Jan. 24, 2020",9.075
"Jan. 23, 2020",9.075
"Jan. 22, 2020",9.076
"Jan. 21, 2020",9.073
"Jan. 17, 2020",9.072
"Jan. 15, 2020",9.062
"Jan. 7, 2020",9.062
"Jan. 3, 2020",9.064
"Dec. 31, 2019",8.381
"Dec. 13, 2019",8.379
"Nov. 14, 2019",8.374
"Nov. 8, 2019",8.375
"Nov. 6, 2019",8.376
"Oct. 29, 2019",8.375
"Oct. 28, 2019",8.374
"Oct. 24, 2019",8.377
"Oct. 23, 2019",8.373
"Oct. 22, 2019",8.371
"Oct. 21, 2019",8.382
"Oct. 17, 2019",8.384
"Oct. 14, 2019",8.382
"Sept. 25, 2019",8.382
"Sept. 24, 2019",8.383
"Sept. 9, 2019",8.382
"Aug. 13, 2019",8.386
"Aug. 7, 2019",8.383
"July 26, 2019",8.379
"July 25, 2019",8.374
"July 24, 2019",8.385
"July 23, 2019",8.380
"July 22, 2019",8.380
"July 18, 2019",8.393
"July 16, 2019",8.368
"July 15, 2019",8.367
"July 12, 2019",8.369
"June 26, 2019",8.375
"June 25, 2019",8.379
"June 21, 2019",8.377
"June 20, 2019",8.385
"June 14, 2019",8.384
"June 4, 2019",8.384
"May 24, 2019",8.420
"May 16, 2019",8.423
"May 15, 2019",8.424
"May 13, 2019",8.424
"May 8, 2019",8.424
"April 30, 2019",8.431
"April 26, 2019",8.431
"April 25, 2019",8.438
"April 24, 2019",8.434
"April 23, 2019",8.424
"April 22, 2019",8.399
"April 18, 2019",8.399
"April 17, 2019",8.402
"April 15, 2019",8.40
"April 8, 2019",8.392
"March 20, 2019",8.394
"March 13, 2019",8.396
"March 4, 2019",8.397
"Feb. 25, 2019",8.394
"Feb. 19, 2019",8.400
"Feb. 13, 2019",8.400
"Feb. 12, 2019",8.399
"Feb. 11, 2019",8.400
"Jan. 31, 2019",8.398
"Jan. 29, 2019",8.414
"Jan. 28, 2019",8.412
"Jan. 25, 2019",8.403
"Jan. 23, 2019",8.402
"Jan. 22, 2019",8.402
"Jan. 18, 2019",8.404
"Jan. 14, 2019",8.403
"Jan. 11, 2019",8.404
"Jan. 8, 2019",8.406
"Jan. 7, 2019",8.397
"Jan. 4, 2019",8.381
"Dec. 31, 2018",7.749
"Dec. 14, 2018",7.749
"Dec. 12, 2018",7.748
"Dec. 10, 2018",7.748
"Nov. 30, 2018",7.747
"Nov. 21, 2018",7.753
"Nov. 1, 2018",7.753
"Oct. 31, 2018",7.754
"Oct. 27, 2018",7.758
"Oct. 25, 2018",7.761
"Oct. 24, 2018",7.758
"Oct. 23, 2018",7.757
"Oct. 22, 2018",7.754
"Oct. 19, 2018",7.756
"Oct. 18, 2018",7.757
"Oct. 11, 2018",7.757
"Oct. 9, 2018",7.764
"Sept. 11, 2018",7.762
"Sept. 6, 2018",7.761
"Sept. 4, 2018",7.762
"Aug. 30, 2018",7.763
"Aug. 29, 2018",7.756
"Aug. 17, 2018",7.757
"Aug. 13, 2018",7.760
"July 31, 2018",7.760
"July 30, 2018",7.760
"July 26, 2018",7.759
"July 25, 2018",7.768
"July 24, 2018",7.760
"July 23, 2018",7.758
"July 19, 2018",7.755
"July 18, 2018",7.753
"July 13, 2018",7.752
"July 11, 2018",7.753
"July 9, 2018",7.753
"June 13, 2018",7.752
"May 29, 2018",7.750
"May 23, 2018",7.750
"May 21, 2018",7.759
"May 11, 2018",7.750
"May 1, 2018",7.749
"April 30, 2018",7.746
"April 26, 2018",7.741
"April 25, 2018",7.746
"April 24, 2018",7.739
"April 22, 2018",7.746
"April 19, 2018",7.744
"April 18, 2018",7.746
"April 10, 2018",7.741
"March 9, 2018",7.741
"March 8, 2018",7.741
"March 3, 2018",7.746
"March 2, 2018",7.746
"Feb. 15, 2018",7.745
"Feb. 2, 2018",7.717
"Feb. 1, 2018",7.707
"Jan. 31, 2018",7.739
"Jan. 30, 2018",7.726
"Jan. 29, 2018",7.724
"Jan. 28, 2018",7.709
"Jan. 26, 2018",7.685
"Jan. 24, 2018",7.320
"Jan. 23, 2018",7.326
"Jan. 22, 2018",7.327
"Jan. 18, 2018",7.320
"Jan. 17, 2018",7.320
"Jan. 11, 2018",7.277
"Jan. 10, 2018",7.278
