date,gross_profit_margin
"Dec. 31, 2019",53.81%
"Sept. 30, 2019",61.79%
"June 30, 2019",60.28%
"March 31, 2019",56.27%
"Dec. 31, 2018",58.59%
"Sept. 30, 2018",56.68%
"June 30, 2018",57.13%
"March 31, 2018",58.78%
"Dec. 31, 2017",51.48%
"Sept. 30, 2017",58.55%
"June 30, 2017",57.72%
"March 31, 2017",56.27%
"Dec. 31, 2016",47.24%
"Sept. 30, 2016",57.34%
"June 30, 2016",52.76%
"March 31, 2016",54.97%
"Dec. 31, 2015",48.59%
"Sept. 30, 2015",53.75%
"June 30, 2015",51.45%
"March 31, 2015",48.88%
"Dec. 31, 2014",54.59%
"Sept. 30, 2014",49.76%
"June 30, 2014",46.86%
"March 31, 2014",41.40%
"Dec. 31, 2013",43.58%
"Sept. 30, 2013",48.66%
"June 30, 2013",47.14%
"March 31, 2013",44.46%
"Dec. 31, 2012",41.16%
"Sept. 30, 2012",40.10%
"June 30, 2012",44.61%
"March 31, 2012",41.95%
"Dec. 31, 2011",-13.48%
"Sept. 30, 2011",56.39%
"June 30, 2011",60.69%
"March 31, 2011",55.20%
"Dec. 31, 2010",-26.69%
"Sept. 30, 2010",57.56%
"June 30, 2010",59.48%
"March 31, 2010",62.76%
"Dec. 31, 2009",55.35%
"Sept. 30, 2009",51.62%
"June 30, 2009",52.85%
"March 31, 2009",51.12%
"Dec. 31, 2008",50.19%
"Sept. 30, 2008",49.36%
"June 30, 2008",45.22%
"March 31, 2008",49.74%
"Dec. 31, 2007",46.50%
"Sept. 30, 2007",46.60%
"June 30, 2007",46.40%
"March 31, 2007",45.63%
"Dec. 31, 2006",43.14%
"Sept. 30, 2006",43.42%
"June 30, 2006",42.92%
"March 31, 2006",42.72%
"Dec. 31, 2005",45.86%
"Sept. 30, 2005",47.89%
"June 30, 2005",49.18%
"March 31, 2005",49.20%
"Dec. 31, 2004",48.71%
"Sept. 30, 2004",50.12%
"June 30, 2004",52.54%
"March 31, 2004",50.28%
"Dec. 31, 2003",50.14%
"Sept. 30, 2003",52.50%
"June 30, 2003",51.93%
"March 31, 2003",54.66%
"Dec. 31, 2002",58.74%
"Sept. 30, 2002",54.02%
"June 30, 2002",54.46%
"March 31, 2002",56.38%
"Dec. 31, 2001",67.62%
"Sept. 30, 2001",50.89%
"June 30, 2001",51.34%
"March 31, 2001",51.00%
"Dec. 31, 2000",52.83%
"Sept. 30, 2000",59.51%
"June 30, 2000",63.77%
"March 31, 2000",63.08%
"Dec. 31, 1999",62.04%
"Sept. 30, 1999",63.37%
"June 30, 1999",63.57%
"March 31, 1999",64.16%
"Dec. 31, 1998",63.70%
"Sept. 30, 1998",67.03%
"June 30, 1998",67.02%
"March 31, 1998",67.41%
"Dec. 31, 1997",67.66%
"Sept. 30, 1997",63.74%
"June 30, 1997",64.71%
"March 31, 1997",62.35%
"Dec. 31, 1996",61.50%
"Sept. 30, 1996",64.48%
"June 30, 1996",66.07%
"March 31, 1996",66.88%
"Dec. 31, 1995",67.83%
"Sept. 30, 1995",69.70%
"June 30, 1995",68.75%
"March 31, 1995",70.71%
"Dec. 31, 1994",68.48%
"Sept. 30, 1994",68.90%
"June 30, 1994",67.17%
"March 31, 1994",69.04%
