date,liabilities
"Dec. 31, 2019",76.33B
"Sept. 30, 2019",74.05B
"June 30, 2019",72.13B
"March 31, 2019",71.19B
"Dec. 31, 2018",66.29B
"Sept. 30, 2018",61.26B
"June 30, 2018",59.32B
"March 31, 2018",58.29B
"Dec. 31, 2017",68.43B
"Sept. 30, 2017",69.46B
"June 30, 2017",66.01B
"March 31, 2017",64.74B
"Dec. 31, 2016",64.66B
"Sept. 30, 2016",63.00B
"June 30, 2016",61.54B
"March 31, 2016",61.01B
"Dec. 31, 2015",59.37B
"Sept. 30, 2015",57.14B
"June 30, 2015",55.60B
"March 31, 2015",54.46B
"Dec. 31, 2014",54.44B
"Sept. 30, 2014",53.05B
"June 30, 2014",53.16B
"March 31, 2014",52.17B
"Dec. 31, 2013",51.27B
"Sept. 30, 2013",49.76B
"June 30, 2013",48.62B
"March 31, 2013",47.64B
"Dec. 31, 2012",48.37B
"Sept. 30, 2012",46.16B
"June 30, 2012",44.60B
"March 31, 2012",43.98B
"Dec. 31, 2011",42.24B
"Sept. 30, 2011",41.70B
"June 30, 2011",39.65B
"March 31, 2011",38.66B
"Dec. 31, 2010",38.53B
"Sept. 30, 2010",38.58B
"June 30, 2010",37.68B
"March 31, 2010",37.61B
"Dec. 31, 2009",35.49B
"Sept. 30, 2009",34.42B
"June 30, 2009",34.16B
"March 31, 2009",33.30B
"Dec. 31, 2008",33.14B
"Sept. 30, 2008",33.94B
"June 30, 2008",33.14B
"March 31, 2008",30.62B
"Dec. 31, 2007",29.39B
"Sept. 30, 2007",28.96B
"June 30, 2007",27.14B
"March 31, 2007",25.66B
"Dec. 31, 2006",25.89B
"Sept. 30, 2006",25.29B
"June 30, 2006",24.69B
"March 31, 2006",23.90B
"Dec. 31, 2005",24.50B
"Sept. 30, 2005",25.25B
"June 30, 2005",21.72B
"March 31, 2005",21.25B
"Dec. 31, 2004",20.80B
"Sept. 30, 2004",21.08B
"June 30, 2004",19.98B
"March 31, 2004",20.06B
"Dec. 31, 2003",19.96B
"Sept. 30, 2003",18.02B
"June 30, 2003",16.52B
"March 31, 2003",15.67B
"Dec. 31, 2002",16.57B
"Sept. 30, 2002",12.14B
"June 30, 2002",11.68B
"March 31, 2002",11.44B
"Dec. 31, 2001",11.22B
"Sept. 30, 2001",11.15B
"June 30, 2001",10.58B
"March 31, 2001",9.813B
"Dec. 31, 2000",9.481B
"Sept. 30, 2000",9.032B
"June 30, 2000",8.471B
"March 31, 2000",7.743B
"Dec. 31, 1999",7.845B
"Sept. 30, 1999",7.936B
"June 30, 1999",7.925B
"March 31, 1999",6.858B
"Dec. 31, 1998",6.677B
"Sept. 30, 1998",7.495B
"June 30, 1998",7.682B
"March 31, 1998",7.389B
"Dec. 31, 1997",7.378B
"Sept. 30, 1997",7.809B
"June 30, 1997",7.820B
"March 31, 1997",7.807B
"Dec. 31, 1996",7.295B
"Sept. 30, 1996",7.453B
"June 30, 1996",7.484B
"March 31, 1996",7.543B
"Dec. 31, 1995",7.727B
"Sept. 30, 1995",7.726B
"June 30, 1995",7.882B
"March 31, 1995",7.898B
"Dec. 31, 1994",7.875B
"Sept. 30, 1994",8.220B
"June 30, 1994",8.222B
"March 31, 1994",8.217B
