date,market_cap
"March 19, 2020",101.26B
"March 18, 2020",103.00B
"March 17, 2020",108.43B
"March 16, 2020",98.46B
"March 13, 2020",108.34B
"March 12, 2020",102.14B
"March 11, 2020",117.97B
"March 10, 2020",125.04B
"March 9, 2020",127.76B
"March 6, 2020",132.91B
"March 5, 2020",135.03B
"March 4, 2020",138.00B
"March 3, 2020",129.65B
"March 2, 2020",131.21B
"Feb. 28, 2020",123.59B
"Feb. 27, 2020",125.10B
"Feb. 26, 2020",131.76B
"Feb. 25, 2020",132.18B
"Feb. 24, 2020",133.95B
"Feb. 21, 2020",135.73B
"Feb. 20, 2020",135.46B
"Feb. 19, 2020",134.30B
"Feb. 18, 2020",137.91B
"Feb. 14, 2020",136.19B
"Feb. 13, 2020",134.70B
"Feb. 12, 2020",132.15B
"Feb. 11, 2020",133.07B
"Feb. 10, 2020",132.87B
"Feb. 7, 2020",131.80B
"Feb. 6, 2020",131.20B
"Feb. 5, 2020",130.41B
"Feb. 4, 2020",129.35B
"Feb. 3, 2020",130.46B
"Jan. 31, 2020",131.14B
"Jan. 30, 2020",132.00B
"Jan. 29, 2020",129.96B
"Jan. 28, 2020",129.98B
"Jan. 27, 2020",130.44B
"Jan. 24, 2020",128.96B
"Jan. 23, 2020",127.18B
"Jan. 22, 2020",127.09B
"Jan. 21, 2020",125.62B
"Jan. 17, 2020",123.91B
"Jan. 16, 2020",123.36B
"Jan. 15, 2020",123.02B
"Jan. 14, 2020",121.14B
"Jan. 13, 2020",120.49B
"Jan. 10, 2020",119.10B
"Jan. 9, 2020",118.87B
"Jan. 8, 2020",117.95B
"Jan. 7, 2020",118.00B
"Jan. 6, 2020",118.10B
"Jan. 3, 2020",117.52B
"Jan. 2, 2020",116.69B
"Dec. 31, 2019",118.42B
"Dec. 30, 2019",117.94B
"Dec. 27, 2019",118.53B
"Dec. 26, 2019",118.26B
"Dec. 24, 2019",117.56B
"Dec. 23, 2019",116.71B
"Dec. 20, 2019",118.63B
"Dec. 19, 2019",117.62B
"Dec. 18, 2019",117.45B
"Dec. 17, 2019",117.22B
"Dec. 16, 2019",117.05B
"Dec. 13, 2019",115.82B
"Dec. 12, 2019",114.32B
"Dec. 11, 2019",115.24B
"Dec. 10, 2019",114.59B
"Dec. 9, 2019",114.51B
"Dec. 6, 2019",114.56B
"Dec. 5, 2019",114.65B
"Dec. 4, 2019",114.50B
"Dec. 3, 2019",113.51B
"Dec. 2, 2019",113.03B
"Nov. 29, 2019",114.29B
"Nov. 27, 2019",113.92B
"Nov. 26, 2019",114.82B
"Nov. 25, 2019",113.67B
"Nov. 22, 2019",114.07B
"Nov. 21, 2019",114.93B
"Nov. 20, 2019",114.97B
"Nov. 19, 2019",113.72B
"Nov. 18, 2019",113.47B
"Nov. 15, 2019",113.11B
"Nov. 14, 2019",112.35B
"Nov. 13, 2019",111.40B
"Nov. 12, 2019",109.10B
"Nov. 11, 2019",108.62B
"Nov. 8, 2019",108.55B
"Nov. 7, 2019",109.04B
"Nov. 6, 2019",111.19B
"Nov. 5, 2019",111.01B
"Nov. 4, 2019",112.22B
"Nov. 1, 2019",115.21B
"Oct. 31, 2019",116.49B
"Oct. 30, 2019",115.09B
"Oct. 29, 2019",113.69B
"Oct. 28, 2019",114.00B
"Oct. 25, 2019",115.78B
"Oct. 24, 2019",116.11B
"Oct. 23, 2019",115.35B
"Oct. 22, 2019",115.47B
"Oct. 21, 2019",113.79B
"Oct. 18, 2019",113.63B
"Oct. 17, 2019",112.95B
"Oct. 16, 2019",112.37B
"Oct. 15, 2019",111.22B
"Oct. 14, 2019",111.88B
"Oct. 11, 2019",112.19B
"Oct. 10, 2019",113.40B
"Oct. 9, 2019",114.06B
"Oct. 8, 2019",112.40B
"Oct. 7, 2019",113.66B
"Oct. 4, 2019",114.17B
"Oct. 3, 2019",112.50B
"Oct. 2, 2019",111.98B
"Oct. 1, 2019",113.41B
"Sept. 30, 2019",113.88B
"Sept. 27, 2019",113.03B
"Sept. 26, 2019",113.25B
"Sept. 25, 2019",112.10B
"Sept. 24, 2019",111.68B
"Sept. 23, 2019",110.11B
"Sept. 20, 2019",110.32B
"Sept. 19, 2019",109.92B
"Sept. 18, 2019",109.43B
"Sept. 17, 2019",108.61B
"Sept. 16, 2019",106.70B
"Sept. 13, 2019",106.79B
"Sept. 12, 2019",107.89B
"Sept. 11, 2019",107.55B
"Sept. 10, 2019",106.61B
"Sept. 9, 2019",107.47B
"Sept. 6, 2019",107.59B
"Sept. 5, 2019",107.43B
"Sept. 4, 2019",109.54B
"Sept. 3, 2019",110.24B
"Aug. 30, 2019",104.96B
"Aug. 29, 2019",105.94B
"Aug. 28, 2019",105.97B
"Aug. 27, 2019",107.32B
"Aug. 26, 2019",107.14B
