date,max_drawdown_all
"Feb. 29, 2020",67.35%
"Jan. 31, 2020",67.35%
"Dec. 31, 2019",67.35%
"Nov. 30, 2019",67.35%
"Oct. 31, 2019",67.35%
"Sept. 30, 2019",67.35%
"Aug. 31, 2019",67.35%
"July 31, 2019",67.35%
"June 30, 2019",67.35%
"May 31, 2019",67.35%
"April 30, 2019",67.35%
"March 31, 2019",67.35%
"Feb. 28, 2019",67.35%
"Jan. 31, 2019",67.35%
"Dec. 31, 2018",67.35%
"Nov. 30, 2018",67.35%
"Oct. 31, 2018",67.35%
"Sept. 30, 2018",67.35%
"Aug. 31, 2018",67.35%
"July 31, 2018",67.35%
"June 30, 2018",67.35%
"May 31, 2018",67.35%
"April 30, 2018",67.35%
"March 31, 2018",67.35%
"Feb. 28, 2018",67.35%
"Jan. 31, 2018",67.35%
"Dec. 31, 2017",67.35%
"Nov. 30, 2017",67.35%
"Oct. 31, 2017",67.35%
"Sept. 30, 2017",67.35%
"Aug. 31, 2017",67.35%
"July 31, 2017",67.35%
"June 30, 2017",67.35%
"May 31, 2017",67.35%
"April 30, 2017",67.35%
"March 31, 2017",67.35%
"Feb. 28, 2017",67.35%
"Jan. 31, 2017",67.35%
"Dec. 31, 2016",67.35%
"Nov. 30, 2016",67.35%
"Oct. 31, 2016",67.35%
"Sept. 30, 2016",67.35%
"Aug. 31, 2016",67.35%
"July 31, 2016",67.35%
"June 30, 2016",67.35%
"May 31, 2016",67.35%
"April 30, 2016",67.35%
"March 31, 2016",67.35%
"Feb. 29, 2016",67.35%
"Jan. 31, 2016",67.35%
"Dec. 31, 2015",67.35%
"Nov. 30, 2015",67.35%
"Oct. 31, 2015",67.35%
"Sept. 30, 2015",67.35%
"Aug. 31, 2015",67.35%
"July 31, 2015",67.35%
"June 30, 2015",67.35%
"May 31, 2015",67.35%
"April 30, 2015",67.35%
"March 31, 2015",67.35%
"Feb. 28, 2015",67.35%
"Jan. 31, 2015",67.35%
"Dec. 31, 2014",67.35%
"Nov. 30, 2014",67.35%
"Oct. 31, 2014",67.35%
"Sept. 30, 2014",67.35%
"Aug. 31, 2014",67.35%
"July 31, 2014",67.35%
"June 30, 2014",67.35%
"May 31, 2014",67.35%
