date,price_target_upside
"March 19, 2020",28.09%
"March 18, 2020",25.94%
"March 17, 2020",19.62%
"March 16, 2020",31.74%
"March 13, 2020",21.11%
"March 12, 2020",28.19%
"March 11, 2020",10.67%
"March 10, 2020",4.41%
"March 9, 2020",2.19%
"March 6, 2020",-2.00%
"March 5, 2020",-3.54%
"March 4, 2020",-5.61%
"March 3, 2020",0.47%
"March 2, 2020",-0.73%
"Feb. 28, 2020",5.72%
"Feb. 27, 2020",4.44%
"Feb. 26, 2020",-0.83%
"Feb. 25, 2020",-1.15%
"Feb. 24, 2020",-2.45%
"Feb. 21, 2020",-3.73%
"Feb. 20, 2020",-4.13%
"Feb. 19, 2020",-3.31%
"Feb. 18, 2020",-6.75%
"Feb. 14, 2020",-5.32%
"Feb. 13, 2020",-4.38%
"Feb. 12, 2020",-2.80%
"Feb. 11, 2020",-3.47%
"Feb. 10, 2020",-3.32%
"Feb. 7, 2020",-2.54%
"Feb. 6, 2020",-2.32%
"Feb. 5, 2020",-1.72%
"Feb. 4, 2020",-0.92%
"Feb. 3, 2020",-1.76%
"Jan. 31, 2020",-2.27%
"Jan. 30, 2020",-2.89%
"Jan. 29, 2020",-2.15%
"Jan. 28, 2020",-2.41%
"Jan. 27, 2020",-2.77%
"Jan. 24, 2020",-3.84%
"Jan. 23, 2020",-3.36%
"Jan. 22, 2020",-3.72%
"Jan. 21, 2020",-2.70%
"Jan. 17, 2020",-1.67%
"Jan. 16, 2020",-1.38%
"Jan. 15, 2020",-1.56%
"Jan. 14, 2020",-0.16%
"Jan. 13, 2020",0.38%
"Jan. 10, 2020",1.55%
"Jan. 9, 2020",1.75%
"Jan. 8, 2020",2.31%
"Jan. 7, 2020",2.27%
"Jan. 6, 2020",1.60%
"Jan. 3, 2020",2.11%
"Jan. 2, 2020",2.65%
"Dec. 31, 2019",1.15%
"Dec. 30, 2019",1.51%
"Dec. 27, 2019",0.77%
"Dec. 26, 2019",1.00%
"Dec. 24, 2019",1.61%
"Dec. 23, 2019",2.35%
"Dec. 20, 2019",0.69%
"Dec. 19, 2019",0.72%
"Dec. 18, 2019",0.87%
"Dec. 17, 2019",1.07%
"Dec. 16, 2019",1.22%
"Dec. 13, 2019",2.34%
"Dec. 12, 2019",2.67%
"Dec. 11, 2019",1.85%
"Dec. 10, 2019",2.43%
"Dec. 9, 2019",2.51%
"Dec. 6, 2019",2.45%
"Dec. 5, 2019",2.38%
"Dec. 4, 2019",2.51%
"Dec. 3, 2019",3.41%
"Dec. 2, 2019",3.84%
"Nov. 29, 2019",2.70%
"Nov. 27, 2019",3.18%
"Nov. 26, 2019",2.36%
"Nov. 25, 2019",3.40%
"Nov. 22, 2019",3.04%
"Nov. 21, 2019",2.27%
"Nov. 20, 2019",1.95%
"Nov. 19, 2019",3.07%
"Nov. 18, 2019",3.29%
"Nov. 15, 2019",3.62%
"Nov. 14, 2019",4.32%
"Nov. 13, 2019",5.22%
"Nov. 12, 2019",7.43%
"Nov. 11, 2019",7.91%
"Nov. 8, 2019",7.98%
"Nov. 7, 2019",7.49%
"Nov. 6, 2019",5.41%
"Nov. 5, 2019",4.99%
"Nov. 4, 2019",3.85%
"Nov. 1, 2019",1.16%
"Oct. 31, 2019",-0.18%
"Oct. 30, 2019",1.05%
"Oct. 29, 2019",2.29%
"Oct. 28, 2019",1.99%
"Oct. 25, 2019",-0.54%
"Oct. 24, 2019",-0.82%
"Oct. 23, 2019",-0.99%
"Oct. 22, 2019",-1.36%
"Oct. 21, 2019",-0.51%
"Oct. 18, 2019",-1.85%
"Oct. 17, 2019",-1.26%
"Oct. 16, 2019",-0.77%
"Oct. 15, 2019",0.26%
"Oct. 14, 2019",-0.34%
"Oct. 11, 2019",-1.48%
"Oct. 10, 2019",-2.89%
"Oct. 9, 2019",-3.46%
"Oct. 8, 2019",-2.49%
"Oct. 7, 2019",-3.57%
"Oct. 4, 2019",-4.00%
"Oct. 3, 2019",-2.58%
"Oct. 2, 2019",-2.95%
"Oct. 1, 2019",-4.17%
"Sept. 30, 2019",-4.56%
"Sept. 27, 2019",-3.85%
"Sept. 26, 2019",-4.04%
"Sept. 25, 2019",-3.06%
"Sept. 24, 2019",-2.69%
"Sept. 23, 2019",-1.02%
"Sept. 20, 2019",-1.22%
"Sept. 19, 2019",-0.86%
"Sept. 18, 2019",-0.41%
"Sept. 17, 2019",0.34%
"Sept. 16, 2019",2.14%
"Sept. 13, 2019",2.05%
"Sept. 12, 2019",0.99%
"Sept. 11, 2019",1.30%
"Sept. 10, 2019",2.20%
"Sept. 9, 2019",1.38%
"Sept. 6, 2019",0.88%
"Sept. 5, 2019",0.78%
"Sept. 4, 2019",-0.93%
"Sept. 3, 2019",-1.57%
"Aug. 30, 2019",1.15%
"Aug. 29, 2019",0.22%
"Aug. 28, 2019",0.19%
"Aug. 27, 2019",-1.46%
"Aug. 26, 2019",-1.28%
"Aug. 23, 2019",-0.52%
"Aug. 22, 2019",-0.39%
"Aug. 21, 2019",-0.23%
"Aug. 20, 2019",0.74%
"Aug. 19, 2019",0.82%
"Aug. 16, 2019",1.48%
"Aug. 15, 2019",1.68%
"Aug. 14, 2019",2.72%
"Aug. 13, 2019",2.40%
"Aug. 12, 2019",1.79%
"Aug. 9, 2019",1.31%
"Aug. 8, 2019",1.25%
"Aug. 7, 2019",1.82%
"Aug. 6, 2019",1.90%
"Aug. 5, 2019",3.54%
"Aug. 2, 2019",1.90%
"Aug. 1, 2019",2.45%
"July 31, 2019",3.98%
"July 30, 2019",2.88%
"July 29, 2019",1.91%
"July 26, 2019",2.64%
"July 25, 2019",3.32%
"July 24, 2019",2.13%
"July 23, 2019",3.49%
"July 22, 2019",2.47%
"July 19, 2019",1.28%
"July 18, 2019",0.03%
"July 17, 2019",1.19%
"July 16, 2019",2.21%
"July 15, 2019",1.79%
"July 12, 2019",1.55%
"July 11, 2019",0.27%
"July 10, 2019",0.71%
"July 9, 2019",1.35%
"July 8, 2019",0.88%
"July 5, 2019",1.38%
"July 3, 2019",1.07%
"July 2, 2019",1.60%
"July 1, 2019",3.41%
"June 28, 2019",2.98%
"June 27, 2019",3.14%
"June 26, 2019",3.89%
"June 25, 2019",1.85%
"June 24, 2019",0.22%
"June 21, 2019",0.53%
"June 20, 2019",0.11%
"June 19, 2019",-0.18%
"June 18, 2019",-0.42%
"June 17, 2019",-1.16%
"June 14, 2019",-1.70%
"June 13, 2019",-0.98%
"June 12, 2019",-0.87%
"June 11, 2019",0.39%
"June 10, 2019",-0.32%
"June 7, 2019",-1.36%
"June 6, 2019",-2.30%
"June 5, 2019",-1.77%
"June 4, 2019",0.83%
"June 3, 2019",0.06%
"May 31, 2019",0.75%
"May 30, 2019",0.38%
"May 29, 2019",0.49%
"May 28, 2019",-0.73%
"May 24, 2019",-1.81%
"May 23, 2019",-2.13%
"May 22, 2019",-1.35%
"May 21, 2019",0.15%
"May 20, 2019",-0.08%
"May 17, 2019",0.11%
"May 16, 2019",1.06%
"May 15, 2019",2.20%
"May 14, 2019",1.52%
"May 13, 2019",1.50%
"May 10, 2019",3.18%
"May 9, 2019",4.90%
"May 8, 2019",5.31%
"May 7, 2019",3.84%
"May 6, 2019",3.21%
"May 3, 2019",2.40%
"May 2, 2019",2.77%
"May 1, 2019",1.94%
"April 30, 2019",1.33%
"April 29, 2019",2.74%
"April 26, 2019",2.77%
"April 25, 2019",3.44%
"April 24, 2019",3.37%
"April 23, 2019",3.05%
"April 22, 2019",2.44%
"April 18, 2019",2.73%
"April 17, 2019",3.10%
"April 16, 2019",2.96%
"April 15, 2019",2.08%
"April 12, 2019",1.78%
"April 11, 2019",2.22%
"April 10, 2019",2.98%
"April 9, 2019",2.39%
"April 8, 2019",2.97%
"April 5, 2019",2.02%
"April 4, 2019",2.93%
"April 3, 2019",2.43%
"April 2, 2019",2.34%
"April 1, 2019",1.80%
"March 29, 2019",0.31%
"March 28, 2019",-0.15%
"March 27, 2019",-1.18%
"March 26, 2019",-1.72%
"March 25, 2019",-1.02%
"March 22, 2019",-1.18%
"March 21, 2019",-0.14%
"March 20, 2019",0.93%
"March 19, 2019",0.84%
"March 18, 2019",-0.41%
"March 15, 2019",-0.60%
"March 14, 2019",-0.47%
"March 13, 2019",-0.46%
"March 12, 2019",-0.51%
"March 11, 2019",0.22%
"March 8, 2019",0.64%
"March 7, 2019",1.06%
"March 6, 2019",1.25%
"March 5, 2019",0.85%
"March 4, 2019",0.89%
"March 1, 2019",1.26%
"Feb. 28, 2019",1.17%
"Feb. 27, 2019",1.67%
"Feb. 26, 2019",0.90%
"Feb. 25, 2019",1.09%
"Feb. 22, 2019",-0.17%
"Feb. 21, 2019",0.67%
"Feb. 20, 2019",1.17%
"Feb. 19, 2019",1.32%
"Feb. 15, 2019",2.05%
"Feb. 14, 2019",2.85%
"Feb. 13, 2019",2.72%
"Feb. 12, 2019",2.31%
"Feb. 11, 2019",2.34%
"Feb. 8, 2019",2.05%
"Feb. 7, 2019",2.98%
"Feb. 6, 2019",4.86%
"Feb. 5, 2019",4.82%
"Feb. 4, 2019",4.86%
"Feb. 1, 2019",5.03%
"Jan. 31, 2019",4.35%
"Jan. 30, 2019",7.71%
"Jan. 29, 2019",8.12%
"Jan. 28, 2019",8.09%
"Jan. 25, 2019",6.29%
"Jan. 24, 2019",2.71%
"Jan. 23, 2019",3.22%
"Jan. 22, 2019",4.50%
"Jan. 18, 2019",5.42%
"Jan. 17, 2019",5.57%
"Jan. 16, 2019",6.06%
"Jan. 15, 2019",6.03%
"Jan. 14, 2019",8.20%
"Jan. 11, 2019",5.47%
"Jan. 10, 2019",5.96%
"Jan. 9, 2019",7.55%
"Jan. 8, 2019",7.09%
"Jan. 7, 2019",7.78%
"Jan. 4, 2019",7.01%
"Jan. 3, 2019",9.02%
"Jan. 2, 2019",8.75%
"Dec. 31, 2018",6.25%
"Dec. 28, 2018",6.93%
"Dec. 27, 2018",7.27%
"Dec. 26, 2018",8.42%
"Dec. 24, 2018",9.88%
"Dec. 21, 2018",6.07%
"Dec. 20, 2018",5.59%
"Dec. 19, 2018",5.82%
"Dec. 18, 2018",4.93%
"Dec. 17, 2018",5.14%
"Dec. 14, 2018",1.90%
"Dec. 13, 2018",1.10%
"Dec. 12, 2018",1.60%
"Dec. 11, 2018",-0.10%
"Dec. 10, 2018",0.10%
"Dec. 7, 2018",-0.44%
"Dec. 6, 2018",-0.33%
"Dec. 4, 2018",-0.06%
"Dec. 3, 2018",-0.24%
"Nov. 30, 2018",0.19%
"Nov. 29, 2018",2.37%
"Nov. 28, 2018",1.83%
"Nov. 27, 2018",1.86%
"Nov. 26, 2018",2.42%
"Nov. 23, 2018",2.25%
"Nov. 21, 2018",2.92%
"Nov. 20, 2018",1.16%
"Nov. 19, 2018",-0.64%
"Nov. 16, 2018",0.10%
"Nov. 15, 2018",0.78%
"Nov. 14, 2018",2.13%
"Nov. 13, 2018",1.07%
"Nov. 12, 2018",1.17%
"Nov. 9, 2018",2.28%
"Nov. 8, 2018",3.77%
"Nov. 7, 2018",4.03%
"Nov. 6, 2018",5.29%
"Nov. 5, 2018",5.75%
"Nov. 2, 2018",7.36%
"Nov. 1, 2018",5.90%
"Oct. 31, 2018",4.26%
"Oct. 30, 2018",3.44%
"Oct. 29, 2018",3.90%
"Oct. 26, 2018",5.52%
"Oct. 25, 2018",3.50%
"Oct. 24, 2018",2.06%
"Oct. 23, 2018",5.03%
"Oct. 22, 2018",3.79%
"Oct. 19, 2018",3.44%
"Oct. 18, 2018",4.55%
"Oct. 17, 2018",5.00%
"Oct. 16, 2018",4.69%
"Oct. 15, 2018",5.70%
"Oct. 12, 2018",5.88%
"Oct. 11, 2018",6.05%
"Oct. 10, 2018",3.31%
"Oct. 9, 2018",2.46%
"Oct. 8, 2018",2.70%
"Oct. 5, 2018",3.27%
"Oct. 4, 2018",5.17%
"Oct. 3, 2018",5.80%
"Oct. 2, 2018",5.11%
"Oct. 1, 2018",6.59%
"Sept. 28, 2018",6.21%
"Sept. 27, 2018",7.49%
"Sept. 26, 2018",8.24%
"Sept. 25, 2018",6.68%
"Sept. 24, 2018",5.44%
"Sept. 21, 2018",4.24%
"Sept. 20, 2018",5.22%
"Sept. 19, 2018",5.28%
"Sept. 18, 2018",2.69%
"Sept. 17, 2018",2.44%
"Sept. 14, 2018",2.23%
"Sept. 13, 2018",1.68%
"Sept. 12, 2018",2.91%
"Sept. 11, 2018",3.12%
"Sept. 10, 2018",3.04%
"Sept. 7, 2018",3.00%
"Sept. 6, 2018",1.98%
