date,asset_utilization
"Dec. 31, 2019",0.2358
"Sept. 30, 2019",0.243
"June 30, 2019",0.2455
"March 31, 2019",0.2497
"Dec. 31, 2018",0.2486
"Sept. 30, 2018",0.2502
"June 30, 2018",0.2561
"March 31, 2018",0.2597
"Dec. 31, 2017",0.2555
"Sept. 30, 2017",0.2569
"June 30, 2017",0.2585
"March 31, 2017",0.2572
"Dec. 31, 2016",0.2514
"Sept. 30, 2016",0.2448
"June 30, 2016",0.2231
"March 31, 2016",0.2066
"Dec. 31, 2015",0.2121
"Sept. 30, 2015",0.2135
"June 30, 2015",0.2035
"March 31, 2015",0.2266
"Dec. 31, 2014",0.2509
"Sept. 30, 2014",0.2203
"June 30, 2014",0.235
"March 31, 2014",0.2324
"Dec. 31, 2013",0.2106
"Sept. 30, 2013",0.2524
"June 30, 2013",0.2508
"March 31, 2013",0.2458
"Dec. 31, 2012",0.2416
"Sept. 30, 2012",0.2382
"June 30, 2012",0.2473
"March 31, 2012",0.2591
"Dec. 31, 2011",0.2899
"Sept. 30, 2011",0.3179
"June 30, 2011",0.3238
"March 31, 2011",0.3208
"Dec. 31, 2010",0.328
"Sept. 30, 2010",0.3289
"June 30, 2010",0.3214
"March 31, 2010",0.3255
"Dec. 31, 2009",0.3419
"Sept. 30, 2009",0.4185
"June 30, 2009",0.4327
"March 31, 2009",0.4526
"Dec. 31, 2008",0.4892
"Sept. 30, 2008",0.4494
"June 30, 2008",0.4611
"March 31, 2008",0.4671
"Dec. 31, 2007",0.4423
"Sept. 30, 2007",0.4331
"June 30, 2007",0.4306
"March 31, 2007",0.4158
"Dec. 31, 2006",0.4211
"Sept. 30, 2006",0.4626
"June 30, 2006",0.4676
"March 31, 2006",0.4701
"Dec. 31, 2005",0.4565
"Sept. 30, 2005",0.4215
"June 30, 2005",0.4204
"March 31, 2005",0.4136
"Dec. 31, 2004",0.4032
"Sept. 30, 2004",0.3921
"June 30, 2004",0.3869
"March 31, 2004",0.3748
"Dec. 31, 2003",0.3758
"Sept. 30, 2003",0.3793
"June 30, 2003",0.3751
"March 31, 2003",0.3634
"Dec. 31, 2002",0.3204
"Sept. 30, 2002",0.3363
"June 30, 2002",0.3815
"March 31, 2002",0.4264
"Dec. 31, 2001",0.522
"Sept. 30, 2001",0.6328
"June 30, 2001",0.6832
"March 31, 2001",0.7267
"Dec. 31, 2000",0.6277
"Sept. 30, 2000",0.6181
"June 30, 2000",0.5578
"March 31, 2000",0.5363
"Dec. 31, 1999",0.5357
"Sept. 30, 1999",0.5049
"June 30, 1999",0.5463
"March 31, 1999",0.5737
"Dec. 31, 1998",0.581
"Sept. 30, 1998",0.6149
"June 30, 1998",0.5833
"March 31, 1998",0.5545
"Dec. 31, 1997",0.5437
"Sept. 30, 1997",0.5138
"June 30, 1997",0.4853
"March 31, 1997",0.4738
"Dec. 31, 1996",0.4744
"Sept. 30, 1996",0.4678
"June 30, 1996",0.4671
"March 31, 1996",0.4608
"Dec. 31, 1995",0.4503
"Sept. 30, 1995",0.4302
"June 30, 1995",0.4215
"March 31, 1995",0.4173
"Dec. 31, 1994",0.4282
"Sept. 30, 1994",0.4388
