date,days_inventory_outstanding
"Dec. 31, 2019",52.19
"Sept. 30, 2019",59.28
"June 30, 2019",80.53
"March 31, 2019",23.62
"Dec. 31, 2018",31.07
"Sept. 30, 2018",36.55
"June 30, 2018",39.12
"March 31, 2018",29.00
"Dec. 31, 2017",50.78
"Sept. 30, 2017",68.19
"June 30, 2017",45.65
"March 31, 2017",36.44
"Dec. 31, 2016",54.70
"Sept. 30, 2016",77.99
"June 30, 2016",58.42
"March 31, 2016",45.83
"Dec. 31, 2015",73.73
"Sept. 30, 2015",91.47
"June 30, 2015",61.36
"March 31, 2015",34.93
"Dec. 31, 2014",62.40
"Sept. 30, 2014",98.02
"June 30, 2014",44.61
"March 31, 2014",25.89
"Dec. 31, 2013",92.10
"Sept. 30, 2013",66.09
"June 30, 2013",38.58
"March 31, 2013",32.22
"Dec. 31, 2012",57.84
"Sept. 30, 2012",70.87
"June 30, 2012",57.89
"March 31, 2012",42.37
"Dec. 31, 2011",27.58
"Sept. 30, 2011",153.58
"June 30, 2011",66.78
"March 31, 2011",30.82
"Dec. 31, 2010",23.23
"Sept. 30, 2010",130.34
"June 30, 2010",87.02
"March 31, 2010",33.04
"Dec. 31, 2009",77.68
"Sept. 30, 2009",162.38
"June 30, 2009",53.51
"March 31, 2009",30.61
"Dec. 31, 2008",39.98
"Sept. 30, 2008",147.84
"June 30, 2008",61.56
"March 31, 2008",24.46
"Dec. 31, 2007",
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",
"Dec. 31, 2000",
"Sept. 30, 2000",
"June 30, 2000",29.13
"March 31, 2000",
"Dec. 31, 1999",
"Sept. 30, 1999",56.28
"June 30, 1999",47.18
"March 31, 1999",30.05
"Dec. 31, 1998",
"Sept. 30, 1998",41.07
"June 30, 1998",45.01
"March 31, 1998",39.24
"Dec. 31, 1997",57.81
"Sept. 30, 1997",95.88
"June 30, 1997",82.89
"March 31, 1997",39.31
"Dec. 31, 1996",60.08
"Sept. 30, 1996",112.07
"June 30, 1996",65.27
"March 31, 1996",40.19
"Dec. 31, 1995",69.86
"Sept. 30, 1995",108.04
"June 30, 1995",84.45
"March 31, 1995",53.73
"Dec. 31, 1994",86.53
"Sept. 30, 1994",131.81
"June 30, 1994",89.04
