date,forward_pe_ratio
"March 19, 2020",17.23
"March 18, 2020",17.41
"March 17, 2020",18.12
"March 16, 2020",15.45
"March 13, 2020",18.57
"March 12, 2020",17.72
"March 11, 2020",19.99
"March 10, 2020",21.04
"March 9, 2020",20.42
"March 6, 2020",21.73
"March 5, 2020",21.86
"March 4, 2020",22.03
"March 3, 2020",20.93
"March 2, 2020",21.07
"Feb. 28, 2020",19.93
"Feb. 27, 2020",20.14
"Feb. 26, 2020",20.47
"Feb. 25, 2020",20.93
"Feb. 24, 2020",21.58
"Feb. 21, 2020",22.04
"Feb. 20, 2020",22.17
"Feb. 19, 2020",22.14
"Feb. 18, 2020",22.28
"Feb. 14, 2020",22.28
"Feb. 13, 2020",22.27
"Feb. 12, 2020",22.00
"Feb. 11, 2020",22.08
"Feb. 10, 2020",22.03
"Feb. 7, 2020",21.98
"Feb. 6, 2020",22.02
"Feb. 5, 2020",21.96
"Feb. 4, 2020",21.75
"Feb. 3, 2020",21.97
"Jan. 31, 2020",21.62
"Jan. 30, 2020",21.47
"Jan. 29, 2020",21.53
"Jan. 28, 2020",21.48
"Jan. 27, 2020",21.31
"Jan. 24, 2020",21.45
"Jan. 23, 2020",21.53
"Jan. 22, 2020",21.44
"Jan. 21, 2020",21.53
"Jan. 17, 2020",21.42
"Jan. 16, 2020",21.27
"Jan. 15, 2020",21.16
"Jan. 14, 2020",20.79
"Jan. 13, 2020",20.55
"Jan. 10, 2020",20.39
"Jan. 9, 2020",20.47
"Jan. 8, 2020",20.40
"Jan. 7, 2020",20.38
"Jan. 6, 2020",20.20
"Jan. 3, 2020",20.21
"Jan. 2, 2020",20.05
"Dec. 31, 2019",20.54
"Dec. 30, 2019",21.22
"Dec. 27, 2019",21.04
"Dec. 26, 2019",21.09
"Dec. 24, 2019",21.15
"Dec. 23, 2019",21.16
"Dec. 20, 2019",21.40
"Dec. 19, 2019",21.29
"Dec. 18, 2019",21.24
"Dec. 17, 2019",21.02
"Dec. 16, 2019",20.95
"Dec. 13, 2019",20.72
"Dec. 12, 2019",20.56
"Dec. 11, 2019",20.73
"Dec. 10, 2019",20.82
"Dec. 9, 2019",20.60
"Dec. 6, 2019",20.66
"Dec. 5, 2019",20.55
"Dec. 4, 2019",20.43
"Dec. 3, 2019",20.36
"Dec. 2, 2019",20.18
"Nov. 29, 2019",20.39
"Nov. 27, 2019",20.45
"Nov. 26, 2019",20.40
"Nov. 25, 2019",20.47
"Nov. 22, 2019",20.32
"Nov. 21, 2019",20.22
"Nov. 20, 2019",20.09
"Nov. 19, 2019",20.08
"Nov. 18, 2019",20.24
"Nov. 15, 2019",20.43
"Nov. 14, 2019",20.29
"Nov. 13, 2019",20.35
"Nov. 12, 2019",20.11
"Nov. 11, 2019",20.11
"Nov. 8, 2019",20.36
"Nov. 7, 2019",20.57
"Nov. 6, 2019",20.89
"Nov. 5, 2019",20.77
"Nov. 4, 2019",21.06
"Nov. 1, 2019",21.32
"Oct. 31, 2019",21.62
"Oct. 30, 2019",21.21
"Oct. 29, 2019",21.06
"Oct. 28, 2019",21.16
"Oct. 25, 2019",21.62
"Oct. 24, 2019",21.74
"Oct. 23, 2019",21.70
"Oct. 22, 2019",21.80
"Oct. 21, 2019",21.63
"Oct. 18, 2019",21.57
"Oct. 17, 2019",21.55
"Oct. 16, 2019",21.56
"Oct. 15, 2019",21.70
"Oct. 14, 2019",22.00
"Oct. 11, 2019",22.47
"Oct. 10, 2019",22.37
"Oct. 9, 2019",22.39
"Oct. 8, 2019",22.23
"Oct. 7, 2019",22.61
"Oct. 4, 2019",22.84
"Oct. 3, 2019",22.64
"Oct. 2, 2019",22.67
"Oct. 1, 2019",22.92
"Sept. 30, 2019",23.07
"Sept. 27, 2019",23.15
"Sept. 26, 2019",23.56
"Sept. 25, 2019",23.18
"Sept. 24, 2019",23.10
"Sept. 23, 2019",22.84
"Sept. 20, 2019",22.73
"Sept. 19, 2019",22.70
"Sept. 18, 2019",22.72
"Sept. 17, 2019",22.69
"Sept. 16, 2019",22.39
"Sept. 13, 2019",22.39
"Sept. 12, 2019",22.44
"Sept. 11, 2019",22.47
"Sept. 10, 2019",22.34
"Sept. 9, 2019",22.29
"Sept. 6, 2019",22.61
"Sept. 5, 2019",22.88
"Sept. 4, 2019",23.29
"Sept. 3, 2019",23.18
"Aug. 30, 2019",22.78
"Aug. 29, 2019",22.70
"Aug. 28, 2019",22.44
"Aug. 27, 2019",22.54
"Aug. 26, 2019",22.68
"Aug. 23, 2019",22.37
"Aug. 22, 2019",22.85
"Aug. 21, 2019",22.87
"Aug. 20, 2019",22.61
"Aug. 19, 2019",22.84
"Aug. 16, 2019",22.68
"Aug. 15, 2019",22.38
"Aug. 14, 2019",22.12
"Aug. 13, 2019",22.13
"Aug. 12, 2019",22.09
"Aug. 9, 2019",22.03
"Aug. 8, 2019",22.20
"Aug. 7, 2019",21.30
"Aug. 6, 2019",21.66
"Aug. 5, 2019",21.67
"Aug. 2, 2019",22.91
"Aug. 1, 2019",23.16
"July 31, 2019",22.89
"July 30, 2019",22.81
"July 29, 2019",22.98
"July 26, 2019",22.74
"July 25, 2019",22.66
"July 24, 2019",22.71
"July 23, 2019",22.53
"July 22, 2019",22.47
"July 19, 2019",22.51
"July 18, 2019",22.81
"July 17, 2019",22.56
"July 16, 2019",22.47
"July 15, 2019",22.68
"July 12, 2019",22.62
"July 11, 2019",22.76
"July 10, 2019",22.74
"July 9, 2019",22.79
"July 8, 2019",22.67
"July 5, 2019",22.71
"July 3, 2019",22.75
"July 2, 2019",22.42
"July 1, 2019",22.04
"June 30, 2019",
"June 28, 2019",22.20
"June 27, 2019",22.06
"June 26, 2019",22.12
"June 25, 2019",22.62
"June 24, 2019",22.61
"June 21, 2019",22.64
