date,free_cash_flow
"Dec. 31, 2019",-140.90M
"Sept. 30, 2019",-160.90M
"June 30, 2019",37.30M
"March 31, 2019",45.40M
"Dec. 31, 2018",-908.70M
"Sept. 30, 2018",-346.40M
"June 30, 2018",-41.20M
"March 31, 2018",18.20M
"Dec. 31, 2017",-266.80M
"Sept. 30, 2017",-606.00M
"June 30, 2017",-179.90M
"March 31, 2017",99.10M
"Dec. 31, 2016",-120.50M
"Sept. 30, 2016",-366.00M
"June 30, 2016",-187.30M
"March 31, 2016",1.90M
"Dec. 31, 2015",-174.40M
"Sept. 30, 2015",-290.30M
"June 30, 2015",199.90M
"March 31, 2015",360.90M
"Dec. 31, 2014",64.90M
"Sept. 30, 2014",174.10M
"June 30, 2014",-209.60M
"March 31, 2014",7.70M
"Dec. 31, 2013",450.40M
"Sept. 30, 2013",-311.50M
"June 30, 2013",13.00M
"March 31, 2013",79.80M
"Dec. 31, 2012",-142.90M
"Sept. 30, 2012",-234.30M
"June 30, 2012",-34.30M
"March 31, 2012",188.20M
"Dec. 31, 2011",-272.40M
"Sept. 30, 2011",-271.10M
"June 30, 2011",78.30M
"March 31, 2011",212.70M
"Dec. 31, 2010",145.30M
"Sept. 30, 2010",-286.80M
"June 30, 2010",121.10M
"March 31, 2010",-55.50M
"Dec. 31, 2009",354.10M
"Sept. 30, 2009",-319.10M
"June 30, 2009",3.00M
"March 31, 2009",851.00M
"Dec. 31, 2008",-257.40M
"Sept. 30, 2008",-317.20M
"June 30, 2008",-789.10M
"March 31, 2008",649.10M
"Dec. 31, 2007",90.60M
"Sept. 30, 2007",-377.10M
"June 30, 2007",-373.30M
"March 31, 2007",629.50M
"Dec. 31, 2006",52.70M
"Sept. 30, 2006",-287.10M
"June 30, 2006",148.50M
"March 31, 2006",604.70M
"Dec. 31, 2005",-228.10M
"Sept. 30, 2005",-344.60M
"June 30, 2005",-196.70M
"March 31, 2005",891.30M
"Dec. 31, 2004",111.10M
"Sept. 30, 2004",-420.00M
"June 30, 2004",185.70M
"March 31, 2004",662.10M
"Dec. 31, 2003",-72.50M
"Sept. 30, 2003",-263.20M
"June 30, 2003",-278.90M
"March 31, 2003",512.90M
"Dec. 31, 2002",-8.40M
"Sept. 30, 2002",-86.00M
"June 30, 2002",-64.90M
"March 31, 2002",709.80M
"Dec. 31, 2001",71.10M
"Sept. 30, 2001",-33.30M
"June 30, 2001",47.10M
"March 31, 2001",289.60M
"Dec. 31, 2000",-401.84M
"Sept. 30, 2000",-75.93M
"June 30, 2000",-78.62M
"March 31, 2000",183.90M
"Dec. 31, 1999",-26.40M
"Sept. 30, 1999",-43.60M
"June 30, 1999",-54.00M
"March 31, 1999",229.10M
"Dec. 31, 1998",37.90M
"Sept. 30, 1998",21.40M
"June 30, 1998",37.60M
"March 31, 1998",141.40M
"Dec. 31, 1997",46.90M
"Sept. 30, 1997",65.00M
"June 30, 1997",-154.70M
"March 31, 1997",258.50M
"Dec. 31, 1996",4.40M
"Sept. 30, 1996",11.60M
"June 30, 1996",-41.70M
"March 31, 1996",119.80M
"Dec. 31, 1995",-13.60M
"Sept. 30, 1995",17.50M
"June 30, 1995",4.90M
"March 31, 1995",192.90M
"Dec. 31, 1994",5.60M
"Sept. 30, 1994",7.00M
"June 30, 1994",-41.00M
"March 31, 1994",164.20M
