date,max_drawdown_all
"Feb. 29, 2020",72.50%
"Jan. 31, 2020",72.50%
"Dec. 31, 2019",72.50%
"Nov. 30, 2019",72.50%
"Oct. 31, 2019",72.50%
"Sept. 30, 2019",72.50%
"Aug. 31, 2019",72.50%
"July 31, 2019",72.50%
"June 30, 2019",72.50%
"May 31, 2019",72.50%
"April 30, 2019",72.50%
"March 31, 2019",72.50%
"Feb. 28, 2019",72.50%
"Jan. 31, 2019",72.50%
"Dec. 31, 2018",72.50%
"Nov. 30, 2018",72.50%
"Oct. 31, 2018",72.50%
"Sept. 30, 2018",72.50%
"Aug. 31, 2018",72.50%
"July 31, 2018",72.50%
"June 30, 2018",72.50%
"May 31, 2018",72.50%
"April 30, 2018",72.50%
"March 31, 2018",72.50%
"Feb. 28, 2018",72.50%
"Jan. 31, 2018",72.50%
"Dec. 31, 2017",72.50%
"Nov. 30, 2017",72.50%
"Oct. 31, 2017",72.50%
"Sept. 30, 2017",72.50%
"Aug. 31, 2017",72.50%
"July 31, 2017",72.50%
"June 30, 2017",72.50%
"May 31, 2017",72.50%
"April 30, 2017",72.50%
"March 31, 2017",72.50%
"Feb. 28, 2017",72.50%
"Jan. 31, 2017",72.50%
"Dec. 31, 2016",72.50%
"Nov. 30, 2016",72.50%
"Oct. 31, 2016",72.50%
"Sept. 30, 2016",72.50%
"Aug. 31, 2016",72.50%
"July 31, 2016",72.50%
"June 30, 2016",72.50%
"May 31, 2016",72.50%
"April 30, 2016",72.50%
"March 31, 2016",72.50%
"Feb. 29, 2016",72.50%
"Jan. 31, 2016",72.50%
"Dec. 31, 2015",72.50%
"Nov. 30, 2015",72.50%
"Oct. 31, 2015",72.50%
"Sept. 30, 2015",72.50%
"Aug. 31, 2015",72.50%
"July 31, 2015",72.50%
"June 30, 2015",72.50%
"May 31, 2015",72.50%
"April 30, 2015",72.50%
"March 31, 2015",72.50%
"Feb. 28, 2015",72.50%
"Jan. 31, 2015",72.50%
"Dec. 31, 2014",72.50%
"Nov. 30, 2014",72.50%
"Oct. 31, 2014",72.50%
"Sept. 30, 2014",72.50%
"Aug. 31, 2014",72.50%
"July 31, 2014",72.50%
"June 30, 2014",72.50%
"May 31, 2014",72.50%
"April 30, 2014",72.50%
"March 31, 2014",72.50%
"Feb. 28, 2014",72.50%
"Jan. 31, 2014",72.50%
"Dec. 31, 2013",72.50%
"Nov. 30, 2013",72.50%
"Oct. 31, 2013",72.50%
"Sept. 30, 2013",72.50%
"Aug. 31, 2013",72.50%
"July 31, 2013",72.50%
"June 30, 2013",72.50%
"May 31, 2013",72.50%
"April 30, 2013",72.50%
"March 31, 2013",72.50%
"Feb. 28, 2013",72.50%
"Jan. 31, 2013",72.50%
"Dec. 31, 2012",72.50%
"Nov. 30, 2012",72.50%
"Oct. 31, 2012",72.50%
"Sept. 30, 2012",72.50%
"Aug. 31, 2012",72.50%
"July 31, 2012",72.50%
"June 30, 2012",72.50%
"May 31, 2012",72.50%
"April 30, 2012",72.50%
