date,ni_per_employee_annual
"Dec. 31, 2019",46577.51
"Dec. 31, 2018",-6223.10
"Dec. 31, 2017",15881.84
"Dec. 31, 2016",42491.83
"Dec. 31, 2015",34563.88
"Dec. 31, 2014",60713.67
"Dec. 31, 2013",63485.06
"Dec. 31, 2012",51234.38
"Dec. 31, 2011",38442.26
"Dec. 31, 2010",37135.35
"Dec. 31, 2009",27915.62
"Dec. 31, 2008",10136.00
"Dec. 31, 2007",42722.32
"Dec. 31, 2006",36983.16
"Dec. 31, 2005",37264.44
"Dec. 31, 2004",50840.97
"Dec. 31, 2003",9508.40
"Dec. 31, 2002",34161.78
"Dec. 31, 2001",16063.00
"Dec. 31, 2000",14383.28
"Dec. 31, 1999",23879.71
"Dec. 31, 1998",32265.58
"Dec. 31, 1997",37588.65
"Dec. 31, 1996",41459.41
"Dec. 31, 1995",39899.97
"Dec. 31, 1994",36271.15
"Dec. 31, 1993",33751.35
"Dec. 31, 1992",29541.52
"Dec. 31, 1991",29168.03
"Dec. 31, 1990",27721.90
