date,pe_ratio
"March 19, 2020",26.85
"March 18, 2020",27.13
"March 17, 2020",28.24
"March 16, 2020",24.07
"March 13, 2020",28.94
"March 12, 2020",27.61
"March 11, 2020",31.15
"March 10, 2020",32.78
"March 9, 2020",31.83
"March 6, 2020",33.86
"March 5, 2020",34.06
"March 4, 2020",34.32
"March 3, 2020",32.62
"March 2, 2020",32.83
"Feb. 28, 2020",31.06
"Feb. 27, 2020",31.38
"Feb. 26, 2020",31.90
"Feb. 25, 2020",32.62
"Feb. 24, 2020",33.62
"Feb. 21, 2020",34.34
"Feb. 20, 2020",34.54
"Feb. 19, 2020",34.51
"Feb. 18, 2020",34.72
"Feb. 14, 2020",34.72
"Feb. 13, 2020",34.70
"Feb. 12, 2020",34.29
"Feb. 11, 2020",34.40
"Feb. 10, 2020",34.32
"Feb. 7, 2020",34.25
"Feb. 6, 2020",34.31
"Feb. 5, 2020",34.22
"Feb. 4, 2020",33.89
"Feb. 3, 2020",34.24
"Jan. 31, 2020",33.69
"Jan. 30, 2020",33.45
"Jan. 29, 2020",33.55
"Jan. 28, 2020",33.47
"Jan. 27, 2020",33.21
"Jan. 24, 2020",33.43
"Jan. 23, 2020",33.55
"Jan. 22, 2020",33.40
"Jan. 21, 2020",33.55
"Jan. 17, 2020",33.38
"Jan. 16, 2020",33.15
"Jan. 15, 2020",32.98
"Jan. 14, 2020",32.39
"Jan. 13, 2020",32.02
"Jan. 10, 2020",31.77
"Jan. 9, 2020",31.90
"Jan. 8, 2020",31.79
"Jan. 7, 2020",31.76
"Jan. 6, 2020",31.48
"Jan. 3, 2020",31.49
"Jan. 2, 2020",31.24
"Dec. 31, 2019",32.00
"Dec. 30, 2019",22.37
"Dec. 27, 2019",22.19
"Dec. 26, 2019",22.24
"Dec. 24, 2019",22.30
"Dec. 23, 2019",22.32
"Dec. 20, 2019",22.57
"Dec. 19, 2019",22.45
"Dec. 18, 2019",22.40
"Dec. 17, 2019",22.16
"Dec. 16, 2019",22.09
"Dec. 13, 2019",21.85
"Dec. 12, 2019",21.68
"Dec. 11, 2019",21.86
"Dec. 10, 2019",21.95
"Dec. 9, 2019",21.72
