date,revenues_ttm
"Dec. 31, 2019",5.209B
"Sept. 30, 2019",5.273B
"June 30, 2019",5.237B
"March 31, 2019",5.234B
"Dec. 31, 2018",5.114B
"Sept. 30, 2018",5.021B
"June 30, 2018",5.043B
"March 31, 2018",5.027B
"Dec. 31, 2017",4.875B
"Sept. 30, 2017",4.803B
"June 30, 2017",4.748B
"March 31, 2017",4.654B
"Dec. 31, 2016",4.492B
"Sept. 30, 2016",4.293B
"June 30, 2016",4.249B
"March 31, 2016",4.236B
"Dec. 31, 2015",4.652B
"Sept. 30, 2015",4.947B
"June 30, 2015",4.968B
"March 31, 2015",5.419B
"Dec. 31, 2014",5.887B
"Sept. 30, 2014",5.059B
"June 30, 2014",5.297B
"March 31, 2014",5.164B
"Dec. 31, 2013",4.625B
"Sept. 30, 2013",5.454B
"June 30, 2013",5.334B
"March 31, 2013",5.171B
"Dec. 31, 2012",5.038B
"Sept. 30, 2012",4.866B
"June 30, 2012",4.979B
"March 31, 2012",5.168B
"Dec. 31, 2011",5.751B
"Sept. 30, 2011",6.232B
"June 30, 2011",6.301B
"March 31, 2011",6.244B
"Dec. 31, 2010",6.371B
"Sept. 30, 2010",6.353B
"June 30, 2010",6.190B
"March 31, 2010",6.287B
"Dec. 31, 2009",6.650B
"Sept. 30, 2009",8.127B
"June 30, 2009",8.336B
"March 31, 2009",8.624B
"Dec. 31, 2008",9.191B
"Sept. 30, 2008",8.230B
"June 30, 2008",8.296B
"March 31, 2008",8.306B
"Dec. 31, 2007",7.862B
"Sept. 30, 2007",7.639B
"June 30, 2007",7.546B
"March 31, 2007",7.291B
"Dec. 31, 2006",7.418B
"Sept. 30, 2006",8.134B
"June 30, 2006",8.142B
"March 31, 2006",8.186B
"Dec. 31, 2005",7.897B
"Sept. 30, 2005",7.166B
"June 30, 2005",6.980B
"March 31, 2005",6.868B
"Dec. 31, 2004",6.657B
"Sept. 30, 2004",6.372B
"June 30, 2004",6.292B
"March 31, 2004",6.190B
"Dec. 31, 2003",6.242B
"Sept. 30, 2003",6.300B
"June 30, 2003",6.310B
"March 31, 2003",6.124B
"Dec. 31, 2002",5.407B
"Sept. 30, 2002",5.70B
"June 30, 2002",6.548B
"March 31, 2002",7.466B
"Dec. 31, 2001",9.457B
"Sept. 30, 2001",10.16B
"June 30, 2001",9.587B
"March 31, 2001",8.637B
"Dec. 31, 2000",5.946B
"Sept. 30, 2000",4.224B
"June 30, 2000",3.736B
"March 31, 2000",3.488B
"Dec. 31, 1999",3.274B
"Sept. 30, 1999",2.924B
"June 30, 1999",2.979B
"March 31, 1999",2.956B
"Dec. 31, 1998",2.844B
"Sept. 30, 1998",2.987B
"June 30, 1998",2.835B
"March 31, 1998",2.706B
"Dec. 31, 1997",2.587B
"Sept. 30, 1997",2.360B
"June 30, 1997",2.157B
"March 31, 1997",2.032B
"Dec. 31, 1996",1.948B
"Sept. 30, 1996",1.884B
"June 30, 1996",1.861B
"March 31, 1996",1.823B
"Dec. 31, 1995",1.769B
"Sept. 30, 1995",1.682B
"June 30, 1995",1.646B
"March 31, 1995",1.633B
"Dec. 31, 1994",1.676B
"Sept. 30, 1994",1.713B
"June 30, 1994",1.721B
"March 31, 1994",1.722B
"Dec. 31, 1993",1.678B
"Sept. 30, 1993",1.676B
"June 30, 1993",1.650B
"March 31, 1993",1.63B
"Dec. 31, 1992",1.582B
"Sept. 30, 1992",1.549B
"June 30, 1992",1.556B
"March 31, 1992",1.547B
"Dec. 31, 1991",1.535B
"Sept. 30, 1991",1.530B
"June 30, 1991",1.524B
"March 31, 1991",1.530B
"Dec. 31, 1990",1.521B
"Sept. 30, 1990",1.549B
"June 30, 1990",1.550B
"March 31, 1990",1.547B
"Dec. 31, 1989",1.560B
"Sept. 30, 1989",1.534B
"June 30, 1989",1.533B
"March 31, 1989",1.526B
"Dec. 31, 1988",1.524B
"Sept. 30, 1988",1.491B
"June 30, 1988",1.498B
"March 31, 1988",1.496B
"Dec. 31, 1987",1.452B
"Sept. 30, 1987",1.458B
"June 30, 1987",1.455B
"March 31, 1987",1.508B
"Dec. 31, 1986",1.626B
"Sept. 30, 1986",1.750B
"June 30, 1986",1.819B
"March 31, 1986",1.843B
"Dec. 31, 1985",1.908B
"Sept. 30, 1985",1.898B
"June 30, 1985",1.925B
"March 31, 1985",1.989B
"Dec. 31, 1984",2.001B
