date,six_month_return
"March 19, 2020",-20.65%
"March 18, 2020",-19.92%
"March 17, 2020",-16.51%
"March 16, 2020",-27.89%
"March 13, 2020",-13.29%
"March 12, 2020",-17.49%
"March 11, 2020",-7.00%
"March 10, 2020",-1.55%
"March 9, 2020",-4.22%
"March 6, 2020",0.44%
"March 5, 2020",-0.13%
"March 4, 2020",-1.16%
"March 3, 2020",-5.59%
"March 2, 2020",-3.35%
"Feb. 28, 2020",-7.15%
"Feb. 27, 2020",-6.63%
"Feb. 26, 2020",-5.68%
"Feb. 25, 2020",-2.21%
"Feb. 24, 2020",0.79%
"Feb. 21, 2020",0.74%
"Feb. 20, 2020",2.49%
"Feb. 19, 2020",1.32%
"Feb. 18, 2020",2.69%
"Feb. 14, 2020",5.30%
"Feb. 13, 2020",5.16%
"Feb. 12, 2020",4.12%
"Feb. 11, 2020",4.76%
"Feb. 10, 2020",4.52%
"Feb. 7, 2020",7.85%
"Feb. 6, 2020",6.23%
"Feb. 5, 2020",5.91%
"Feb. 4, 2020",-0.77%
"Feb. 3, 2020",0.27%
"Jan. 31, 2020",-1.28%
"Jan. 30, 2020",-1.62%
"Jan. 29, 2020",-2.08%
"Jan. 28, 2020",-1.29%
"Jan. 27, 2020",-2.07%
"Jan. 24, 2020",-1.29%
"Jan. 23, 2020",-0.10%
"Jan. 22, 2020",-0.27%
"Jan. 21, 2020",-0.03%
"Jan. 17, 2020",-0.75%
"Jan. 16, 2020",-1.03%
"Jan. 15, 2020",-2.48%
"Jan. 14, 2020",-3.95%
"Jan. 13, 2020",-5.04%
"Jan. 10, 2020",-6.31%
"Jan. 9, 2020",-6.12%
"Jan. 8, 2020",-5.92%
"Jan. 7, 2020",-6.18%
"Jan. 6, 2020",-6.99%
"Jan. 3, 2020",-7.15%
"Jan. 2, 2020",-6.53%
"Dec. 31, 2019",-3.33%
"Dec. 30, 2019",-4.44%
"Dec. 27, 2019",-4.61%
"Dec. 26, 2019",-4.67%
"Dec. 24, 2019",-6.48%
"Dec. 23, 2019",-6.51%
"Dec. 20, 2019",-5.64%
"Dec. 19, 2019",-6.22%
"Dec. 18, 2019",-4.97%
"Dec. 17, 2019",-6.52%
"Dec. 16, 2019",-5.50%
"Dec. 13, 2019",-5.62%
"Dec. 12, 2019",-6.52%
"Dec. 11, 2019",-4.54%
"Dec. 10, 2019",-5.00%
"Dec. 9, 2019",-6.38%
"Dec. 6, 2019",-6.36%
"Dec. 5, 2019",-6.52%
"Dec. 4, 2019",-5.63%
"Dec. 3, 2019",-6.11%
"Dec. 2, 2019",-6.00%
"Nov. 29, 2019",-3.61%
"Nov. 27, 2019",-6.94%
"Nov. 26, 2019",-7.19%
"Nov. 25, 2019",-6.87%
"Nov. 22, 2019",-7.12%
"Nov. 21, 2019",-6.76%
"Nov. 20, 2019",-7.46%
"Nov. 19, 2019",-7.95%
"Nov. 18, 2019",-7.21%
"Nov. 15, 2019",-5.56%
"Nov. 14, 2019",-6.13%
"Nov. 13, 2019",-6.71%
"Nov. 12, 2019",-7.09%
"Nov. 11, 2019",-7.09%
"Nov. 8, 2019",-3.86%
"Nov. 7, 2019",-3.82%
"Nov. 6, 2019",-2.83%
"Nov. 5, 2019",-3.30%
"Nov. 4, 2019",-1.97%
"Nov. 1, 2019",0.91%
"Oct. 31, 2019",0.94%
"Oct. 30, 2019",-0.97%
"Oct. 29, 2019",-0.55%
"Oct. 28, 2019",-1.54%
"Oct. 25, 2019",0.72%
"Oct. 24, 2019",2.51%
"Oct. 23, 2019",3.11%
"Oct. 22, 2019",3.52%
"Oct. 21, 2019",1.78%
"Oct. 18, 2019",1.52%
"Oct. 17, 2019",1.30%
"Oct. 16, 2019",1.34%
"Oct. 15, 2019",0.57%
"Oct. 14, 2019",1.67%
"Oct. 11, 2019",3.92%
"Oct. 10, 2019",4.09%
"Oct. 9, 2019",3.86%
"Oct. 8, 2019",2.93%
"Oct. 7, 2019",3.79%
"Oct. 4, 2019",6.16%
"Oct. 3, 2019",4.63%
"Oct. 2, 2019",4.22%
"Oct. 1, 2019",5.50%
"Sept. 30, 2019",4.40%
"Sept. 27, 2019",4.71%
"Sept. 26, 2019",6.04%
"Sept. 25, 2019",4.99%
"Sept. 24, 2019",4.72%
"Sept. 23, 2019",3.53%
"Sept. 20, 2019",5.47%
"Sept. 19, 2019",5.90%
"Sept. 18, 2019",5.06%
"Sept. 17, 2019",5.52%
"Sept. 16, 2019",4.12%
"Sept. 13, 2019",3.79%
"Sept. 12, 2019",3.96%
"Sept. 11, 2019",4.90%
"Sept. 10, 2019",5.65%
"Sept. 9, 2019",5.43%
