date,total_employee_number
"Dec. 31, 2019",8363
"Dec. 31, 2018",8087
"Dec. 31, 2017",8175
"Dec. 31, 2016",8007
"Dec. 31, 2015",7596
"Dec. 31, 2014",8982
"Dec. 31, 2013",8477
"Dec. 31, 2012",8286
"Dec. 31, 2011",7957
"Dec. 31, 2010",7604
"Dec. 31, 2009",7616
"Dec. 31, 2008",7981
"Dec. 31, 2007",7607
"Dec. 31, 2006",7439
"Dec. 31, 2005",7822
"Dec. 31, 2004",8628
"Dec. 31, 2003",8614
"Dec. 31, 2002",9307
"Dec. 31, 2001",12501
"Dec. 31, 2000",14418
"Dec. 31, 1999",7399
"Dec. 31, 1998",6035
"Dec. 31, 1997",5984
"Dec. 31, 1996",4168
"Dec. 31, 1995",4356
"Dec. 31, 1994",4441
"Dec. 31, 1993",4602
"Dec. 31, 1992",4648
"Dec. 31, 1991",4600
"Dec. 31, 1990",4547
"Dec. 31, 1989",4500
