date,long_term_debt
"Dec. 31, 2019",38.19B
"Sept. 30, 2019",47.58B
"June 30, 2019",10.16B
"March 31, 2019",10.20B
"Dec. 31, 2018",10.20B
"Sept. 30, 2018",10.20B
"June 30, 2018",10.31B
"March 31, 2018",10.31B
"Dec. 31, 2017",9.328B
"Sept. 30, 2017",9.326B
"June 30, 2017",9.324B
"March 31, 2017",9.322B
"Dec. 31, 2016",9.819B
"Sept. 30, 2016",8.333B
"June 30, 2016",8.331B
"March 31, 2016",5.608B
"Dec. 31, 2015",6.855B
"Sept. 30, 2015",6.882B
"June 30, 2015",6.88B
"March 31, 2015",6.139B
"Dec. 31, 2014",6.838B
"Sept. 30, 2014",6.837B
"June 30, 2014",6.835B
"March 31, 2014",6.877B
"Dec. 31, 2013",6.939B
"Sept. 30, 2013",6.961B
"June 30, 2013",7.026B
"March 31, 2013",7.024B
"Dec. 31, 2012",7.023B
"Sept. 30, 2012",7.622B
"June 30, 2012",7.62B
"March 31, 2012",5.873B
"Dec. 31, 2011",5.871B
"Sept. 30, 2011",5.87B
"June 30, 2011",3.749B
"March 31, 2011",3.748B
"Dec. 31, 2010",5.111B
"Sept. 30, 2010",2.512B
"June 30, 2010",2.511B
"March 31, 2010",2.511B
"Dec. 31, 2009",2.557B
"Sept. 30, 2009",2.556B
"June 30, 2009",2.567B
"March 31, 2009",1.822B
"Dec. 31, 2008",2.049B
"Sept. 30, 2008",1.057B
"June 30, 2008",1.775B
"March 31, 2008",1.775B
"Dec. 31, 2007",1.741B
"Sept. 30, 2007",1.748B
"June 30, 2007",1.717B
"March 31, 2007",1.691B
"Dec. 31, 2006",2.619B
"Sept. 30, 2006",2.847B
"June 30, 2006",2.816B
"March 31, 2006",3.273B
"Dec. 31, 2005",2.873B
"Sept. 30, 2005",2.896B
"June 30, 2005",3.027B
"March 31, 2005",3.365B
"Dec. 31, 2004",3.345B
"Sept. 30, 2004",3.809B
"June 30, 2004",3.788B
"March 31, 2004",4.018B
"Dec. 31, 2003",3.993B
"Sept. 30, 2003",4.051B
"June 30, 2003",4.065B
"March 31, 2003",3.998B
"Dec. 31, 2002",3.997B
"Sept. 30, 2002",4.141B
"June 30, 2002",4.09B
"March 31, 2002",4.051B
"Dec. 31, 2001",4.065B
"Sept. 30, 2001",3.955B
"June 30, 2001",4.794B
"March 31, 2001",4.986B
"Dec. 31, 2000",5.185B
"Sept. 30, 2000",5.894B
"June 30, 2000",6.661B
"March 31, 2000",4.513B
"Dec. 31, 1999",4.368B
"Sept. 30, 1999",5.144B
"June 30, 1999",5.312B
"March 31, 1999",5.454B
"Dec. 31, 1998",5.367B
"Sept. 30, 1998",5.83B
"June 30, 1998",5.608B
"March 31, 1998",5.931B
"Dec. 31, 1997",4.925B
"Sept. 30, 1997",4.785B
"June 30, 1997",4.743B
"March 31, 1997",4.639B
"Dec. 31, 1996",4.511B
"Sept. 30, 1996",4.57B
"June 30, 1996",4.806B
"March 31, 1996",4.964B
"Dec. 31, 1995",4.819B
"Sept. 30, 1995",5.271B
"June 30, 1995",5.191B
"March 31, 1995",5.711B
"Dec. 31, 1994",5.823B
"Sept. 30, 1994",5.682B
"June 30, 1994",5.606B
"March 31, 1994",5.538B
"Dec. 31, 1993",5.728B
"Sept. 30, 1993",5.596B
"June 30, 1993",5.283B
"March 31, 1993",5.018B
"Dec. 31, 1992",5.452B
"Sept. 30, 1992",5.572B
"June 30, 1992",5.556B
"March 31, 1992",5.577B
"Dec. 31, 1991",5.546B
"Sept. 30, 1991",5.881B
"June 30, 1991",8.079B
"March 31, 1991",8.132B
"Dec. 31, 1990",7.925B
"Sept. 30, 1990",8.565B
"June 30, 1990",8.07B
"March 31, 1990",7.947B
"Dec. 31, 1989",8.153B
"Sept. 30, 1989",8.161B
"Dec. 31, 1988",7.617B
"Dec. 31, 1987",6.422B
"Dec. 31, 1986",7.544B
"Dec. 31, 1985",3.845B
"Dec. 31, 1984",3.882B
