date,quality_ratio
"Dec. 31, 2019",0.0902
"Sept. 30, 2019",0.1068
"June 30, 2019",0.1598
"March 31, 2019",0.1634
"Dec. 31, 2018",0.1688
"Sept. 30, 2018",0.1594
"June 30, 2018",0.1192
"March 31, 2018",0.0944
"Dec. 31, 2017",0.0731
"Sept. 30, 2017",0.053
"June 30, 2017",0.0437
"March 31, 2017",0.035
"Dec. 31, 2016",0.0149
"Sept. 30, 2016",0.009
"June 30, 2016",0.0153
"March 31, 2016",0.0281
"Dec. 31, 2015",0.0414
"Sept. 30, 2015",0.0582
"June 30, 2015",0.0794
"March 31, 2015",0.0998
"Dec. 31, 2014",0.1225
"Sept. 30, 2014",0.1085
"June 30, 2014",0.126
"March 31, 2014",0.133
"Dec. 31, 2013",0.1408
"Sept. 30, 2013",0.1492
"June 30, 2013",0.1447
"March 31, 2013",0.1462
"Dec. 31, 2012",0.1581
"Sept. 30, 2012",0.1943
"June 30, 2012",0.2071
"March 31, 2012",0.2274
"Dec. 31, 2011",0.2328
"Sept. 30, 2011",0.2345
"June 30, 2011",0.2311
"March 31, 2011",0.2164
"Dec. 31, 2010",0.2072
"Sept. 30, 2010",0.2708
"June 30, 2010",0.2659
"March 31, 2010",0.2566
"Dec. 31, 2009",0.2291
"Sept. 30, 2009",0.2208
"June 30, 2009",0.2754
"March 31, 2009",0.3518
"Dec. 31, 2008",0.4241
"Sept. 30, 2008",0.4946
"June 30, 2008",0.4714
"March 31, 2008",0.425
"Dec. 31, 2007",0.3922
"Sept. 30, 2007",0.3283
"June 30, 2007",0.3293
"March 31, 2007",0.3387
"Dec. 31, 2006",0.3694
"Sept. 30, 2006",0.3505
"June 30, 2006",0.3892
"March 31, 2006",0.3984
"Dec. 31, 2005",0.4058
"Sept. 30, 2005",0.3858
"June 30, 2005",0.35
"March 31, 2005",0.3387
"Dec. 31, 2004",0.3215
"Sept. 30, 2004",0.3285
"June 30, 2004",0.3099
"March 31, 2004",0.3041
"Dec. 31, 2003",0.3077
"Sept. 30, 2003",0.289
"June 30, 2003",0.2801
"March 31, 2003",0.2602
"Dec. 31, 2002",0.2253
"Sept. 30, 2002",0.1916
"June 30, 2002",0.1829
"March 31, 2002",0.1993
"Dec. 31, 2001",0.2314
"Sept. 30, 2001",0.2539
"June 30, 2001",0.274
"March 31, 2001",0.3109
"Dec. 31, 2000",0.3214
"Sept. 30, 2000",0.2812
"June 30, 2000",0.2681
"March 31, 2000",0.218
"Dec. 31, 1999",0.1741
"Sept. 30, 1999",0.1419
"June 30, 1999",0.1233
"March 31, 1999",0.1196
"Dec. 31, 1998",0.1299
"Sept. 30, 1998",0.1398
"June 30, 1998",0.1542
"March 31, 1998",0.1694
"Dec. 31, 1997",0.18
"Sept. 30, 1997",0.1537
"June 30, 1997",0.1593
"March 31, 1997",0.1576
"Dec. 31, 1996",0.1636
"Sept. 30, 1996",0.1521
"June 30, 1996",0.1498
"March 31, 1996",0.1552
"Dec. 31, 1995",0.1562
"Sept. 30, 1995",0.1905
"June 30, 1995",0.1822
"March 31, 1995",0.1615
"Dec. 31, 1994",0.138
"Sept. 30, 1994",0.1254
"June 30, 1994",0.1146
"March 31, 1994",0.113
"Dec. 31, 1993",0.1176
"Sept. 30, 1993",0.1221
"June 30, 1993",0.1266
"March 31, 1993",0.1279
"Dec. 31, 1992",0.129
"Sept. 30, 1992",0.1388
"June 30, 1992",0.1323
"March 31, 1992",0.1358
"Dec. 31, 1991",0.1458
"Sept. 30, 1991",0.1588
"June 30, 1991",0.1677
"March 31, 1991",0.1692
"Dec. 31, 1990",0.1687
"Sept. 30, 1990",0.1605
"June 30, 1990",0.1638
