date,receivables_turnover
"Dec. 31, 2019",1.028
"Sept. 30, 2019",1.022
"June 30, 2019",0.8353
"March 31, 2019",0.7849
"Dec. 31, 2018",0.8743
"Sept. 30, 2018",0.9055
"June 30, 2018",0.7628
"March 31, 2018",0.8067
"Dec. 31, 2017",0.8847
"Sept. 30, 2017",0.7828
"June 30, 2017",0.7437
"March 31, 2017",0.7121
"Dec. 31, 2016",0.7425
"Sept. 30, 2016",0.7983
"June 30, 2016",0.859
"March 31, 2016",0.7384
"Dec. 31, 2015",0.8665
"Sept. 30, 2015",0.8332
"June 30, 2015",0.9854
"March 31, 2015",0.8493
"Dec. 31, 2014",0.9398
"Sept. 30, 2014",0.9093
"June 30, 2014",0.9283
"March 31, 2014",0.911
"Dec. 31, 2013",0.3332
"Sept. 30, 2013",1.186
"June 30, 2013",1.167
"March 31, 2013",1.185
"Dec. 31, 2012",0.4088
"Sept. 30, 2012",1.157
"June 30, 2012",1.081
"March 31, 2012",1.129
"Dec. 31, 2011",1.180
"Sept. 30, 2011",1.158
"June 30, 2011",1.069
"March 31, 2011",1.037
"Dec. 31, 2010",1.077
"Sept. 30, 2010",1.095
"June 30, 2010",1.028
"March 31, 2010",1.060
"Dec. 31, 2009",1.097
"Sept. 30, 2009",1.344
"June 30, 2009",1.416
"March 31, 2009",1.108
"Dec. 31, 2008",0.8572
"Sept. 30, 2008",0.9959
"June 30, 2008",1.081
"March 31, 2008",1.102
"Dec. 31, 2007",1.474
"Sept. 30, 2007",1.192
"June 30, 2007",1.144
"March 31, 2007",1.132
"Dec. 31, 2006",1.358
"Sept. 30, 2006",1.254
"June 30, 2006",1.256
"March 31, 2006",1.359
"Dec. 31, 2005",1.170
"Sept. 30, 2005",1.482
"June 30, 2005",1.314
"March 31, 2005",1.393
"Dec. 31, 2004",1.206
"Sept. 30, 2004",1.456
"June 30, 2004",1.585
"March 31, 2004",1.970
"Dec. 31, 2003",2.086
"Sept. 30, 2003",2.271
"June 30, 2003",2.010
"March 31, 2003",2.180
"Dec. 31, 2002",2.159
"Sept. 30, 2002",2.186
"June 30, 2002",2.071
"March 31, 2002",1.933
"Dec. 31, 2001",1.650
"Sept. 30, 2001",1.770
"June 30, 2001",2.975
"March 31, 2001",3.314
"Dec. 31, 2000",2.962
"Sept. 30, 2000",3.223
"June 30, 2000",3.916
"March 31, 2000",3.486
"Dec. 31, 1999",3.751
"Sept. 30, 1999",2.962
"June 30, 1999",2.837
"March 31, 1999",1.108
"Dec. 31, 1998",1.436
"Sept. 30, 1998",2.699
"June 30, 1998",2.378
"March 31, 1998",2.240
"Dec. 31, 1997",2.382
"Sept. 30, 1997",2.467
"June 30, 1997",3.377
"March 31, 1997",2.488
"Dec. 31, 1996",0.2619
"Sept. 30, 1996",2.863
"June 30, 1996",2.463
"March 31, 1996",2.688
"Dec. 31, 1995",0.478
"Sept. 30, 1995",2.646
"June 30, 1995",2.646
"March 31, 1995",2.710
"Dec. 31, 1994",2.781
"Sept. 30, 1994",2.886
"June 30, 1994",2.781
"March 31, 1994",2.935
"Dec. 31, 1993",2.800
"Sept. 30, 1993",2.388
"June 30, 1993",2.285
"March 31, 1993",2.262
"Dec. 31, 1992",1.383
"Sept. 30, 1992",1.324
"June 30, 1992",1.281
"March 31, 1992",1.256
"Dec. 31, 1991",1.274
"Sept. 30, 1991",0.9773
"June 30, 1991",2.033
"March 31, 1991",1.978
"Dec. 31, 1990",2.248
"Sept. 30, 1990",2.203
"June 30, 1990",2.260
"March 31, 1990",2.240
"Dec. 31, 1989",2.294
"Sept. 30, 1989",2.27
"June 30, 1989",
"March 31, 1989",
"Dec. 31, 1988",2.597
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",2.268
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",2.364
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",2.437
