date,revenues_per_share
"Dec. 31, 2019",7.021
"Sept. 30, 2019",6.725
"June 30, 2019",5.897
"March 31, 2019",5.335
"Dec. 31, 2018",6.301
"Sept. 30, 2018",6.834
"June 30, 2018",5.321
"March 31, 2018",4.906
"Dec. 31, 2017",4.556
"Sept. 30, 2017",3.913
"June 30, 2017",3.995
"March 31, 2017",3.864
"Dec. 31, 2016",3.649
"Sept. 30, 2016",3.466
"June 30, 2016",3.315
"March 31, 2016",2.781
"Dec. 31, 2015",3.677
"Sept. 30, 2015",4.082
"June 30, 2015",4.525
"March 31, 2015",4.014
"Dec. 31, 2014",5.570
"Sept. 30, 2014",6.306
"June 30, 2014",6.556
"March 31, 2014",6.275
"Dec. 31, 2013",2.352
"Sept. 30, 2013",8.004
"June 30, 2013",7.402
"March 31, 2013",7.293
"Dec. 31, 2012",2.599
"Sept. 30, 2012",7.361
"June 30, 2012",7.112
"March 31, 2012",7.726
"Dec. 31, 2011",7.434
"Sept. 30, 2011",7.386
"June 30, 2011",7.590
"March 31, 2011",7.040
"Dec. 31, 2010",6.221
"Sept. 30, 2010",5.852
"June 30, 2010",5.656
"March 31, 2010",5.674
"Dec. 31, 2009",5.004
"Sept. 30, 2009",5.039
"June 30, 2009",4.572
"March 31, 2009",3.815
"Dec. 31, 2008",5.285
"Sept. 30, 2008",8.634
"June 30, 2008",8.749
"March 31, 2008",7.320
"Dec. 31, 2007",6.849
"Sept. 30, 2007",5.784
"June 30, 2007",5.24
"March 31, 2007",4.743
"Dec. 31, 2006",5.321
"Sept. 30, 2006",5.117
"June 30, 2006",5.152
"March 31, 2006",5.172
"Dec. 31, 2005",4.614
"Sept. 30, 2005",5.635
"June 30, 2005",4.372
"March 31, 2005",4.110
"Dec. 31, 2004",3.285
"Sept. 30, 2004",3.768
"June 30, 2004",3.438
"March 31, 2004",3.248
"Dec. 31, 2003",3.018
"Sept. 30, 2003",3.003
"June 30, 2003",2.980
"March 31, 2003",3.138
"Dec. 31, 2002",2.617
"Sept. 30, 2002",2.580
"June 30, 2002",2.495
"March 31, 2002",2.055
"Dec. 31, 2001",1.854
"Sept. 30, 2001",2.639
"June 30, 2001",5.205
"March 31, 2001",6.076
"Dec. 31, 2000",5.355
"Sept. 30, 2000",5.526
"June 30, 2000",5.153
"March 31, 2000",3.597
"Dec. 31, 1999",3.403
"Sept. 30, 1999",2.935
"June 30, 1999",2.745
"March 31, 1999",1.907
"Dec. 31, 1998",2.734
"Sept. 30, 1998",2.401
"June 30, 1998",2.089
"March 31, 1998",2.436
"Dec. 31, 1997",2.811
"Sept. 30, 1997",2.804
"June 30, 1997",3.925
"March 31, 1997",2.826
"Dec. 31, 1996",0.3372
"Sept. 30, 1996",3.421
"June 30, 1996",3.032
"March 31, 1996",3.952
"Dec. 31, 1995",0.6734
"Sept. 30, 1995",4.002
"June 30, 1995",4.002
"March 31, 1995",4.290
"Dec. 31, 1994",3.951
"Sept. 30, 1994",4.007
"June 30, 1994",3.414
"March 31, 1994",3.51
"Dec. 31, 1993",2.689
"Sept. 30, 1993",3.248
"June 30, 1993",3.299
"March 31, 1993",3.615
"Dec. 31, 1992",3.222
"Sept. 30, 1992",3.78
"June 30, 1992",3.676
"March 31, 1992",4.330
"Dec. 31, 1991",4.332
"Sept. 30, 1991",3.860
"June 30, 1991",8.543
"March 31, 1991",8.838
"Dec. 31, 1990",10.12
"Sept. 30, 1990",9.080
"June 30, 1990",8.792
"March 31, 1990",9.076
"Dec. 31, 1989",9.090
"Sept. 30, 1989",9.049
"June 30, 1989",9.382
"March 31, 1989",9.622
"Dec. 31, 1988",9.175
"Sept. 30, 1988",9.211
"June 30, 1988",8.897
"March 31, 1988",10.52
"Dec. 31, 1987",10.27
"Sept. 30, 1987",10.33
"June 30, 1987",10.92
"March 31, 1987",10.49
"Dec. 31, 1986",12.65
"Sept. 30, 1986",11.74
"June 30, 1986",12.08
"March 31, 1986",16.54
"Dec. 31, 1985",17.01
"Sept. 30, 1985",15.59
"June 30, 1985",19.11
"March 31, 1985",19.26
"Dec. 31, 1984",20.61
"Sept. 30, 1984",20.12
"June 30, 1984",19.48
"March 31, 1984",19.91
