date,sales_est_0q
"March 20, 2020",5.635B
"March 17, 2020",5.635B
"March 16, 2020",5.833B
"March 11, 2020",5.951B
"March 10, 2020",5.951B
"March 9, 2020",5.833B
"March 5, 2020",6.140B
"March 2, 2020",6.190B
"Feb. 28, 2020",6.128B
"Feb. 25, 2020",6.306B
"Feb. 18, 2020",6.299B
"Feb. 12, 2020",6.277B
"Feb. 11, 2020",6.388B
"Jan. 24, 2020",6.462B
"Jan. 23, 2020",6.430B
"Jan. 21, 2020",6.445B
"Jan. 14, 2020",6.454B
"Jan. 13, 2020",6.260B
"Jan. 7, 2020",6.313B
"Jan. 6, 2020",6.387B
"Dec. 31, 2019",6.366B
"Dec. 19, 2019",6.276B
"Nov. 18, 2019",6.270B
"Nov. 15, 2019",6.235B
"Nov. 13, 2019",6.300B
"Nov. 12, 2019",6.342B
"Nov. 11, 2019",6.423B
"Nov. 5, 2019",6.444B
"Nov. 4, 2019",6.939B
"Oct. 28, 2019",6.575B
"Oct. 23, 2019",6.570B
"Oct. 21, 2019",6.570B
"Oct. 17, 2019",6.577B
"Oct. 16, 2019",6.755B
"Oct. 15, 2019",6.755B
"Oct. 14, 2019",6.864B
"Oct. 10, 2019",6.972B
"Sept. 30, 2019",5.598B
"Sept. 23, 2019",6.228B
"Sept. 19, 2019",6.175B
"Sept. 6, 2019",6.175B
"Sept. 3, 2019",6.175B
"Aug. 16, 2019",6.175B
"Aug. 15, 2019",5.930B
"Aug. 13, 2019",6.030B
"Aug. 12, 2019",5.198B
"Aug. 8, 2019",6.102B
"Aug. 5, 2019",4.292B
"Aug. 2, 2019",4.281B
"Aug. 1, 2019",4.176B
"July 29, 2019",4.379B
"July 26, 2019",4.430B
"July 23, 2019",4.430B
"July 22, 2019",4.446B
"July 17, 2019",4.606B
"July 16, 2019",4.622B
"July 15, 2019",4.657B
"July 12, 2019",4.809B
"July 11, 2019",4.766B
"June 30, 2019",4.389B
"June 20, 2019",4.490B
"June 17, 2019",4.490B
"June 14, 2019",4.412B
"June 6, 2019",4.404B
"May 15, 2019",4.404B
"May 14, 2019",4.438B
"May 13, 2019",4.438B
"May 9, 2019",4.447B
"May 6, 2019",4.443B
"April 26, 2019",4.387B
"April 24, 2019",4.387B
"April 22, 2019",4.406B
"April 16, 2019",4.351B
"April 11, 2019",4.362B
"April 10, 2019",4.309B
"April 4, 2019",4.245B
"March 31, 2019",4.021B
"March 22, 2019",4.071B
"March 5, 2019",4.016B
"Feb. 15, 2019",3.989B
"Feb. 13, 2019",4.013B
"Jan. 28, 2019",3.953B
"Jan. 25, 2019",3.927B
"Jan. 23, 2019",3.954B
"Jan. 7, 2019",3.863B
"Jan. 2, 2019",4.169B
"Dec. 31, 2018",4.390B
"Dec. 21, 2018",4.541B
"Dec. 20, 2018",4.638B
"Dec. 10, 2018",4.686B
"Nov. 26, 2018",4.819B
"Nov. 15, 2018",4.738B
"Nov. 13, 2018",4.739B
"Nov. 12, 2018",4.849B
"Nov. 7, 2018",4.849B
"Nov. 6, 2018",4.853B
"Oct. 22, 2018",4.861B
"Oct. 18, 2018",4.860B
"Oct. 16, 2018",4.860B
"Oct. 12, 2018",4.883B
"Oct. 9, 2018",4.808B
"Sept. 30, 2018",4.598B
"Sept. 27, 2018",4.573B
"Sept. 19, 2018",4.573B
"Sept. 11, 2018",4.583B
"Sept. 10, 2018",4.625B
"Aug. 15, 2018",4.625B
"Aug. 14, 2018",4.670B
"Aug. 13, 2018",4.670B
"Aug. 9, 2018",4.660B
"July 20, 2018",4.240B
"July 19, 2018",4.190B
"July 18, 2018",4.696B
"July 17, 2018",4.548B
"July 16, 2018",4.573B
"July 13, 2018",4.574B
"July 10, 2018",4.577B
"July 9, 2018",4.589B
"July 5, 2018",4.582B
"June 30, 2018",4.125B
"June 29, 2018",4.355B
"June 28, 2018",4.338B
"June 8, 2018",4.315B
"May 23, 2018",4.357B
"May 21, 2018",4.365B
"May 17, 2018",4.287B
"May 11, 2018",4.236B
"May 10, 2018",4.200B
"May 9, 2018",4.276B
"April 26, 2018",4.017B
"April 24, 2018",4.004B
"April 23, 2018",4.004B
"April 20, 2018",4.020B
"April 17, 2018",3.872B
"April 15, 2018",3.808B
"April 11, 2018",3.808B
"April 9, 2018",3.799B
"March 31, 2018",3.804B
"March 12, 2018",3.639B
"March 7, 2018",3.601B
"Feb. 16, 2018",3.628B
"Feb. 14, 2018",3.628B
"Jan. 30, 2018",3.664B
"Jan. 29, 2018",3.849B
"Jan. 24, 2018",3.707B
"Jan. 18, 2018",3.707B
"Jan. 16, 2018",3.849B
"Jan. 11, 2018",3.849B
