date,shareholders_equity
"Dec. 31, 2019",34.23B
"Sept. 30, 2019",36.08B
"June 30, 2019",21.35B
"March 31, 2019",21.24B
"Dec. 31, 2018",21.33B
"Sept. 30, 2018",21.49B
"June 30, 2018",20.93B
"March 31, 2018",20.72B
"Dec. 31, 2017",20.57B
"Sept. 30, 2017",20.67B
"June 30, 2017",21.04B
"March 31, 2017",21.08B
"Dec. 31, 2016",21.50B
"Sept. 30, 2016",22.30B
"June 30, 2016",23.10B
"March 31, 2016",23.79B
"Dec. 31, 2015",24.35B
"Sept. 30, 2015",29.88B
"June 30, 2015",33.30B
"March 31, 2015",34.16B
"Dec. 31, 2014",34.96B
"Sept. 30, 2014",43.48B
"June 30, 2014",43.29B
"March 31, 2014",43.00B
"Dec. 31, 2013",43.13B
"Sept. 30, 2013",42.79B
"June 30, 2013",41.75B
"March 31, 2013",40.88B
"Dec. 31, 2012",40.02B
"Sept. 30, 2012",40.47B
"June 30, 2012",39.55B
"March 31, 2012",38.75B
"Dec. 31, 2011",37.62B
"Sept. 30, 2011",36.48B
"June 30, 2011",35.16B
"March 31, 2011",33.66B
"Dec. 31, 2010",32.48B
"Sept. 30, 2010",31.71B
"June 30, 2010",30.80B
"March 31, 2010",29.94B
"Dec. 31, 2009",29.08B
"Sept. 30, 2009",28.46B
"June 30, 2009",27.83B
"March 31, 2009",27.44B
"Dec. 31, 2008",27.30B
"Sept. 30, 2008",26.94B
"June 30, 2008",25.14B
"March 31, 2008",23.94B
"Dec. 31, 2007",22.82B
"Sept. 30, 2007",21.90B
"June 30, 2007",21.11B
"March 31, 2007",20.22B
"Dec. 31, 2006",19.25B
"Sept. 30, 2006",18.86B
"June 30, 2006",17.96B
"March 31, 2006",17.95B
"Dec. 31, 2005",15.03B
"Sept. 30, 2005",13.91B
"June 30, 2005",12.71B
"March 31, 2005",11.24B
"Dec. 31, 2004",10.55B
"Sept. 30, 2004",9.778B
"June 30, 2004",9.006B
"March 31, 2004",8.464B
"Dec. 31, 2003",7.929B
"Sept. 30, 2003",7.495B
"June 30, 2003",7.054B
"March 31, 2003",6.672B
"Dec. 31, 2002",6.318B
"Sept. 30, 2002",6.021B
"June 30, 2002",5.832B
"March 31, 2002",5.579B
"Dec. 31, 2001",5.634B
"Sept. 30, 2001",5.863B
"June 30, 2001",5.595B
"March 31, 2001",5.142B
"Dec. 31, 2000",4.774B
"Sept. 30, 2000",4.522B
"June 30, 2000",4.202B
"March 31, 2000",3.722B
"Dec. 31, 1999",3.523B
"Sept. 30, 1999",3.216B
"June 30, 1999",3.108B
"March 31, 1999",3.20B
"Dec. 31, 1998",3.363B
"Sept. 30, 1998",3.486B
"June 30, 1998",3.734B
"March 31, 1998",4.051B
"Dec. 31, 1997",4.286B
"Sept. 30, 1997",5.357B
"June 30, 1997",5.286B
"March 31, 1997",5.217B
"Dec. 31, 1996",5.14B
"Sept. 30, 1996",5.069B
"June 30, 1996",4.839B
"March 31, 1996",4.669B
"Dec. 31, 1995",4.63B
"Sept. 30, 1995",4.699B
"June 30, 1995",4.655B
"March 31, 1995",4.55B
"Dec. 31, 1994",4.457B
"Sept. 30, 1994",4.307B
"June 30, 1994",4.371B
"March 31, 1994",4.477B
"Dec. 31, 1993",3.958B
"Sept. 30, 1993",3.993B
"June 30, 1993",4.006B
"March 31, 1993",4.013B
"Dec. 31, 1992",3.44B
"Sept. 30, 1992",4.335B
"June 30, 1992",4.381B
"March 31, 1992",4.366B
"Dec. 31, 1991",4.34B
"Sept. 30, 1991",4.41B
"June 30, 1991",4.297B
"March 31, 1991",4.208B
"Dec. 31, 1990",4.125B
"Sept. 30, 1990",6.302B
"June 30, 1990",6.354B
"March 31, 1990",6.429B
"Dec. 31, 1989",5.912B
"Sept. 30, 1989",6.037B
"Dec. 31, 1988",6.184B
"Dec. 31, 1987",5.124B
"Dec. 31, 1986",4.308B
"Dec. 31, 1985",3.281B
"Dec. 31, 1984",2.569B
