date,ca_score
"Dec. 31, 2019",-2.679
"Sept. 30, 2019",-2.798
"June 30, 2019",-2.498
"March 31, 2019",-2.229
"Dec. 31, 2018",-2.090
"Sept. 30, 2018",-1.360
"June 30, 2018",-1.357
"March 31, 2018",-1.222
"Dec. 31, 2017",-1.234
"Sept. 30, 2017",-1.209
"June 30, 2017",-1.230
"March 31, 2017",-1.257
"Dec. 31, 2016",-1.310
"Sept. 30, 2016",-1.361
"June 30, 2016",-1.368
"March 31, 2016",-1.338
"Dec. 31, 2015",-1.331
"Sept. 30, 2015",-1.307
"June 30, 2015",-1.263
"March 31, 2015",-1.268
"Dec. 31, 2014",-1.235
"Sept. 30, 2014",-1.244
"June 30, 2014",-1.325
"March 31, 2014",-1.321
"Dec. 31, 2013",-1.329
"Sept. 30, 2013",-1.341
"June 30, 2013",-1.308
"March 31, 2013",-1.324
"Dec. 31, 2012",-1.334
"Sept. 30, 2012",-1.304
"June 30, 2012",-1.329
"March 31, 2012",-1.312
"Dec. 31, 2011",-1.312
"Sept. 30, 2011",-1.293
"June 30, 2011",-1.286
"March 31, 2011",-1.296
"Dec. 31, 2010",-1.286
"Sept. 30, 2010",-1.284
"June 30, 2010",-1.278
"March 31, 2010",-1.286
"Dec. 31, 2009",-1.297
"Sept. 30, 2009",-1.283
"June 30, 2009",-1.277
"March 31, 2009",-1.275
"Dec. 31, 2008",-1.263
"Sept. 30, 2008",-1.274
"June 30, 2008",-1.280
"March 31, 2008",-1.285
"Dec. 31, 2007",-1.289
"Sept. 30, 2007",-1.299
"June 30, 2007",-1.287
"March 31, 2007",-1.305
"Dec. 31, 2006",-1.329
"Sept. 30, 2006",-1.309
"June 30, 2006",-1.331
"March 31, 2006",-1.322
"Dec. 31, 2005",-1.299
"Sept. 30, 2005",-0.7622
"June 30, 2005",-0.7891
"March 31, 2005",-0.8726
"Dec. 31, 2004",-0.2956
"Sept. 30, 2004",-0.8839
"June 30, 2004",-0.9029
"March 31, 2004",-1.017
"Dec. 31, 2003",-1.773
"Sept. 30, 2003",-1.758
"June 30, 2003",-1.791
"March 31, 2003",-1.754
"Dec. 31, 2002",-1.566
"Sept. 30, 2002",-1.537
"June 30, 2002",-1.529
"March 31, 2002",-1.497
"Dec. 31, 2001",-1.837
"Sept. 30, 2001",-2.797
"June 30, 2001",-2.764
"March 31, 2001",-2.730
"Dec. 31, 2000",-2.300
"Sept. 30, 2000",-1.084
"June 30, 2000",-1.081
"March 31, 2000",-1.133
"Dec. 31, 1999",-1.175
"Sept. 30, 1999",-1.007
"June 30, 1999",-0.9863
"March 31, 1999",-0.3414
"Dec. 31, 1998",0.3041
"Sept. 30, 1998",0.3726
"June 30, 1998",0.4852
"March 31, 1998",-0.1569
"Dec. 31, 1997",-0.7203
"Sept. 30, 1997",-1.589
"June 30, 1997",-1.286
