date,cash_investing_ttm
"Dec. 31, 2019",-6.378B
"Sept. 30, 2019",-6.197B
"June 30, 2019",-6.103B
"March 31, 2019",-6.336B
"Dec. 31, 2018",-6.564B
"Sept. 30, 2018",-6.317B
"June 30, 2018",-6.056B
"March 31, 2018",-5.89B
"Dec. 31, 2017",-5.65B
"Sept. 30, 2017",-5.62B
"June 30, 2017",-5.556B
"March 31, 2017",-5.738B
"Dec. 31, 2016",-5.753B
"Sept. 30, 2016",-5.56B
"June 30, 2016",-5.411B
"March 31, 2016",-5.189B
"Dec. 31, 2015",-5.211B
"Sept. 30, 2015",-4.987B
"June 30, 2015",-4.907B
"March 31, 2015",-4.797B
"Dec. 31, 2014",-4.714B
"Sept. 30, 2014",-4.755B
"June 30, 2014",-4.929B
"March 31, 2014",-5.089B
"Dec. 31, 2013",-5.107B
"Sept. 30, 2013",-4.98B
"June 30, 2013",-4.791B
"March 31, 2013",-4.64B
"Dec. 31, 2012",-4.526B
"Sept. 30, 2012",-4.415B
"June 30, 2012",-4.487B
"March 31, 2012",-4.196B
"Dec. 31, 2011",-3.986B
"Sept. 30, 2011",-3.99B
"June 30, 2011",-3.819B
"March 31, 2011",-3.892B
"Dec. 31, 2010",-3.857B
"Sept. 30, 2010",-3.815B
"June 30, 2010",-2.998B
"March 31, 2010",-3.098B
"Dec. 31, 2009",-3.336B
"Sept. 30, 2009",-3.195B
"June 30, 2009",-3.997B
"March 31, 2009",-3.94B
"Dec. 31, 2008",-3.652B
"Sept. 30, 2008",-3.287B
"June 30, 2008",-3.019B
"March 31, 2008",-2.766B
"Dec. 31, 2007",-2.666B
"Sept. 30, 2007",-2.823B
"June 30, 2007",-2.645B
"March 31, 2007",-2.573B
"Dec. 31, 2006",-2.427B
"Sept. 30, 2006",-2.313B
"June 30, 2006",-2.11B
"March 31, 2006",-1.76B
"Dec. 31, 2005",-1.398B
"Sept. 30, 2005",-1.517B
"June 30, 2005",-1.358B
"March 31, 2005",3.704B
"Dec. 31, 2004",-3.412B
"Sept. 30, 2004",-3.306B
"June 30, 2004",-3.516B
"March 31, 2004",-8.71B
"Dec. 31, 2003",-1.761B
"Sept. 30, 2003",-1.571B
"June 30, 2003",-1.045B
"March 31, 2003",-1.151B
"Dec. 31, 2002",-1.511B
"Sept. 30, 2002",-1.956B
"June 30, 2002",-3.029B
"March 31, 2002",-2.908B
"Dec. 31, 2001",-2.876B
"Sept. 30, 2001",-2.31B
"June 30, 2001",-2.075B
"March 31, 2001",-2.135B
"Dec. 31, 2000",-1.69B
"Sept. 30, 2000",-1.614B
"June 30, 2000",-1.071B
"March 31, 2000",-2.00M
"Dec. 31, 1999",-117.00M
"Sept. 30, 1999",-768.00M
"June 30, 1999",-1.041B
"March 31, 1999",-2.065B
"Dec. 31, 1998",-2.226B
"Sept. 30, 1998",-1.931B
"June 30, 1998",-1.879B
"March 31, 1998",-1.871B
"Dec. 31, 1997",-1.771B
