date,historical_daily_var_5_all
"Feb. 29, 2020",2.14%
"Jan. 31, 2020",2.13%
"Dec. 31, 2019",2.13%
"Nov. 30, 2019",2.12%
"Oct. 31, 2019",2.11%
"Sept. 30, 2019",2.11%
"Aug. 31, 2019",2.10%
"July 31, 2019",2.08%
"June 30, 2019",2.07%
"May 31, 2019",2.06%
"April 30, 2019",2.05%
"March 31, 2019",2.04%
"Feb. 28, 2019",2.04%
"Jan. 31, 2019",2.04%
"Dec. 31, 2018",2.03%
"Nov. 30, 2018",2.03%
"Oct. 31, 2018",2.01%
"Sept. 30, 2018",2.01%
"Aug. 31, 2018",2.01%
"July 31, 2018",2.00%
"June 30, 2018",1.99%
"May 31, 2018",1.99%
"April 30, 2018",1.99%
"March 31, 2018",1.99%
"Feb. 28, 2018",1.98%
"Jan. 31, 2018",1.98%
"Dec. 31, 2017",1.98%
"Nov. 30, 2017",1.98%
"Oct. 31, 2017",1.98%
"Sept. 30, 2017",1.97%
"Aug. 31, 2017",1.97%
"July 31, 2017",1.98%
"June 30, 2017",1.98%
"May 31, 2017",1.98%
"April 30, 2017",1.98%
"March 31, 2017",1.99%
"Feb. 28, 2017",1.99%
"Jan. 31, 2017",1.99%
"Dec. 31, 2016",1.99%
"Nov. 30, 2016",2.00%
"Oct. 31, 2016",1.99%
"Sept. 30, 2016",1.99%
"Aug. 31, 2016",1.99%
"July 31, 2016",1.99%
"June 30, 2016",2.00%
"May 31, 2016",2.00%
"April 30, 2016",2.01%
"March 31, 2016",2.00%
"Feb. 29, 2016",2.01%
"Jan. 31, 2016",2.01%
"Dec. 31, 2015",2.01%
"Nov. 30, 2015",2.01%
"Oct. 31, 2015",2.01%
"Sept. 30, 2015",2.01%
"Aug. 31, 2015",2.01%
"July 31, 2015",2.00%
"June 30, 2015",2.01%
"May 31, 2015",2.01%
"April 30, 2015",2.01%
"March 31, 2015",2.02%
"Feb. 28, 2015",2.02%
"Jan. 31, 2015",2.01%
"Dec. 31, 2014",2.01%
