date,liabilities
"Dec. 31, 2019",79.81B
"Sept. 30, 2019",76.72B
"June 30, 2019",73.79B
"March 31, 2019",69.16B
"Dec. 31, 2018",64.09B
"Sept. 30, 2018",51.69B
"June 30, 2018",50.83B
"March 31, 2018",48.17B
"Dec. 31, 2017",48.54B
"Sept. 30, 2017",52.24B
"June 30, 2017",51.16B
"March 31, 2017",50.56B
"Dec. 31, 2016",50.41B
"Sept. 30, 2016",48.96B
"June 30, 2016",48.93B
"March 31, 2016",47.79B
"Dec. 31, 2015",46.41B
"Sept. 30, 2015",45.17B
"June 30, 2015",45.36B
"March 31, 2015",44.59B
"Dec. 31, 2014",44.13B
"Sept. 30, 2014",41.85B
"June 30, 2014",41.74B
"March 31, 2014",41.06B
"Dec. 31, 2013",41.01B
"Sept. 30, 2013",40.95B
"June 30, 2013",40.20B
"March 31, 2013",39.24B
"Dec. 31, 2012",39.12B
"Sept. 30, 2012",37.48B
"June 30, 2012",37.06B
"March 31, 2012",37.38B
"Dec. 31, 2011",37.40B
"Sept. 30, 2011",35.31B
"June 30, 2011",35.28B
"March 31, 2011",34.59B
"Dec. 31, 2010",34.49B
"Sept. 30, 2010",33.98B
"June 30, 2010",33.10B
"March 31, 2010",32.92B
"Dec. 31, 2009",32.36B
"Sept. 30, 2009",32.14B
"June 30, 2009",32.00B
"March 31, 2009",31.47B
"Dec. 31, 2008",31.48B
"Sept. 30, 2008",29.74B
"June 30, 2008",29.72B
"March 31, 2008",28.75B
"Dec. 31, 2007",28.08B
"Sept. 30, 2007",27.68B
"June 30, 2007",27.24B
"March 31, 2007",26.81B
"Dec. 31, 2006",26.99B
"Sept. 30, 2006",27.07B
"June 30, 2006",26.52B
"March 31, 2006",26.46B
"Dec. 31, 2005",26.86B
"Sept. 30, 2005",25.92B
"June 30, 2005",26.35B
"March 31, 2005",26.62B
"Dec. 31, 2004",25.91B
"Sept. 30, 2004",27.38B
"June 30, 2004",27.36B
"March 31, 2004",34.83B
"Dec. 31, 2003",25.67B
"Sept. 30, 2003",23.69B
"June 30, 2003",31.01B
"March 31, 2003",32.00B
"Dec. 31, 2002",29.45B
"Sept. 30, 2002",30.51B
"June 30, 2002",31.58B
"March 31, 2002",31.09B
"Dec. 31, 2001",31.34B
"Sept. 30, 2001",29.98B
"June 30, 2001",32.53B
"March 31, 2001",32.78B
"Dec. 31, 2000",32.68B
"Sept. 30, 2000",25.72B
"June 30, 2000",23.21B
"March 31, 2000",21.33B
"Dec. 31, 1999",21.80B
"Sept. 30, 1999",22.94B
"June 30, 1999",22.93B
"March 31, 1999",25.70B
"Dec. 31, 1998",24.39B
"Sept. 30, 1998",22.90B
"June 30, 1998",20.59B
"March 31, 1998",20.70B
"Dec. 31, 1997",21.32B
"Sept. 30, 1997",19.57B
"June 30, 1997",17.60B
"March 31, 1997",17.39B
"Dec. 31, 1996",17.03B
"Dec. 31, 1995",17.41B
"March 31, 1995",17.92B
