date,long_term_debt
"Sept. 30, 2019",1.50B
"June 30, 2019",1.50B
"March 31, 2019",350.00M
"Dec. 31, 2018",
"Sept. 30, 2018",18.41B
"June 30, 2018",17.61B
"March 31, 2018",17.41B
"Dec. 31, 2017",17.75B
"Sept. 30, 2017",16.62B
"June 30, 2017",16.62B
"March 31, 2017",16.81B
"Dec. 31, 2016",16.22B
"Sept. 30, 2016",16.53B
"June 30, 2016",16.52B
"March 31, 2016",16.52B
"Dec. 31, 2015",15.92B
"Sept. 30, 2015",15.54B
"June 30, 2015",15.54B
"March 31, 2015",15.05B
"Dec. 31, 2014",15.05B
"Sept. 30, 2014",14.56B
"June 30, 2014",13.97B
"March 31, 2014",13.96B
"Dec. 31, 2013",12.72B
"Sept. 30, 2013",11.92B
"June 30, 2013",11.92B
"March 31, 2013",11.52B
"Dec. 31, 2012",12.52B
"Sept. 30, 2012",12.92B
"June 30, 2012",12.17B
"March 31, 2012",11.77B
"Dec. 31, 2011",11.77B
"Sept. 30, 2011",11.63B
"June 30, 2011",11.69B
"March 31, 2011",10.62B
"Dec. 31, 2010",11.33B
"Sept. 30, 2010",11.26B
"June 30, 2010",10.82B
"March 31, 2010",10.61B
"Dec. 31, 2009",11.21B
"Sept. 30, 2009",10.77B
"June 30, 2009",10.96B
"March 31, 2009",11.30B
"Dec. 31, 2008",10.53B
"Sept. 30, 2008",7.816B
"June 30, 2008",7.721B
"March 31, 2008",7.721B
"Dec. 31, 2007",8.171B
"Sept. 30, 2007",9.349B
"June 30, 2007",9.444B
"March 31, 2007",9.245B
"Dec. 31, 2006",8.633B
"Sept. 30, 2006",8.797B
"June 30, 2006",8.961B
"March 31, 2006",9.385B
"Dec. 31, 2005",9.542B
"Sept. 30, 2005",6.976B
"June 30, 2005",9.058B
"March 31, 2005",6.722B
"Dec. 31, 2004",7.903B
"Sept. 30, 2004",9.383B
"June 30, 2004",8.728B
"March 31, 2004",19.04B
"Dec. 31, 2003",13.50B
"Sept. 30, 2003",4.26B
"June 30, 2003",10.66B
"March 31, 2003",4.279B
"Dec. 31, 2002",4.875B
"Sept. 30, 2002",6.736B
"June 30, 2002",17.19B
"March 31, 2002",14.63B
"Dec. 31, 2001",7.297B
"Sept. 30, 2001",13.94B
"June 30, 2001",13.79B
"March 31, 2001",7.258B
"Dec. 31, 2000",7.29B
"Sept. 30, 2000",8.329B
"June 30, 2000",8.425B
"March 31, 2000",8.423B
"Dec. 31, 1999",8.713B
"Sept. 30, 1999",6.845B
"June 30, 1999",6.895B
"March 31, 1999",7.232B
"Dec. 31, 1998",7.422B
"Sept. 30, 1998",7.06B
"June 30, 1998",7.503B
"March 31, 1998",7.531B
"Dec. 31, 1997",7.659B
"Sept. 30, 1997",8.182B
"June 30, 1997",7.662B
"March 31, 1997",7.716B
"Dec. 31, 1996",7.770B
"Dec. 31, 1995",8.048B
"March 31, 1995",8.512B
