date,operating_margin_ttm
"Dec. 31, 2019",7.83%
"Sept. 30, 2019",5.04%
"June 30, 2019",7.72%
"March 31, 2019",9.98%
"Dec. 31, 2018",12.36%
"Sept. 30, 2018",14.04%
"June 30, 2018",15.43%
"March 31, 2018",15.58%
"Dec. 31, 2017",16.99%
"Sept. 30, 2017",20.08%
"June 30, 2017",18.10%
"March 31, 2017",16.58%
"Dec. 31, 2016",12.48%
"Sept. 30, 2016",7.83%
"June 30, 2016",7.39%
"March 31, 2016",9.06%
"Dec. 31, 2015",8.96%
"Sept. 30, 2015",9.93%
"June 30, 2015",12.71%
"March 31, 2015",11.91%
"Dec. 31, 2014",14.34%
"Sept. 30, 2014",14.32%
"June 30, 2014",10.17%
"March 31, 2014",11.03%
"Dec. 31, 2013",11.30%
"Sept. 30, 2013",10.06%
"June 30, 2013",12.30%
"March 31, 2013",11.33%
"Dec. 31, 2012",11.26%
"Sept. 30, 2012",12.82%
"June 30, 2012",11.54%
"March 31, 2012",12.97%
"Dec. 31, 2011",12.98%
"Sept. 30, 2011",14.06%
"June 30, 2011",15.06%
"March 31, 2011",15.57%
"Dec. 31, 2010",16.68%
"Sept. 30, 2010",17.00%
"June 30, 2010",18.12%
"March 31, 2010",17.88%
"Dec. 31, 2009",17.16%
"Sept. 30, 2009",17.19%
"June 30, 2009",16.88%
"March 31, 2009",15.92%
"Dec. 31, 2008",15.46%
"Sept. 30, 2008",15.03%
"June 30, 2008",15.05%
"March 31, 2008",15.27%
"Dec. 31, 2007",15.98%
"Sept. 30, 2007",16.16%
"June 30, 2007",17.48%
"March 31, 2007",17.01%
"Dec. 31, 2006",16.81%
"Sept. 30, 2006",15.96%
"June 30, 2006",14.68%
"March 31, 2006",15.91%
"Dec. 31, 2005",16.83%
"Sept. 30, 2005",55.56%
"June 30, 2005",56.43%
"March 31, 2005",56.37%
"Dec. 31, 2004",99.92%
"Sept. 30, 2004",64.77%
"June 30, 2004",68.19%
"March 31, 2004",67.54%
"Dec. 31, 2003",21.36%
"Sept. 30, 2003",23.16%
"June 30, 2003",22.61%
"March 31, 2003",23.37%
"Dec. 31, 2002",32.75%
"Sept. 30, 2002",43.47%
"June 30, 2002",45.07%
"March 31, 2002",42.69%
"Dec. 31, 2001",16.16%
"Sept. 30, 2001",-52.58%
"June 30, 2001",-44.97%
"March 31, 2001",-48.80%
"Dec. 31, 2000",-39.22%
"Sept. 30, 2000",5.88%
"June 30, 2000",5.70%
"March 31, 2000",5.28%
"Dec. 31, 1999",4.22%
"Sept. 30, 1999",9.40%
"June 30, 1999",9.95%
"March 31, 1999",31.06%
"Dec. 31, 1998",52.17%
"Sept. 30, 1998",52.01%
"June 30, 1998",56.05%
"March 31, 1998",34.69%
"Dec. 31, 1997",11.44%
"Sept. 30, 1997",-27.14%
"June 30, 1997",-14.43%
"March 31, 1997",0.86%
"Dec. 31, 1996",19.53%
"Sept. 30, 1996",24.88%
"June 30, 1996",25.88%
"March 31, 1996",28.28%
"Dec. 31, 1995",12.32%
"Sept. 30, 1995",84.29%
"June 30, 1995",84.61%
"March 31, 1995",84.60%
