date,operating_pe_ratio
"March 19, 2020",3.116
"March 18, 2020",2.864
"March 17, 2020",3.632
"March 16, 2020",3.526
"March 13, 2020",4.022
"March 12, 2020",3.569
"March 11, 2020",4.743
"March 10, 2020",5.476
"March 9, 2020",4.971
"March 6, 2020",5.621
"March 5, 2020",5.940
"March 4, 2020",5.96
"March 3, 2020",5.834
"March 2, 2020",5.928
"Feb. 28, 2020",6.106
"Feb. 27, 2020",6.433
"Feb. 26, 2020",6.586
"Feb. 25, 2020",6.921
"Feb. 24, 2020",6.795
"Feb. 21, 2020",7.059
"Feb. 20, 2020",7.032
"Feb. 19, 2020",6.898
"Feb. 18, 2020",6.338
"Feb. 14, 2020",6.382
"Feb. 13, 2020",6.602
"Feb. 12, 2020",6.646
"Feb. 11, 2020",7.051
"Feb. 10, 2020",7.102
"Feb. 7, 2020",6.835
"Feb. 6, 2020",6.634
"Feb. 5, 2020",6.653
"Feb. 4, 2020",6.598
"Feb. 3, 2020",6.803
"Jan. 31, 2020",5.992
"Jan. 30, 2020",5.873
"Jan. 29, 2020",5.928
"Jan. 28, 2020",5.889
"Jan. 27, 2020",5.531
"Jan. 24, 2020",5.621
"Jan. 23, 2020",5.409
"Jan. 22, 2020",4.940
"Jan. 21, 2020",5.212
"Jan. 17, 2020",5.152
"Jan. 16, 2020",4.975
"Jan. 15, 2020",5.022
"Jan. 14, 2020",4.696
"Jan. 13, 2020",4.361
"Jan. 10, 2020",4.018
"Jan. 9, 2020",4.042
"Jan. 8, 2020",4.180
"Jan. 7, 2020",4.168
"Jan. 6, 2020",4.089
"Jan. 3, 2020",4.164
"Jan. 2, 2020",4.274
"Dec. 31, 2019",4.282
"Dec. 30, 2019",6.848
"Dec. 27, 2019",6.619
"Dec. 26, 2019",6.886
"Dec. 24, 2019",6.943
"Dec. 23, 2019",6.936
"Dec. 20, 2019",6.968
"Dec. 19, 2019",6.924
"Dec. 18, 2019",7.171
"Dec. 17, 2019",6.917
"Dec. 16, 2019",6.131
"Dec. 13, 2019",7.127
"Dec. 12, 2019",7.431
"Dec. 11, 2019",7.697
"Dec. 10, 2019",7.811
"Dec. 9, 2019",7.088
"Dec. 6, 2019",6.118
"Dec. 5, 2019",6.201
"Dec. 4, 2019",6.004
"Dec. 3, 2019",5.402
"Dec. 2, 2019",4.984
"Nov. 29, 2019",4.730
"Nov. 27, 2019",4.787
"Nov. 26, 2019",4.736
"Nov. 25, 2019",4.692
"Nov. 22, 2019",4.635
"Nov. 21, 2019",4.445
"Nov. 20, 2019",4.533
"Nov. 19, 2019",4.337
"Nov. 18, 2019",4.495
"Nov. 15, 2019",4.704
"Nov. 14, 2019",4.248
"Nov. 13, 2019",4.388
"Nov. 12, 2019",4.476
"Nov. 11, 2019",3.969
"Nov. 8, 2019",4.109
"Nov. 7, 2019",3.817
"Nov. 6, 2019",4.388
"Nov. 5, 2019",5.072
"Nov. 4, 2019",4.609
"Nov. 1, 2019",4.077
"Oct. 31, 2019",3.912
"Oct. 30, 2019",3.893
"Oct. 29, 2019",3.189
"Oct. 28, 2019",2.409
"Oct. 25, 2019",3.170
"Oct. 24, 2019",4.565
"Oct. 23, 2019",5.199
"Oct. 22, 2019",5.136
"Oct. 21, 2019",5.098
"Oct. 18, 2019",4.920
"Oct. 17, 2019",4.964
"Oct. 16, 2019",4.996
"Oct. 15, 2019",4.888
"Oct. 14, 2019",4.863
"Oct. 11, 2019",5.085
"Oct. 10, 2019",4.939
"Oct. 9, 2019",6.962
"Oct. 8, 2019",6.911
"Oct. 7, 2019",7.291
"Oct. 4, 2019",6.892
"Oct. 3, 2019",6.055
"Oct. 2, 2019",5.681
"Oct. 1, 2019",6.277
"Sept. 30, 2019",6.340
"Sept. 27, 2019",4.176
"Sept. 26, 2019",4.415
"Sept. 25, 2019",4.444
"Sept. 24, 2019",4.510
"Sept. 23, 2019",4.762
"Sept. 20, 2019",4.791
"Sept. 19, 2019",5.034
"Sept. 18, 2019",4.849
"Sept. 17, 2019",4.605
"Sept. 16, 2019",4.543
"Sept. 13, 2019",4.614
"Sept. 12, 2019",4.168
"Sept. 11, 2019",4.407
"Sept. 10, 2019",4.498
"Sept. 9, 2019",4.618
"Sept. 6, 2019",4.205
"Sept. 5, 2019",4.358
"Sept. 4, 2019",4.411
"Sept. 3, 2019",4.362
"Aug. 30, 2019",4.312
"Aug. 29, 2019",4.304
"Aug. 28, 2019",4.465
"Aug. 27, 2019",4.63
"Aug. 26, 2019",4.869
"Aug. 23, 2019",4.556
"Aug. 22, 2019",4.820
"Aug. 21, 2019",5.055
"Aug. 20, 2019",4.812
"Aug. 19, 2019",4.403
"Aug. 16, 2019",5.893
"Aug. 15, 2019",5.938
"Aug. 14, 2019",6.574
"Aug. 13, 2019",6.994
"Aug. 12, 2019",6.912
"Aug. 9, 2019",7.477
"Aug. 8, 2019",7.638
"Aug. 7, 2019",7.494
"Aug. 6, 2019",7.523
"Aug. 5, 2019",7.407
"Aug. 2, 2019",7.675
"Aug. 1, 2019",7.448
"July 31, 2019",7.482
"July 30, 2019",7.428
"July 29, 2019",7.543
"July 26, 2019",7.717
"July 25, 2019",7.572
"July 24, 2019",7.795
"July 23, 2019",7.795
"July 22, 2019",7.283
"July 19, 2019",7.341
"July 18, 2019",7.618
"July 17, 2019",7.614
"July 16, 2019",7.482
"July 15, 2019",7.320
"July 12, 2019",8.006
"July 11, 2019",8.439
"July 10, 2019",8.831
"July 9, 2019",9.033
"July 8, 2019",8.967
"July 5, 2019",8.992
"July 3, 2019",9.231
"July 2, 2019",9.244
"July 1, 2019",9.636
"June 30, 2019",
"June 28, 2019",7.145
"June 27, 2019",7.466
"June 26, 2019",6.771
"June 25, 2019",6.734
"June 24, 2019",6.756
"June 21, 2019",7.158
"June 20, 2019",7.348
"June 19, 2019",6.400
"June 18, 2019",5.967
"June 17, 2019",5.886
"June 14, 2019",5.761
"June 13, 2019",5.702
"June 12, 2019",5.686
"June 11, 2019",5.954
"June 10, 2019",6.163
"June 7, 2019",6.378
"June 6, 2019",6.537
"June 5, 2019",6.469
"June 4, 2019",5.842
"June 3, 2019",5.577
"May 31, 2019",5.331
"May 30, 2019",5.543
"May 29, 2019",5.340
"May 28, 2019",5.527
"May 24, 2019",5.870
"May 23, 2019",5.920
"May 22, 2019",5.923
"May 21, 2019",5.752
"May 20, 2019",5.512
"May 17, 2019",5.306
"May 16, 2019",5.664
"May 15, 2019",5.630
"May 14, 2019",5.724
"May 13, 2019",5.683
"May 10, 2019",5.799
"May 9, 2019",6.032
"May 8, 2019",6.316
"May 7, 2019",6.547
"May 6, 2019",6.653
"May 3, 2019",6.700
"May 2, 2019",6.534
"May 1, 2019",6.765
"April 30, 2019",7.021
"April 29, 2019",7.301
"April 26, 2019",7.298
"April 25, 2019",7.198
"April 24, 2019",7.148
"April 23, 2019",6.712
"April 22, 2019",6.672
"April 18, 2019",6.547
"April 17, 2019",6.812
"April 16, 2019",6.940
"April 15, 2019",7.395
"April 12, 2019",7.195
"April 11, 2019",5.964
"April 10, 2019",5.883
"April 9, 2019",5.867
"April 8, 2019",6.135
"April 5, 2019",6.039
"April 4, 2019",5.880
"April 3, 2019",5.758
"April 2, 2019",5.506
"April 1, 2019",5.615
"March 31, 2019",
"March 29, 2019",4.446
"March 28, 2019",4.308
"March 27, 2019",4.416
"March 26, 2019",4.483
"March 25, 2019",4.548
"March 22, 2019",4.850
"March 21, 2019",4.758
"March 20, 2019",4.765
"March 19, 2019",4.763
"March 18, 2019",4.853
"March 15, 2019",4.908
"March 14, 2019",4.873
"March 13, 2019",4.860
"March 12, 2019",4.800
"March 11, 2019",4.840
"March 8, 2019",4.843
"March 7, 2019",4.763
"March 6, 2019",4.586
"March 5, 2019",4.573
"March 4, 2019",4.508
"March 1, 2019",4.473
"Feb. 28, 2019",4.253
"Feb. 27, 2019",4.446
"Feb. 26, 2019",4.626
"Feb. 25, 2019",4.658
"Feb. 22, 2019",4.688
"Feb. 21, 2019",4.845
"Feb. 20, 2019",4.548
"Feb. 19, 2019",4.431
"Feb. 15, 2019",3.866
"Feb. 14, 2019",3.864
"Feb. 13, 2019",3.799
"Feb. 12, 2019",3.854
"Feb. 11, 2019",3.579
"Feb. 8, 2019",3.547
"Feb. 7, 2019",3.512
"Feb. 6, 2019",3.414
"Feb. 5, 2019",3.517
"Feb. 4, 2019",3.319
"Feb. 1, 2019",3.267
"Jan. 31, 2019",3.247
"Jan. 30, 2019",3.414
"Jan. 29, 2019",3.494
"Jan. 28, 2019",3.000
"Jan. 25, 2019",2.940
"Jan. 24, 2019",3.484
"Jan. 23, 2019",1.996
"Jan. 22, 2019",1.923
"Jan. 18, 2019",1.806
"Jan. 17, 2019",1.588
"Jan. 16, 2019",1.756
"Jan. 15, 2019",1.726
"Jan. 14, 2019",2.093
"Jan. 11, 2019",4.393
"Jan. 10, 2019",4.436
"Jan. 9, 2019",4.453
"Jan. 8, 2019",4.386
"Jan. 7, 2019",4.733
"Jan. 4, 2019",6.094
"Jan. 3, 2019",5.982
"Jan. 2, 2019",5.944
"Dec. 31, 2018",5.932
"Dec. 28, 2018",5.234
"Dec. 27, 2018",5.171
"Dec. 26, 2018",5.112
"Dec. 24, 2018",5.072
"Dec. 21, 2018",4.985
"Dec. 20, 2018",5.226
"Dec. 19, 2018",5.204
"Dec. 18, 2018",5.044
"Dec. 17, 2018",5.355
"Dec. 14, 2018",5.699
"Dec. 13, 2018",5.809
"Dec. 12, 2018",5.782
"Dec. 11, 2018",5.71
"Dec. 10, 2018",5.673
"Dec. 7, 2018",5.651
"Dec. 6, 2018",5.703
"Dec. 4, 2018",5.861
"Dec. 3, 2018",5.94
"Nov. 30, 2018",5.780
"Nov. 29, 2018",5.863
"Nov. 28, 2018",6.017
"Nov. 27, 2018",5.909
"Nov. 26, 2018",5.504
"Nov. 23, 2018",5.224
"Nov. 21, 2018",5.324
"Nov. 20, 2018",5.151
"Nov. 19, 2018",5.096
"Nov. 16, 2018",5.346
"Nov. 15, 2018",3.887
"Nov. 14, 2018",5.607
"Nov. 13, 2018",7.169
"Nov. 12, 2018",7.226
"Nov. 9, 2018",8.747
"Nov. 8, 2018",10.47
"Nov. 7, 2018",10.69
"Nov. 6, 2018",10.64
"Nov. 5, 2018",10.67
"Nov. 2, 2018",10.39
"Nov. 1, 2018",10.34
"Oct. 31, 2018",10.26
"Oct. 30, 2018",10.28
"Oct. 29, 2018",10.25
"Oct. 26, 2018",10.14
"Oct. 25, 2018",10.38
"Oct. 24, 2018",10.35
"Oct. 23, 2018",10.36
