date,return_on_equity
"Dec. 31, 2019",-76.81%
"Sept. 30, 2019",-85.07%
"June 30, 2019",-58.79%
"March 31, 2019",-42.78%
"Dec. 31, 2018",-38.04%
"Sept. 30, 2018",0.78%
"June 30, 2018",0.71%
"March 31, 2018",8.03%
"Dec. 31, 2017",8.91%
"Sept. 30, 2017",12.25%
"June 30, 2017",11.66%
"March 31, 2017",10.78%
"Dec. 31, 2016",8.25%
"Sept. 30, 2016",5.06%
"June 30, 2016",4.65%
"March 31, 2016",5.92%
"Dec. 31, 2015",5.51%
"Sept. 30, 2015",5.54%
"June 30, 2015",8.87%
"March 31, 2015",8.15%
"Dec. 31, 2014",9.59%
"Sept. 30, 2014",9.51%
"June 30, 2014",5.25%
"March 31, 2014",5.79%
"Dec. 31, 2013",6.01%
"Sept. 30, 2013",5.39%
"June 30, 2013",6.99%
"March 31, 2013",6.42%
"Dec. 31, 2012",6.52%
"Sept. 30, 2012",7.40%
"June 30, 2012",6.25%
"March 31, 2012",7.46%
"Dec. 31, 2011",7.33%
"Sept. 30, 2011",8.92%
"June 30, 2011",9.60%
"March 31, 2011",9.59%
"Dec. 31, 2010",10.33%
"Sept. 30, 2010",10.77%
"June 30, 2010",11.57%
"March 31, 2010",12.41%
"Dec. 31, 2009",12.48%
"Sept. 30, 2009",15.42%
"June 30, 2009",15.66%
"March 31, 2009",15.05%
"Dec. 31, 2008",15.22%
"Sept. 30, 2008",11.80%
"June 30, 2008",11.76%
"March 31, 2008",11.68%
"Dec. 31, 2007",12.29%
"Sept. 30, 2007",11.90%
"June 30, 2007",13.65%
"March 31, 2007",13.46%
"Dec. 31, 2006",13.17%
"Sept. 30, 2006",13.40%
"June 30, 2006",11.45%
"March 31, 2006",11.80%
"Dec. 31, 2005",11.47%
"Sept. 30, 2005",19.73%
"June 30, 2005",19.68%
"March 31, 2005",21.39%
"Dec. 31, 2004",62.77%
"Sept. 30, 2004",58.61%
"June 30, 2004",73.68%
"March 31, 2004",85.05%
"Dec. 31, 2003",11.24%
"Sept. 30, 2003",-44.91%
"June 30, 2003",-43.54%
"March 31, 2003",-41.04%
"Dec. 31, 2002",-18.45%
"Sept. 30, 2002",38.78%
"June 30, 2002",51.17%
"March 31, 2002",75.73%
"Dec. 31, 2001",34.41%
"Sept. 30, 2001",-93.15%
"June 30, 2001",-90.65%
"March 31, 2001",-85.74%
"Dec. 31, 2000",-52.93%
"Sept. 30, 2000",1.95%
"June 30, 2000",1.39%
"March 31, 2000",0.49%
"Dec. 31, 1999",-0.96%
"Sept. 30, 1999",9.38%
"June 30, 1999",9.67%
"March 31, 1999",9.55%
"Dec. 31, 1998",8.85%
"Sept. 30, 1998",7.42%
"June 30, 1998",7.93%
"March 31, 1998",8.05%
"Dec. 31, 1997",8.34%
"Sept. 30, 1997",9.34%
"June 30, 1997",9.04%
"March 31, 1997",8.03%
"Dec. 31, 1996",9.03%
