date,springate_score
"Dec. 31, 2019",-0.7216
"Sept. 30, 2019",-1.151
"June 30, 2019",-0.8522
"March 31, 2019",-0.6523
"Dec. 31, 2018",-1.106
"Sept. 30, 2018",0.1995
"June 30, 2018",0.2186
"March 31, 2018",0.5595
"Dec. 31, 2017",0.5835
"Sept. 30, 2017",0.6781
"June 30, 2017",0.6595
"March 31, 2017",0.6288
"Dec. 31, 2016",0.5047
"Sept. 30, 2016",0.4041
"June 30, 2016",0.3883
"March 31, 2016",0.44
"Dec. 31, 2015",0.4386
"Sept. 30, 2015",0.4777
"June 30, 2015",0.5633
"March 31, 2015",0.5395
"Dec. 31, 2014",0.599
"Sept. 30, 2014",0.5724
"June 30, 2014",0.4252
"March 31, 2014",0.4415
"Dec. 31, 2013",0.4218
"Sept. 30, 2013",0.3977
"June 30, 2013",0.4638
"March 31, 2013",0.4358
"Dec. 31, 2012",0.4497
"Sept. 30, 2012",0.5136
"June 30, 2012",0.4506
"March 31, 2012",0.4729
"Dec. 31, 2011",0.4725
"Sept. 30, 2011",0.5082
"June 30, 2011",0.5201
"March 31, 2011",0.4813
"Dec. 31, 2010",0.5224
"Sept. 30, 2010",0.5375
"June 30, 2010",0.5394
"March 31, 2010",0.5423
"Dec. 31, 2009",0.5587
"Sept. 30, 2009",0.5503
"June 30, 2009",0.5476
"March 31, 2009",0.551
"Dec. 31, 2008",0.5482
"Sept. 30, 2008",0.497
"June 30, 2008",0.5105
"March 31, 2008",0.4876
