date,sustainable_growth_rate
"Dec. 31, 2019",-76.81%
"Sept. 30, 2019",-85.07%
"June 30, 2019",-58.79%
"March 31, 2019",-42.78%
"Dec. 31, 2018",-38.04%
"Sept. 30, 2018",-0.61%
"June 30, 2018",-2.08%
"March 31, 2018",3.94%
"Dec. 31, 2017",3.43%
"Sept. 30, 2017",6.79%
"June 30, 2017",6.22%
"March 31, 2017",5.35%
"Dec. 31, 2016",2.85%
"Sept. 30, 2016",-0.28%
"June 30, 2016",-0.63%
"March 31, 2016",0.61%
"Dec. 31, 2015",0.20%
"Sept. 30, 2015",0.23%
"June 30, 2015",3.48%
"March 31, 2015",2.71%
"Dec. 31, 2014",4.12%
"Sept. 30, 2014",3.99%
"June 30, 2014",-0.34%
"March 31, 2014",0.16%
"Dec. 31, 2013",0.33%
"Sept. 30, 2013",-0.33%
"June 30, 2013",1.24%
"March 31, 2013",0.62%
"Dec. 31, 2012",0.66%
"Sept. 30, 2012",1.53%
"June 30, 2012",0.34%
"March 31, 2012",1.50%
"Dec. 31, 2011",1.32%
"Sept. 30, 2011",2.87%
"June 30, 2011",3.48%
"March 31, 2011",3.41%
"Dec. 31, 2010",4.19%
"Sept. 30, 2010",4.63%
"June 30, 2010",5.53%
"March 31, 2010",6.37%
"Dec. 31, 2009",6.51%
"Sept. 30, 2009",9.46%
"June 30, 2009",9.64%
"March 31, 2009",8.98%
"Dec. 31, 2008",9.10%
"Sept. 30, 2008",5.68%
"June 30, 2008",5.66%
"March 31, 2008",5.68%
"Dec. 31, 2007",6.23%
"Sept. 30, 2007",5.90%
"June 30, 2007",7.65%
"March 31, 2007",7.45%
"Dec. 31, 2006",7.11%
"Sept. 30, 2006",7.39%
"June 30, 2006",5.46%
"March 31, 2006",19.56%
"Dec. 31, 2005",7.09%
"Sept. 30, 2005",16.83%
"June 30, 2005",18.18%
"March 31, 2005",6.71%
"Dec. 31, 2004",61.52%
"Sept. 30, 2004",57.20%
"June 30, 2004",72.04%
"March 31, 2004",85.05%
"Dec. 31, 2003",11.24%
"Sept. 30, 2003",-44.91%
"June 30, 2003",-43.54%
"March 31, 2003",-41.04%
"Dec. 31, 2002",-18.45%
"Sept. 30, 2002",38.78%
"June 30, 2002",51.17%
"March 31, 2002",75.73%
"Dec. 31, 2001",31.00%
"Sept. 30, 2001",-98.92%
"June 30, 2001",-97.91%
"March 31, 2001",-93.89%
"Dec. 31, 2000",-59.79%
"Sept. 30, 2000",-4.30%
"June 30, 2000",-4.84%
"March 31, 2000",-5.69%
"Dec. 31, 1999",-7.07%
"Sept. 30, 1999",3.91%
"June 30, 1999",4.06%
"March 31, 1999",3.81%
"Dec. 31, 1998",3.07%
"Sept. 30, 1998",1.26%
"June 30, 1998",1.75%
"March 31, 1998",1.83%
"Dec. 31, 1997",2.24%
"Sept. 30, 1997",4.78%
"June 30, 1997",5.95%
"March 31, 1997",6.50%
"Dec. 31, 1996",9.03%
