date,year_low
"March 19, 2020",3.55
"March 18, 2020",3.55
"March 17, 2020",3.55
"March 16, 2020",3.55
"March 13, 2020",3.55
"March 12, 2020",3.55
"March 11, 2020",3.55
"March 10, 2020",3.55
"March 9, 2020",3.55
"March 6, 2020",3.55
"March 5, 2020",3.55
"March 4, 2020",3.55
"March 3, 2020",3.55
"March 2, 2020",3.55
"Feb. 28, 2020",3.55
"Feb. 27, 2020",3.55
"Feb. 26, 2020",3.55
"Feb. 25, 2020",3.55
"Feb. 24, 2020",3.55
"Feb. 21, 2020",3.55
"Feb. 20, 2020",3.55
"Feb. 19, 2020",3.55
"Feb. 18, 2020",3.55
"Feb. 14, 2020",3.55
"Feb. 13, 2020",3.55
"Feb. 12, 2020",3.55
"Feb. 11, 2020",3.55
"Feb. 10, 2020",3.55
"Feb. 7, 2020",3.55
"Feb. 6, 2020",3.55
"Feb. 5, 2020",3.55
"Feb. 4, 2020",3.55
"Feb. 3, 2020",3.55
"Jan. 31, 2020",3.55
"Jan. 30, 2020",3.55
"Jan. 29, 2020",3.55
"Jan. 28, 2020",3.55
"Jan. 27, 2020",3.55
"Jan. 24, 2020",3.55
"Jan. 23, 2020",3.55
"Jan. 22, 2020",3.55
"Jan. 21, 2020",3.55
"Jan. 17, 2020",3.55
"Jan. 16, 2020",3.55
"Jan. 15, 2020",3.55
"Jan. 14, 2020",3.55
"Jan. 13, 2020",3.55
"Jan. 10, 2020",3.55
"Jan. 9, 2020",3.55
"Jan. 8, 2020",3.55
"Jan. 7, 2020",3.55
"Jan. 6, 2020",3.55
"Jan. 3, 2020",3.55
"Jan. 2, 2020",3.55
"Dec. 31, 2019",3.55
"Dec. 30, 2019",3.55
"Dec. 27, 2019",3.55
"Dec. 26, 2019",3.55
"Dec. 24, 2019",3.55
"Dec. 23, 2019",3.55
"Dec. 20, 2019",3.55
"Dec. 19, 2019",3.55
"Dec. 18, 2019",3.55
"Dec. 17, 2019",3.55
"Dec. 16, 2019",3.55
"Dec. 13, 2019",3.55
"Dec. 12, 2019",3.55
"Dec. 11, 2019",3.55
"Dec. 10, 2019",3.55
"Dec. 9, 2019",3.55
"Dec. 6, 2019",3.55
"Dec. 5, 2019",3.55
"Dec. 4, 2019",3.55
"Dec. 3, 2019",3.55
"Dec. 2, 2019",3.55
"Nov. 29, 2019",3.55
"Nov. 27, 2019",3.55
"Nov. 26, 2019",3.55
"Nov. 25, 2019",3.55
"Nov. 22, 2019",3.55
"Nov. 21, 2019",3.55
"Nov. 20, 2019",3.55
"Nov. 19, 2019",3.55
"Nov. 18, 2019",3.55
"Nov. 15, 2019",3.55
"Nov. 14, 2019",3.55
"Nov. 13, 2019",3.55
"Nov. 12, 2019",3.55
"Nov. 11, 2019",3.55
"Nov. 8, 2019",3.55
"Nov. 7, 2019",3.55
"Nov. 6, 2019",3.55
"Nov. 5, 2019",3.55
"Nov. 4, 2019",3.55
"Nov. 1, 2019",3.55
"Oct. 31, 2019",3.55
"Oct. 30, 2019",3.55
"Oct. 29, 2019",3.55
