date,cash_dividend_payout_ratio
"Dec. 31, 2019",29.83%
"Sept. 30, 2019",31.98%
"June 30, 2019",66.56%
"March 31, 2019",53.25%
"Dec. 31, 2018",37.40%
"Sept. 30, 2018",53.52%
"June 30, 2018",35.54%
"March 31, 2018",39.70%
"Dec. 31, 2017",42.64%
"Sept. 30, 2017",53.95%
"June 30, 2017",45.12%
"March 31, 2017",45.00%
"Dec. 31, 2016",38.17%
"Sept. 30, 2016",42.60%
"June 30, 2016",33.71%
"March 31, 2016",39.08%
"Dec. 31, 2015",41.90%
"Sept. 30, 2015",38.87%
"June 30, 2015",56.60%
"March 31, 2015",63.74%
"Dec. 31, 2014",40.74%
"Sept. 30, 2014",35.75%
"June 30, 2014",28.41%
"March 31, 2014",30.56%
"Dec. 31, 2013",33.87%
"Sept. 30, 2013",35.77%
"June 30, 2013",31.72%
"March 31, 2013",35.12%
"Dec. 31, 2012",41.70%
"Sept. 30, 2012",33.71%
"June 30, 2012",38.95%
"March 31, 2012",34.11%
"Dec. 31, 2011",35.21%
"Sept. 30, 2011",46.90%
"June 30, 2011",69.80%
"March 31, 2011",42.78%
"Dec. 31, 2010",34.45%
"Sept. 30, 2010",29.54%
"June 30, 2010",23.78%
"March 31, 2010",21.54%
"Dec. 31, 2009",19.89%
"Sept. 30, 2009",26.76%
"June 30, 2009",26.73%
"March 31, 2009",23.16%
"Dec. 31, 2008",28.10%
"Sept. 30, 2008",21.65%
"June 30, 2008",21.44%
"March 31, 2008",34.89%
"Dec. 31, 2007",55.00%
"Sept. 30, 2007",30.63%
"June 30, 2007",30.02%
"March 31, 2007",21.88%
"Dec. 31, 2006",17.71%
"Sept. 30, 2006",19.61%
"June 30, 2006",19.24%
"March 31, 2006",16.39%
"Dec. 31, 2005",18.05%
"Sept. 30, 2005",20.38%
"June 30, 2005",27.83%
"March 31, 2005",24.62%
"Dec. 31, 2004",21.74%
"Sept. 30, 2004",16.80%
"June 30, 2004",13.92%
"March 31, 2004",15.47%
"Dec. 31, 2003",21.95%
"Sept. 30, 2003",37.19%
"June 30, 2003",78.61%
"March 31, 2003",485.1%
"Dec. 31, 2002",72.46%
"Sept. 30, 2002",102.0%
"June 30, 2002",-690.9%
"March 31, 2002",-97.01%
"Dec. 31, 2001",-67.39%
"Sept. 30, 2001",-132.7%
"June 30, 2001",76.84%
"March 31, 2001",73.71%
"Dec. 31, 2000",65.07%
"Sept. 30, 2000",54.40%
"June 30, 2000",-72.27%
"March 31, 2000",-80.60%
"Dec. 31, 1999",-31.99%
"Sept. 30, 1999",-66.75%
"June 30, 1999",-13.45K%
"March 31, 1999",103.1%
"Dec. 31, 1998",51.52%
