Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
01/07/2020,01/08/2020,01/30/2020,11/13/2019,Normal,0.9425
10/08/2019,10/09/2019,11/07/2019,09/26/2019,Normal,0.9425
07/09/2019,07/10/2019,08/01/2019,05/30/2019,Normal,0.9425
04/09/2019,04/10/2019,05/09/2019,03/20/2019,Normal,0.9425
12/31/2018,01/02/2019,01/31/2019,11/14/2018,Normal,0.8675
10/09/2018,10/10/2018,11/08/2018,09/27/2018,Normal,0.8675
07/10/2018,07/11/2018,08/02/2018,05/31/2018,Normal,0.8675
04/10/2018,04/11/2018,05/10/2018,03/21/2018,Normal,0.8675
01/02/2018,01/03/2018,02/01/2018,11/16/2017,Normal,0.7975
10/11/2017,10/12/2017,11/09/2017,09/28/2017,Normal,0.7975
06/30/2017,07/05/2017,08/03/2017,05/25/2017,Normal,0.7975
04/10/2017,04/12/2017,05/11/2017,03/31/2017,Normal,0.7975
12/30/2016,01/04/2017,02/02/2017,11/16/2016,Normal,0.7325
10/03/2016,10/05/2016,11/10/2016,09/22/2016,Normal,0.7325
07/01/2016,07/06/2016,08/04/2016,05/27/2016,Normal,0.7325
04/04/2016,04/06/2016,05/12/2016,03/23/2016,Normal,0.7325
01/04/2016,01/06/2016,02/04/2016,11/18/2015,Normal,0.67
10/05/2015,10/07/2015,11/12/2015,07/23/2015,Normal,0.67
06/29/2015,07/01/2015,08/06/2015,05/28/2015,Normal,0.67
03/30/2015,04/01/2015,04/30/2015,03/19/2015,Normal,0.67
01/05/2015,01/07/2015,02/05/2015,11/19/2014,Normal,0.605
09/29/2014,10/01/2014,10/30/2014,07/23/2014,Normal,0.605
06/30/2014,07/02/2014,08/07/2014,05/29/2014,Normal,0.605
03/31/2014,04/02/2014,05/01/2014,03/19/2014,Normal,0.605
12/30/2013,01/02/2014,02/06/2014,11/21/2013,Normal,0.55
09/30/2013,10/02/2013,10/31/2013,07/25/2013,Normal,0.55
07/01/2013,07/03/2013,08/08/2013,05/30/2013,Normal,0.55
04/01/2013,04/03/2013,05/02/2013,03/20/2013,Normal,0.55
12/28/2012,01/02/2013,02/07/2013,11/14/2012,Normal,0.50
10/01/2012,10/03/2012,11/01/2012,09/20/2012,Normal,0.50
