date,pe_10
"March 19, 2020",17.38
"March 18, 2020",16.13
"March 17, 2020",18.47
"March 16, 2020",18.57
"March 13, 2020",21.47
"March 12, 2020",20.65
"March 11, 2020",22.46
"March 10, 2020",24.82
"March 9, 2020",24.12
"March 6, 2020",26.24
"March 5, 2020",26.44
"March 4, 2020",28.85
"March 3, 2020",27.50
"March 2, 2020",27.57
"Feb. 28, 2020",27.02
"Feb. 27, 2020",27.69
"Feb. 26, 2020",28.70
"Feb. 25, 2020",29.14
"Feb. 24, 2020",30.95
"Feb. 21, 2020",31.83
"Feb. 20, 2020",31.58
"Feb. 19, 2020",31.87
"Feb. 18, 2020",32.09
"Feb. 14, 2020",32.55
"Feb. 13, 2020",32.49
"Feb. 12, 2020",32.92
"Feb. 11, 2020",32.85
"Feb. 10, 2020",33.03
"Feb. 7, 2020",33.04
"Feb. 6, 2020",32.74
"Feb. 5, 2020",32.47
"Feb. 4, 2020",32.12
"Feb. 3, 2020",31.36
"Jan. 31, 2020",31.65
"Jan. 30, 2020",32.39
"Jan. 29, 2020",32.57
"Jan. 28, 2020",32.61
"Jan. 27, 2020",32.73
"Jan. 24, 2020",33.13
"Jan. 23, 2020",32.99
"Jan. 22, 2020",32.87
"Jan. 21, 2020",32.81
"Jan. 17, 2020",33.14
"Jan. 16, 2020",33.28
"Jan. 15, 2020",32.87
"Jan. 14, 2020",32.58
"Jan. 13, 2020",32.54
"Jan. 10, 2020",32.45
"Jan. 9, 2020",32.76
"Jan. 8, 2020",32.58
"Jan. 7, 2020",32.46
"Jan. 6, 2020",32.60
"Jan. 3, 2020",32.64
"Jan. 2, 2020",32.16
"Dec. 31, 2019",31.48
"Dec. 30, 2019",32.36
"Dec. 27, 2019",32.48
"Dec. 26, 2019",32.48
"Dec. 24, 2019",32.24
"Dec. 23, 2019",32.31
"Dec. 20, 2019",31.95
"Dec. 19, 2019",31.76
"Dec. 18, 2019",31.48
"Dec. 17, 2019",32.01
"Dec. 16, 2019",32.23
"Dec. 13, 2019",31.95
"Dec. 12, 2019",32.07
"Dec. 11, 2019",32.01
"Dec. 10, 2019",31.82
"Dec. 9, 2019",31.82
"Dec. 6, 2019",31.92
"Dec. 5, 2019",31.58
"Dec. 4, 2019",31.58
"Dec. 3, 2019",31.42
"Dec. 2, 2019",31.46
"Nov. 29, 2019",31.95
"Nov. 27, 2019",32.12
"Nov. 26, 2019",31.91
"Nov. 25, 2019",31.79
"Nov. 22, 2019",31.80
"Nov. 21, 2019",31.72
"Nov. 20, 2019",31.90
"Nov. 19, 2019",32.05
"Nov. 18, 2019",32.23
"Nov. 15, 2019",32.17
"Nov. 14, 2019",31.85
"Nov. 13, 2019",31.65
"Nov. 12, 2019",31.88
"Nov. 11, 2019",31.75
"Nov. 8, 2019",31.72
"Nov. 7, 2019",31.60
"Nov. 6, 2019",31.65
"Nov. 5, 2019",31.32
"Nov. 4, 2019",31.50
"Nov. 1, 2019",31.76
"Oct. 31, 2019",31.19
"Oct. 30, 2019",31.50
"Oct. 29, 2019",31.11
"Oct. 28, 2019",31.10
"Oct. 25, 2019",31.18
"Oct. 24, 2019",31.04
"Oct. 23, 2019",29.92
"Oct. 22, 2019",30.09
"Oct. 21, 2019",29.72
"Oct. 18, 2019",29.36
"Oct. 17, 2019",29.30
"Oct. 16, 2019",29.45
"Oct. 15, 2019",29.31
"Oct. 14, 2019",29.30
"Oct. 11, 2019",29.21
"Oct. 10, 2019",29.19
"Oct. 9, 2019",28.82
"Oct. 8, 2019",28.25
"Oct. 7, 2019",28.51
"Oct. 4, 2019",28.58
"Oct. 3, 2019",28.47
"Oct. 2, 2019",28.11
"Oct. 1, 2019",28.24
"Sept. 30, 2019",28.83
"Sept. 27, 2019",29.50
"Sept. 26, 2019",29.87
"Sept. 25, 2019",29.80
"Sept. 24, 2019",29.52
"Sept. 23, 2019",29.69
"Sept. 20, 2019",29.42
"Sept. 19, 2019",30.08
"Sept. 18, 2019",30.23
"Sept. 17, 2019",30.33
"Sept. 16, 2019",30.79
"Sept. 13, 2019",29.99
"Sept. 12, 2019",29.80
"Sept. 11, 2019",29.14
"Sept. 10, 2019",29.12
"Sept. 9, 2019",28.58
"Sept. 6, 2019",28.74
"Sept. 5, 2019",27.96
"Sept. 4, 2019",27.68
"Sept. 3, 2019",27.48
"Aug. 30, 2019",27.97
"Aug. 29, 2019",27.57
"Aug. 28, 2019",27.08
"Aug. 27, 2019",26.92
"Aug. 26, 2019",27.42
"Aug. 23, 2019",27.24
"Aug. 22, 2019",28.22
"Aug. 21, 2019",27.93
"Aug. 20, 2019",27.98
"Aug. 19, 2019",27.04
"Aug. 16, 2019",26.89
"Aug. 15, 2019",26.94
"Aug. 14, 2019",26.93
"Aug. 13, 2019",27.71
"Aug. 12, 2019",27.70
"Aug. 9, 2019",28.20
"Aug. 8, 2019",28.41
