date,Open,High,Low,Close,Volume
"March 19, 2020",111.65,123.22,103.05,121.34,4.547M
"March 18, 2020",119.80,121.80,103.00,112.61,10.72M
"March 17, 2020",131.37,133.00,115.98,128.95,6.540M
"March 16, 2020",131.33,137.53,129.51,129.58,5.100M
"March 13, 2020",153.30,156.00,140.21,149.85,4.592M
"March 12, 2020",135.39,161.89,135.00,144.11,7.874M
"March 11, 2020",167.72,170.23,152.53,156.75,4.256M
"March 10, 2020",173.43,176.73,165.21,173.22,3.604M
"March 9, 2020",170.74,177.62,167.28,168.33,3.239M
"March 6, 2020",179.04,184.59,175.99,183.16,3.930M
"March 5, 2020",195.94,196.74,183.21,184.52,3.496M
"March 4, 2020",195.67,203.08,192.53,201.34,3.015M
"March 3, 2020",193.38,199.97,189.81,191.93,4.829M
"March 2, 2020",189.41,193.71,184.00,192.46,3.744M
"Feb. 28, 2020",185.66,194.38,182.44,188.56,5.071M
"Feb. 27, 2020",197.40,200.81,189.06,193.26,3.978M
"Feb. 26, 2020",204.26,210.51,200.20,200.30,2.736M
"Feb. 25, 2020",217.45,217.69,201.18,203.41,3.567M
"Feb. 24, 2020",215.97,218.48,214.03,216.05,1.965M
"Feb. 21, 2020",219.32,222.28,218.81,222.18,1.641M
"Feb. 20, 2020",222.48,222.74,218.24,220.44,1.982M
"Feb. 19, 2020",224.44,224.73,221.87,222.47,1.702M
"Feb. 18, 2020",226.07,226.38,223.25,224.00,2.038M
"Feb. 14, 2020",226.64,227.64,225.28,227.18,1.344M
"Feb. 13, 2020",228.90,230.18,226.76,226.76,2.505M
"Feb. 12, 2020",229.31,230.20,227.01,229.76,2.393M
"Feb. 11, 2020",231.30,232.49,228.50,229.31,1.992M
"Feb. 10, 2020",230.11,230.95,227.02,230.57,1.714M
"Feb. 7, 2020",227.86,231.81,227.64,230.61,2.771M
"Feb. 6, 2020",227.10,231.71,227.01,228.53,2.188M
"Feb. 5, 2020",226.05,226.99,224.76,226.64,1.670M
"Feb. 4, 2020",221.08,224.71,221.03,224.21,1.713M
"Feb. 3, 2020",220.80,222.59,217.90,218.87,2.028M
"Jan. 31, 2020",225.27,225.70,218.60,220.94,2.317M
"Jan. 30, 2020",225.00,228.59,222.43,226.10,2.998M
"Jan. 29, 2020",228.71,229.32,224.25,227.32,1.479M
"Jan. 28, 2020",228.27,229.00,223.10,227.62,2.331M
"Jan. 27, 2020",227.50,230.00,226.79,228.46,1.830M
"Jan. 24, 2020",230.79,232.38,229.28,231.24,2.673M
"Jan. 23, 2020",229.32,231.36,228.32,230.23,2.505M
"Jan. 22, 2020",228.98,231.86,228.23,229.41,2.205M
"Jan. 21, 2020",230.77,232.41,226.32,228.99,2.479M
"Jan. 17, 2020",232.47,233.48,231.21,231.34,1.878M
"Jan. 16, 2020",230.18,232.42,229.97,232.31,1.235M
"Jan. 15, 2020",228.00,229.93,227.01,229.41,1.341M
"Jan. 14, 2020",226.48,227.88,226.12,227.40,1.172M
"Jan. 13, 2020",227.06,228.00,226.12,227.15,1.391M
"Jan. 10, 2020",228.22,229.79,226.28,226.48,1.478M
"Jan. 9, 2020",227.00,228.78,227.00,228.65,1.040M
