date,price_to_book_value
"March 19, 2020",2.764
"March 18, 2020",2.565
"March 17, 2020",2.938
"March 16, 2020",2.952
"March 13, 2020",3.414
"March 12, 2020",3.283
"March 11, 2020",3.571
"March 10, 2020",3.946
"March 9, 2020",3.835
"March 6, 2020",4.172
"March 5, 2020",4.203
"March 4, 2020",4.586
"March 3, 2020",4.372
"March 2, 2020",4.384
"Feb. 28, 2020",4.295
"Feb. 27, 2020",4.402
"Feb. 26, 2020",4.563
"Feb. 25, 2020",4.634
"Feb. 24, 2020",4.922
"Feb. 21, 2020",5.061
"Feb. 20, 2020",5.022
"Feb. 19, 2020",5.068
"Feb. 18, 2020",5.103
"Feb. 14, 2020",5.175
"Feb. 13, 2020",5.166
"Feb. 12, 2020",5.234
"Feb. 11, 2020",5.224
"Feb. 10, 2020",5.252
"Feb. 7, 2020",5.252
"Feb. 6, 2020",5.205
"Feb. 5, 2020",5.162
"Feb. 4, 2020",5.107
"Feb. 3, 2020",4.985
"Jan. 31, 2020",5.032
"Jan. 30, 2020",5.150
"Jan. 29, 2020",5.178
"Jan. 28, 2020",5.184
"Jan. 27, 2020",5.204
"Jan. 24, 2020",5.267
"Jan. 23, 2020",5.244
"Jan. 22, 2020",5.225
"Jan. 21, 2020",5.216
"Jan. 17, 2020",5.269
"Jan. 16, 2020",5.291
"Jan. 15, 2020",5.225
"Jan. 14, 2020",5.179
"Jan. 13, 2020",5.174
"Jan. 10, 2020",5.158
"Jan. 9, 2020",5.208
"Jan. 8, 2020",5.179
"Jan. 7, 2020",5.160
"Jan. 6, 2020",5.182
"Jan. 3, 2020",5.189
"Jan. 2, 2020",5.113
"Dec. 31, 2019",5.005
"Dec. 30, 2019",4.723
"Dec. 27, 2019",4.740
"Dec. 26, 2019",4.741
"Dec. 24, 2019",4.705
"Dec. 23, 2019",4.716
"Dec. 20, 2019",4.664
"Dec. 19, 2019",4.636
"Dec. 18, 2019",4.594
"Dec. 17, 2019",4.672
"Dec. 16, 2019",4.704
"Dec. 13, 2019",4.664
"Dec. 12, 2019",4.680
"Dec. 11, 2019",4.672
"Dec. 10, 2019",4.645
"Dec. 9, 2019",4.645
"Dec. 6, 2019",4.659
"Dec. 5, 2019",4.610
"Dec. 4, 2019",4.609
"Dec. 3, 2019",4.586
"Dec. 2, 2019",4.592
"Nov. 29, 2019",4.664
"Nov. 27, 2019",4.688
"Nov. 26, 2019",4.657
"Nov. 25, 2019",4.640
"Nov. 22, 2019",4.642
"Nov. 21, 2019",4.629
"Nov. 20, 2019",4.656
"Nov. 19, 2019",4.678
"Nov. 18, 2019",4.704
"Nov. 15, 2019",4.695
"Nov. 14, 2019",4.648
"Nov. 13, 2019",4.620
"Nov. 12, 2019",4.652
"Nov. 11, 2019",4.634
"Nov. 8, 2019",4.63
"Nov. 7, 2019",4.612
"Nov. 6, 2019",4.619
"Nov. 5, 2019",4.571
"Nov. 4, 2019",4.598
"Nov. 1, 2019",4.635
"Oct. 31, 2019",4.552
"Oct. 30, 2019",4.597
"Oct. 29, 2019",4.540
"Oct. 28, 2019",4.539
"Oct. 25, 2019",4.551
"Oct. 24, 2019",4.531
"Oct. 23, 2019",4.366
"Oct. 22, 2019",4.391
"Oct. 21, 2019",4.338
"Oct. 18, 2019",4.278
"Oct. 17, 2019",4.269
"Oct. 16, 2019",4.291
