date,return_on_equity
"Dec. 31, 2019",27.59%
"Sept. 30, 2019",27.57%
"June 30, 2019",26.82%
"March 31, 2019",27.62%
"Dec. 31, 2018",27.14%
"Sept. 30, 2018",23.31%
"June 30, 2018",22.85%
"March 31, 2018",20.58%
"Dec. 31, 2017",19.40%
"Sept. 30, 2017",20.75%
"June 30, 2017",20.69%
"March 31, 2017",22.57%
"Dec. 31, 2016",21.92%
"Sept. 30, 2016",22.43%
"June 30, 2016",21.66%
"March 31, 2016",19.81%
"Dec. 31, 2015",21.29%
"Sept. 30, 2015",20.35%
"June 30, 2015",20.39%
"March 31, 2015",20.30%
"Dec. 31, 2014",20.22%
"Sept. 30, 2014",20.01%
"June 30, 2014",21.00%
"March 31, 2014",21.85%
"Dec. 31, 2013",22.30%
"Sept. 30, 2013",22.60%
"June 30, 2013",22.84%
"March 31, 2013",22.76%
"Dec. 31, 2012",22.35%
"Sept. 30, 2012",22.06%
"June 30, 2012",21.52%
"March 31, 2012",20.58%
"Dec. 31, 2011",19.32%
"Sept. 30, 2011",17.74%
"June 30, 2011",20.16%
"March 31, 2011",17.88%
"Dec. 31, 2010",18.52%
"Sept. 30, 2010",19.06%
"June 30, 2010",16.88%
"March 31, 2010",20.04%
"Dec. 31, 2009",20.55%
"Sept. 30, 2009",18.53%
"June 30, 2009",16.83%
"March 31, 2009",15.31%
"Dec. 31, 2008",14.00%
"Sept. 30, 2008",14.77%
"June 30, 2008",13.86%
"March 31, 2008",21.77%
"Dec. 31, 2007",21.90%
"Sept. 30, 2007",20.32%
"June 30, 2007",20.71%
"March 31, 2007",11.98%
"Dec. 31, 2006",11.56%
"Sept. 30, 2006",10.88%
"June 30, 2006",10.19%
"March 31, 2006",9.33%
"Dec. 31, 2005",8.24%
"Sept. 30, 2005",8.04%
"June 30, 2005",7.38%
"March 31, 2005",4.51%
"Dec. 31, 2004",3.83%
"Sept. 30, 2004",3.53%
"June 30, 2004",1.60%
"March 31, 2004",3.92%
"Dec. 31, 2003",4.04%
"Sept. 30, 2003",0.98%
"June 30, 2003",2.83%
"March 31, 2003",0.38%
"Dec. 31, 2002",-4.67%
"Sept. 30, 2002",-5.35%
"June 30, 2002",-9.33%
"March 31, 2002",-9.80%
"Dec. 31, 2001",-6.95%
"Sept. 30, 2001",-4.00%
"June 30, 2001",-0.36%
"March 31, 2001",1.84%
"Dec. 31, 2000",1.31%
"Sept. 30, 2000",0.42%
"June 30, 2000",-2.04%
"March 31, 2000",0.16%
"Dec. 31, 1999",3.68%
"Sept. 30, 1999",6.25%
"June 30, 1999",7.88%
"March 31, 1999",7.80%
"Dec. 31, 1998",7.93%
