date,accruals
"Dec. 31, 2019",-58.00M
"Sept. 30, 2019",-44.00M
"June 30, 2019",-92.00M
"March 31, 2019",72.00M
"Dec. 31, 2018",-240.00M
"Sept. 30, 2018",94.00M
"June 30, 2018",246.00M
"March 31, 2018",-270.00M
"Dec. 31, 2017",281.00M
"Sept. 30, 2017",-179.00M
"June 30, 2017",-265.00M
"March 31, 2017",-127.00M
"Dec. 31, 2016",-804.00M
"Sept. 30, 2016",-96.00M
"June 30, 2016",35.00M
"March 31, 2016",-121.00M
"Dec. 31, 2015",-60.20M
"Sept. 30, 2015",-203.63M
"June 30, 2015",-2.809M
"March 31, 2015",23.06M
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",-36.50M
"March 31, 2014",44.35M
"Dec. 31, 2013",7.705M
"Sept. 30, 2013",-1.753M
"June 30, 2013",-10.74M
"March 31, 2013",-8.868M
"Dec. 31, 2012",18.03M
"Sept. 30, 2012",-14.87M
"June 30, 2012",-2.796M
"March 31, 2012",0.718M
"Dec. 31, 2011",-10.79M
"Sept. 30, 2011",1.238M
"June 30, 2011",0.948M
"March 31, 2011",4.537M
