date,enterprise_value
"March 19, 2020",4.295B
"March 18, 2020",4.040B
"March 17, 2020",4.323B
"March 16, 2020",4.340B
"March 13, 2020",4.627B
"March 12, 2020",4.485B
"March 11, 2020",4.922B
"March 10, 2020",5.114B
"March 9, 2020",4.876B
"March 6, 2020",5.230B
"March 5, 2020",5.372B
"March 4, 2020",5.428B
"March 3, 2020",5.379B
"March 2, 2020",5.409B
"Feb. 28, 2020",5.294B
"Feb. 27, 2020",5.319B
"Feb. 26, 2020",5.497B
"Feb. 25, 2020",5.487B
"Feb. 24, 2020",5.599B
"Feb. 21, 2020",5.627B
"Feb. 20, 2020",5.599B
"Feb. 19, 2020",5.564B
"Feb. 18, 2020",5.592B
"Feb. 14, 2020",5.619B
"Feb. 13, 2020",5.616B
"Feb. 12, 2020",5.629B
"Feb. 11, 2020",5.600B
"Feb. 10, 2020",5.556B
"Feb. 7, 2020",5.633B
"Feb. 6, 2020",5.652B
"Feb. 5, 2020",5.692B
"Feb. 4, 2020",5.687B
"Feb. 3, 2020",5.674B
"Jan. 31, 2020",5.632B
"Jan. 30, 2020",5.658B
"Jan. 29, 2020",5.678B
"Jan. 28, 2020",5.630B
"Jan. 27, 2020",5.670B
"Jan. 24, 2020",5.667B
"Jan. 23, 2020",5.715B
"Jan. 22, 2020",5.702B
"Jan. 21, 2020",5.735B
"Jan. 17, 2020",5.754B
"Jan. 16, 2020",5.716B
"Jan. 15, 2020",5.722B
"Jan. 14, 2020",5.715B
"Jan. 13, 2020",5.667B
"Jan. 10, 2020",5.647B
"Jan. 9, 2020",5.651B
"Jan. 8, 2020",5.665B
"Jan. 7, 2020",5.658B
"Jan. 6, 2020",5.654B
"Jan. 3, 2020",5.621B
"Jan. 2, 2020",5.608B
"Dec. 31, 2019",5.589B
"Dec. 30, 2019",5.579B
"Dec. 27, 2019",5.605B
"Dec. 26, 2019",5.618B
"Dec. 24, 2019",5.634B
"Dec. 23, 2019",5.615B
"Dec. 20, 2019",5.581B
"Dec. 19, 2019",5.626B
"Dec. 18, 2019",5.638B
"Dec. 17, 2019",5.634B
"Dec. 16, 2019",5.610B
"Dec. 13, 2019",5.599B
"Dec. 12, 2019",5.560B
"Dec. 11, 2019",5.543B
"Dec. 10, 2019",5.571B
"Dec. 9, 2019",5.584B
"Dec. 6, 2019",5.562B
"Dec. 5, 2019",5.555B
"Dec. 4, 2019",5.568B
"Dec. 3, 2019",5.602B
"Dec. 2, 2019",5.597B
"Nov. 29, 2019",5.638B
"Nov. 27, 2019",5.600B
"Nov. 26, 2019",5.638B
"Nov. 25, 2019",5.652B
"Nov. 22, 2019",5.648B
"Nov. 21, 2019",5.678B
"Nov. 20, 2019",5.667B
"Nov. 19, 2019",5.646B
"Nov. 18, 2019",5.668B
"Nov. 15, 2019",5.737B
"Nov. 14, 2019",5.686B
"Nov. 13, 2019",5.691B
"Nov. 12, 2019",5.652B
"Nov. 11, 2019",5.688B
"Nov. 8, 2019",5.695B
"Nov. 7, 2019",5.742B
"Nov. 6, 2019",5.774B
"Nov. 5, 2019",5.730B
"Nov. 4, 2019",5.791B
"Nov. 1, 2019",5.863B
"Oct. 31, 2019",5.841B
"Oct. 30, 2019",5.822B
"Oct. 29, 2019",5.798B
"Oct. 28, 2019",5.773B
"Oct. 25, 2019",5.769B
"Oct. 24, 2019",5.764B
"Oct. 23, 2019",5.769B
"Oct. 22, 2019",5.734B
"Oct. 21, 2019",5.739B
"Oct. 18, 2019",5.749B
"Oct. 17, 2019",5.720B
"Oct. 16, 2019",5.688B
"Oct. 15, 2019",5.695B
"Oct. 14, 2019",5.676B
"Oct. 11, 2019",5.668B
"Oct. 10, 2019",5.644B
"Oct. 9, 2019",5.635B
"Oct. 8, 2019",5.669B
"Oct. 7, 2019",5.651B
"Oct. 4, 2019",5.646B
"Oct. 3, 2019",5.634B
"Oct. 2, 2019",5.625B
"Oct. 1, 2019",5.636B
"Sept. 30, 2019",5.662B
"Sept. 27, 2019",5.577B
"Sept. 26, 2019",5.538B
"Sept. 25, 2019",5.555B
"Sept. 24, 2019",5.585B
"Sept. 23, 2019",5.611B
"Sept. 20, 2019",5.608B
"Sept. 19, 2019",5.575B
"Sept. 18, 2019",5.567B
"Sept. 17, 2019",5.569B
"Sept. 16, 2019",5.543B
"Sept. 13, 2019",5.565B
"Sept. 12, 2019",5.559B
"Sept. 11, 2019",5.552B
"Sept. 10, 2019",5.566B
"Sept. 9, 2019",5.557B
"Sept. 6, 2019",5.539B
"Sept. 5, 2019",5.509B
"Sept. 4, 2019",5.517B
"Sept. 3, 2019",5.523B
"Aug. 30, 2019",5.561B
"Aug. 29, 2019",5.590B
"Aug. 28, 2019",5.534B
"Aug. 27, 2019",5.510B
"Aug. 26, 2019",5.525B
"Aug. 23, 2019",5.519B
"Aug. 22, 2019",5.530B
"Aug. 21, 2019",5.537B
"Aug. 20, 2019",5.496B
"Aug. 19, 2019",5.497B
"Aug. 16, 2019",5.483B
"Aug. 15, 2019",5.443B
"Aug. 14, 2019",5.491B
"Aug. 13, 2019",5.523B
"Aug. 12, 2019",5.497B
"Aug. 9, 2019",5.500B
"Aug. 8, 2019",5.537B
"Aug. 7, 2019",5.586B
"Aug. 6, 2019",5.650B
"Aug. 5, 2019",5.583B
"Aug. 2, 2019",5.728B
"Aug. 1, 2019",5.739B
"July 31, 2019",5.761B
"July 30, 2019",5.760B
"July 29, 2019",5.776B
"July 26, 2019",5.764B
"July 25, 2019",5.756B
"July 24, 2019",5.747B
"July 23, 2019",5.751B
"July 22, 2019",5.750B
"July 19, 2019",5.728B
"July 18, 2019",5.689B
"July 17, 2019",5.711B
"July 16, 2019",5.741B
"July 15, 2019",5.714B
"July 12, 2019",5.668B
"July 11, 2019",5.650B
"July 10, 2019",5.640B
"July 9, 2019",5.640B
"July 8, 2019",5.645B
"July 5, 2019",5.646B
"July 3, 2019",5.616B
"July 2, 2019",5.603B
"July 1, 2019",5.566B
"June 30, 2019",5.553B
"June 28, 2019",5.600B
"June 27, 2019",5.614B
"June 26, 2019",5.570B
"June 25, 2019",5.559B
"June 24, 2019",5.587B
"June 21, 2019",5.585B
"June 20, 2019",5.561B
"June 19, 2019",5.575B
"June 18, 2019",5.561B
"June 17, 2019",5.571B
"June 14, 2019",5.590B
"June 13, 2019",5.566B
"June 12, 2019",5.546B
"June 11, 2019",5.569B
"June 10, 2019",5.581B
"June 7, 2019",5.566B
"June 6, 2019",5.568B
"June 5, 2019",5.543B
"June 4, 2019",5.570B
"June 3, 2019",5.520B
"May 31, 2019",5.491B
"May 30, 2019",5.494B
"May 29, 2019",5.476B
"May 28, 2019",5.490B
"May 24, 2019",5.502B
"May 23, 2019",5.510B
"May 22, 2019",5.545B
"May 21, 2019",5.551B
"May 20, 2019",5.523B
"May 17, 2019",5.531B
"May 16, 2019",5.523B
"May 15, 2019",5.520B
"May 14, 2019",5.555B
"May 13, 2019",5.533B
"May 10, 2019",5.544B
"May 9, 2019",5.505B
"May 8, 2019",5.464B
"May 7, 2019",5.477B
"May 6, 2019",5.518B
"May 3, 2019",5.613B
"May 2, 2019",5.591B
"May 1, 2019",5.582B
"April 30, 2019",5.571B
"April 29, 2019",5.552B
"April 26, 2019",5.561B
"April 25, 2019",5.527B
"April 24, 2019",5.543B
"April 23, 2019",5.551B
"April 22, 2019",5.564B
"April 18, 2019",5.518B
"April 17, 2019",5.520B
"April 16, 2019",5.524B
"April 15, 2019",5.563B
"April 12, 2019",5.569B
"April 11, 2019",5.559B
"April 10, 2019",5.536B
"April 9, 2019",5.548B
"April 8, 2019",5.576B
"April 5, 2019",5.589B
"April 4, 2019",5.593B
"April 3, 2019",5.610B
"April 2, 2019",5.631B
"April 1, 2019",5.615B
"March 31, 2019",5.590B
"March 29, 2019",5.507B
"March 28, 2019",5.502B
"March 27, 2019",5.480B
"March 26, 2019",5.481B
"March 25, 2019",5.467B
"March 22, 2019",5.476B
"March 21, 2019",5.489B
"March 20, 2019",5.469B
"March 19, 2019",5.459B
"March 18, 2019",5.452B
"March 15, 2019",5.429B
"March 14, 2019",5.412B
"March 13, 2019",5.407B
"March 12, 2019",5.402B
"March 11, 2019",5.411B
"March 8, 2019",5.382B
"March 7, 2019",5.374B
"March 6, 2019",5.393B
"March 5, 2019",5.398B
"March 4, 2019",5.409B
"March 1, 2019",5.419B
