date,eps_est_0q
"March 17, 2020",0.6707
"Feb. 21, 2020",0.6707
"Feb. 20, 2020",0.6311
"Jan. 16, 2020",0.6548
"Jan. 15, 2020",0.6481
"Dec. 31, 2019",0.647
"Dec. 18, 2019",0.6589
"Dec. 16, 2019",0.6503
"Dec. 4, 2019",0.6517
"Nov. 15, 2019",0.667
"Nov. 13, 2019",0.6304
"Nov. 8, 2019",0.6258
"Nov. 7, 2019",0.606
"Oct. 28, 2019",0.588
"Oct. 23, 2019",0.5967
"Oct. 15, 2019",0.60
"Sept. 30, 2019",0.748
"Aug. 13, 2019",0.7367
"Aug. 12, 2019",0.734
"Aug. 8, 2019",0.685
"July 19, 2019",0.77
"July 15, 2019",0.7075
"June 30, 2019",0.5967
"May 21, 2019",0.5733
"May 9, 2019",0.5733
"May 6, 2019",0.5867
"April 25, 2019",0.5975
"April 15, 2019",0.648
"April 3, 2019",0.6675
"March 31, 2019",0.4667
"March 25, 2019",0.5167
"March 6, 2019",0.525
"Feb. 25, 2019",0.514
"Feb. 22, 2019",0.5567
"Feb. 21, 2019",0.5667
"Dec. 31, 2018",0.6733
"Dec. 27, 2018",0.6267
"Dec. 20, 2018",0.6267
"Dec. 12, 2018",0.64
"Dec. 11, 2018",0.642
"Nov. 29, 2018",0.646
"Nov. 21, 2018",0.646
"Nov. 15, 2018",0.6325
"Nov. 12, 2018",0.6425
"Nov. 9, 2018",0.6333
"Oct. 16, 2018",0.492
"Oct. 12, 2018",0.5275
"Oct. 4, 2018",0.54
"Sept. 30, 2018",0.604
"Sept. 12, 2018",0.61
"Aug. 28, 2018",0.616
"Aug. 15, 2018",0.6525
"Aug. 10, 2018",0.69
"Aug. 9, 2018",0.7233
"July 25, 2018",0.5833
"June 30, 2018",0.5667
"May 22, 2018",0.55
"May 18, 2018",0.55
"May 11, 2018",0.6167
"May 10, 2018",0.5867
"May 9, 2018",0.59
"April 27, 2018",0.59
"April 13, 2018",0.59
"March 31, 2018",0.5667
"Feb. 28, 2018",0.56
"Feb. 23, 2018",0.575
"Feb. 22, 2018",0.55
"Feb. 6, 2018",0.4075
"Feb. 1, 2018",0.4125
"Jan. 26, 2018",0.3953
"Jan. 25, 2018",0.3933
"Jan. 11, 2018",0.3392
