date,forward_pe_ratio_1y
"March 19, 2020",4.616
"March 18, 2020",3.671
"March 17, 2020",4.717
"March 16, 2020",4.782
"March 13, 2020",5.846
"March 12, 2020",5.317
"March 11, 2020",6.936
"March 10, 2020",7.646
"March 9, 2020",6.767
"March 6, 2020",8.077
"March 5, 2020",8.565
"March 4, 2020",8.774
"March 3, 2020",8.590
"March 2, 2020",8.70
"Feb. 28, 2020",8.277
"Feb. 27, 2020",8.369
"Feb. 26, 2020",9.028
"Feb. 25, 2020",8.988
"Feb. 24, 2020",9.404
"Feb. 21, 2020",9.505
"Feb. 20, 2020",9.404
"Feb. 19, 2020",9.273
"Feb. 18, 2020",9.377
"Feb. 14, 2020",9.475
"Feb. 13, 2020",9.469
"Feb. 12, 2020",9.518
"Feb. 11, 2020",9.410
"Feb. 10, 2020",9.248
"Feb. 7, 2020",9.530
"Feb. 6, 2020",9.600
"Feb. 5, 2020",9.750
"Feb. 4, 2020",9.732
"Feb. 3, 2020",9.683
"Jan. 31, 2020",9.527
"Jan. 30, 2020",9.625
"Jan. 29, 2020",9.698
"Jan. 28, 2020",9.521
"Jan. 27, 2020",9.668
"Jan. 24, 2020",9.658
"Jan. 23, 2020",9.833
"Jan. 22, 2020",9.787
"Jan. 21, 2020",9.906
"Jan. 17, 2020",9.977
"Jan. 16, 2020",9.839
"Jan. 15, 2020",9.861
"Jan. 14, 2020",9.833
"Jan. 13, 2020",9.655
"Jan. 10, 2020",9.585
"Jan. 9, 2020",9.597
"Jan. 8, 2020",9.649
"Jan. 7, 2020",9.625
"Jan. 6, 2020",9.610
"Jan. 3, 2020",9.487
"Jan. 2, 2020",9.438
"Dec. 31, 2019",9.371
"Dec. 30, 2019",9.847
"Dec. 27, 2019",9.947
"Dec. 26, 2019",9.999
"Dec. 24, 2019",10.06
"Dec. 23, 2019",9.990
"Dec. 20, 2019",9.857
"Dec. 19, 2019",10.03
"Dec. 18, 2019",10.08
"Dec. 17, 2019",10.06
"Dec. 16, 2019",9.967
"Dec. 13, 2019",9.925
"Dec. 12, 2019",9.773
"Dec. 11, 2019",9.708
"Dec. 10, 2019",9.815
"Dec. 9, 2019",9.867
"Dec. 6, 2019",9.782
"Dec. 5, 2019",9.753
"Dec. 4, 2019",9.805
"Dec. 3, 2019",9.938
"Dec. 2, 2019",9.918
"Nov. 29, 2019",10.08
"Nov. 27, 2019",9.931
"Nov. 26, 2019",10.08
"Nov. 25, 2019",10.13
"Nov. 22, 2019",10.12
"Nov. 21, 2019",10.24
"Nov. 20, 2019",10.19
"Nov. 19, 2019",10.11
"Nov. 18, 2019",10.20
"Nov. 15, 2019",10.46
"Nov. 14, 2019",10.27
"Nov. 13, 2019",10.28
"Nov. 12, 2019",10.13
"Nov. 11, 2019",10.27
"Nov. 8, 2019",10.30
"Nov. 7, 2019",10.48
"Nov. 6, 2019",10.61
"Nov. 5, 2019",10.44
"Nov. 4, 2019",10.68
"Nov. 1, 2019",10.96
"Oct. 31, 2019",10.87
"Oct. 30, 2019",10.80
"Oct. 29, 2019",10.70
"Oct. 28, 2019",10.60
"Oct. 25, 2019",10.59
"Oct. 24, 2019",10.57
"Oct. 23, 2019",10.59
"Oct. 22, 2019",10.45
"Oct. 21, 2019",10.47
"Oct. 18, 2019",10.51
"Oct. 17, 2019",10.40
"Oct. 16, 2019",10.27
"Oct. 15, 2019",10.30
"Oct. 14, 2019",10.23
"Oct. 11, 2019",10.20
"Oct. 10, 2019",10.10
"Oct. 9, 2019",10.07
"Oct. 8, 2019",10.20
"Oct. 7, 2019",10.13
"Oct. 4, 2019",10.11
"Oct. 3, 2019",10.06
"Oct. 2, 2019",10.03
"Oct. 1, 2019",10.07
"Sept. 30, 2019",10.17
"Sept. 27, 2019",10.21
"Sept. 26, 2019",10.06
"Sept. 25, 2019",10.13
"Sept. 24, 2019",10.24
"Sept. 23, 2019",10.35
"Sept. 20, 2019",10.33
"Sept. 19, 2019",10.20
"Sept. 18, 2019",10.17
"Sept. 17, 2019",10.18
"Sept. 16, 2019",10.08
"Sept. 13, 2019",10.16
"Sept. 12, 2019",10.14
"Sept. 11, 2019",10.11
"Sept. 10, 2019",10.17
"Sept. 9, 2019",10.13
"Sept. 6, 2019",10.06
"Sept. 5, 2019",9.944
"Sept. 4, 2019",9.976
"Sept. 3, 2019",9.999
"Aug. 30, 2019",10.15
"Aug. 29, 2019",10.26
"Aug. 28, 2019",10.04
"Aug. 27, 2019",9.947
"Aug. 26, 2019",10.01
"Aug. 23, 2019",9.983
"Aug. 22, 2019",10.03
"Aug. 21, 2019",10.05
"Aug. 20, 2019",9.896
"Aug. 19, 2019",9.899
"Aug. 16, 2019",9.844
"Aug. 15, 2019",9.685
"Aug. 14, 2019",9.873
"Aug. 13, 2019",9.999
"Aug. 12, 2019",9.899
"Aug. 9, 2019",9.909
"Aug. 8, 2019",10.05
"Aug. 7, 2019",10.25
"Aug. 6, 2019",10.50
"Aug. 5, 2019",10.24
"Aug. 2, 2019",10.80
"Aug. 1, 2019",10.84
"July 31, 2019",10.93
"July 30, 2019",10.93
"July 29, 2019",10.99
"July 26, 2019",10.94
"July 25, 2019",10.91
"July 24, 2019",10.88
"July 23, 2019",10.89
"July 22, 2019",10.89
"July 19, 2019",10.80
"July 18, 2019",10.65
"July 17, 2019",10.73
"July 16, 2019",10.85
"July 15, 2019",10.75
"July 12, 2019",10.57
"July 11, 2019",10.50
"July 10, 2019",10.46
"July 9, 2019",10.46
"July 8, 2019",10.48
"July 5, 2019",10.48
"July 3, 2019",10.36
"July 2, 2019",10.31
"July 1, 2019",10.17
"June 30, 2019",
"June 28, 2019",10.12
"June 27, 2019",10.17
"June 26, 2019",9.999
"June 25, 2019",9.957
"June 24, 2019",10.07
"June 21, 2019",10.06
"June 20, 2019",9.967
"June 19, 2019",10.02
"June 18, 2019",9.967
"June 17, 2019",10.01
"June 14, 2019",10.08
"June 13, 2019",9.986
"June 12, 2019",9.905
"June 11, 2019",9.996
"June 10, 2019",10.04
"June 7, 2019",9.986
"June 6, 2019",9.993
"June 5, 2019",9.896
"June 4, 2019",9.999
"June 3, 2019",9.805
"May 31, 2019",9.692
"May 30, 2019",9.705
"May 29, 2019",9.634
"May 28, 2019",9.685
"May 24, 2019",9.734
"May 23, 2019",9.766
"May 22, 2019",9.902
"May 21, 2019",9.925
"May 20, 2019",9.818
"May 17, 2019",9.847
"May 16, 2019",9.818
"May 15, 2019",9.805
"May 14, 2019",9.941
"May 13, 2019",9.854
"May 10, 2019",9.899
"May 9, 2019",9.747
"May 8, 2019",9.585
"May 7, 2019",9.637
"May 6, 2019",9.795
"May 3, 2019",10.17
"May 2, 2019",10.09
"May 1, 2019",10.05
"April 30, 2019",10.01
