date,free_cash_flow
"Dec. 31, 2019",96.00M
"Sept. 30, 2019",64.00M
"June 30, 2019",116.00M
"March 31, 2019",11.00M
"Dec. 31, 2018",127.00M
"Sept. 30, 2018",-12.00M
"June 30, 2018",-192.00M
"March 31, 2018",-65.00M
"Dec. 31, 2017",-87.00M
"Sept. 30, 2017",271.00M
"June 30, 2017",22.00M
"March 31, 2017",91.00M
"Dec. 31, 2016",133.00M
"Sept. 30, 2016",110.00M
"June 30, 2016",95.00M
"March 31, 2016",52.00M
"Dec. 31, 2015",234.36M
"Sept. 30, 2015",97.49M
"June 30, 2015",-29.01M
"March 31, 2015",-102.84M
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",9.607M
"March 31, 2014",-65.43M
"Dec. 31, 2013",-12.63M
"Sept. 30, 2013",-32.55M
"June 30, 2013",-9.631M
"March 31, 2013",-10.76M
"Dec. 31, 2012",-43.61M
"Sept. 30, 2012",15.50M
"June 30, 2012",0.817M
"March 31, 2012",-0.232M
"Dec. 31, 2011",-0.164M
"Sept. 30, 2011",-0.442M
"June 30, 2011",0.479M
"March 31, 2011",-4.646M
