date,long_term_debt
"Dec. 31, 2019",3.06B
"Sept. 30, 2019",3.06B
"June 30, 2019",2.995B
"March 31, 2019",3.029B
"Dec. 31, 2018",2.98B
"Sept. 30, 2018",2.774B
"June 30, 2018",2.602B
"March 31, 2018",2.283B
"Dec. 31, 2017",4.284B
"Sept. 30, 2017",4.182B
"June 30, 2017",4.362B
"March 31, 2017",4.295B
"Dec. 31, 2016",4.509B
"Sept. 30, 2016",4.473B
"June 30, 2016",4.189B
"March 31, 2016",4.193B
"Dec. 31, 2015",1.953B
"Sept. 30, 2015",2.443B
"June 30, 2015",1.694B
"March 31, 2015",856.19M
"Dec. 31, 2014",1.092B
"Sept. 30, 2014",273.03M
"June 30, 2014",235.78M
"March 31, 2014",233.54M
"Dec. 31, 2013",185.63M
"Sept. 30, 2013",184.22M
"June 30, 2013",181.73M
"March 31, 2013",181.74M
"Dec. 31, 2012",184.83M
"Sept. 30, 2012",181.75M
"June 30, 2012",1.087M
"March 31, 2012",1.093M
"Dec. 31, 2011",1.098M
