date,one_month_return
"March 19, 2020",-50.46%
"March 18, 2020",-61.04%
"March 17, 2020",-50.45%
"March 16, 2020",-49.77%
"March 13, 2020",-38.55%
"March 12, 2020",-44.40%
"March 11, 2020",-26.62%
"March 10, 2020",-17.68%
"March 9, 2020",-29.31%
"March 6, 2020",-16.24%
"March 5, 2020",-12.15%
"March 4, 2020",-9.85%
"March 3, 2020",-11.29%
"March 2, 2020",-8.68%
"Feb. 28, 2020",-13.06%
"Feb. 27, 2020",-13.43%
"Feb. 26, 2020",-6.53%
"Feb. 25, 2020",-6.94%
"Feb. 24, 2020",-2.63%
"Feb. 21, 2020",-4.05%
"Feb. 20, 2020",-5.74%
"Feb. 19, 2020",-7.06%
"Feb. 18, 2020",-6.02%
"Feb. 14, 2020",-3.64%
"Feb. 13, 2020",-1.93%
"Feb. 12, 2020",-0.70%
"Feb. 11, 2020",-1.82%
"Feb. 10, 2020",-3.51%
"Feb. 7, 2020",-0.99%
"Feb. 6, 2020",-0.10%
"Feb. 5, 2020",2.78%
"Feb. 4, 2020",2.58%
"Feb. 3, 2020",2.07%
"Jan. 31, 2020",1.67%
"Jan. 30, 2020",3.25%
"Jan. 29, 2020",2.99%
"Jan. 28, 2020",1.11%
"Jan. 27, 2020",2.67%
"Jan. 24, 2020",1.41%
"Jan. 23, 2020",3.98%
"Jan. 22, 2020",4.89%
"Jan. 21, 2020",6.17%
"Jan. 17, 2020",4.73%
"Jan. 16, 2020",4.28%
"Jan. 15, 2020",4.95%
"Jan. 14, 2020",4.66%
"Jan. 13, 2020",2.77%
"Jan. 10, 2020",3.16%
"Jan. 9, 2020",2.75%
"Jan. 8, 2020",4.20%
"Jan. 7, 2020",3.94%
"Jan. 6, 2020",3.77%
"Jan. 3, 2020",0.85%
"Jan. 2, 2020",0.52%
"Dec. 31, 2019",-1.77%
"Dec. 30, 2019",-2.28%
"Dec. 27, 2019",0.16%
"Dec. 26, 2019",-0.77%
"Dec. 24, 2019",-0.54%
"Dec. 23, 2019",-1.25%
"Dec. 20, 2019",-3.27%
"Dec. 19, 2019",-0.77%
"Dec. 18, 2019",-1.17%
"Dec. 17, 2019",-3.83%
"Dec. 16, 2019",-4.76%
"Dec. 13, 2019",-3.49%
"Dec. 12, 2019",-3.54%
"Dec. 11, 2019",-5.51%
"Dec. 10, 2019",-4.71%
"Dec. 9, 2019",-4.21%
"Dec. 6, 2019",-7.80%
"Dec. 5, 2019",-6.57%
"Dec. 4, 2019",-8.15%
"Dec. 3, 2019",-9.30%
"Dec. 2, 2019",-9.48%
"Nov. 29, 2019",-5.86%
"Nov. 27, 2019",-6.23%
"Nov. 26, 2019",-4.86%
"Nov. 25, 2019",-4.34%
"Nov. 22, 2019",-3.22%
"Nov. 21, 2019",-2.29%
"Nov. 20, 2019",-3.08%
"Nov. 19, 2019",-3.85%
"Nov. 18, 2019",-3.02%
"Nov. 15, 2019",1.60%
"Nov. 14, 2019",0.41%
"Nov. 13, 2019",0.86%
"Nov. 12, 2019",-0.63%
"Nov. 11, 2019",0.76%
"Nov. 8, 2019",0.98%
"Nov. 7, 2019",3.51%
"Nov. 6, 2019",4.96%
"Nov. 5, 2019",3.26%
"Nov. 4, 2019",5.60%
"Nov. 1, 2019",8.80%
"Oct. 31, 2019",6.87%
"Oct. 30, 2019",6.14%
"Oct. 29, 2019",4.81%
"Oct. 28, 2019",3.83%
"Oct. 25, 2019",4.60%
"Oct. 24, 2019",3.22%
"Oct. 23, 2019",2.38%
"Oct. 22, 2019",1.16%
"Oct. 21, 2019",1.38%
"Oct. 18, 2019",3.34%
"Oct. 17, 2019",2.13%
"Oct. 16, 2019",1.93%
"Oct. 15, 2019",1.34%
"Oct. 14, 2019",0.60%
"Oct. 11, 2019",0.83%
"Oct. 10, 2019",-0.64%
"Oct. 9, 2019",-0.64%
"Oct. 8, 2019",1.38%
"Oct. 7, 2019",0.68%
