date,peg_ratio
"June 29, 2016",7.464
"June 28, 2016",7.332
"June 27, 2016",7.132
"June 24, 2016",7.347
"June 23, 2016",7.533
"June 22, 2016",7.372
"June 21, 2016",7.552
"June 20, 2016",7.308
"June 17, 2016",7.347
"June 16, 2016",7.078
"June 15, 2016",7.166
"June 14, 2016",7.156
"June 13, 2016",7.161
"June 10, 2016",7.205
"June 9, 2016",7.288
"June 8, 2016",7.562
"June 7, 2016",8.242
"June 6, 2016",8.237
"June 3, 2016",8.132
"June 2, 2016",8.254
"June 1, 2016",8.249
"May 31, 2016",8.107
"May 27, 2016",8.205
"May 26, 2016",8.163
"May 25, 2016",8.254
"May 24, 2016",8.266
"May 23, 2016",8.224
"May 20, 2016",8.183
"May 19, 2016",7.929
"May 18, 2016",7.987
"May 17, 2016",8.156
"May 16, 2016",8.303
"May 13, 2016",8.146
"May 12, 2016",8.212
"May 11, 2016",8.276
"May 10, 2016",8.073
"May 9, 2016",7.953
"May 6, 2016",8.078
"May 5, 2016",8.215
"May 4, 2016",8.310
"May 3, 2016",8.53
"May 2, 2016",8.660
"April 29, 2016",8.772
"April 28, 2016",8.870
"April 27, 2016",8.880
"April 26, 2016",8.777
"April 25, 2016",8.613
"April 22, 2016",8.814
"April 21, 2016",8.469
"April 20, 2016",8.64
"April 19, 2016",8.449
"April 18, 2016",8.242
"April 15, 2016",8.002
"April 14, 2016",8.207
"April 13, 2016",8.229
"April 12, 2016",8.256
"April 11, 2016",7.841
"April 8, 2016",7.892
"April 7, 2016",7.895
"April 6, 2016",7.938
"April 5, 2016",7.772
"April 4, 2016",7.790
"April 1, 2016",7.907
"March 31, 2016",8.097
"March 30, 2016",32.68
"March 29, 2016",32.38
"March 28, 2016",32.23
"March 24, 2016",32.08
"March 23, 2016",32.05
"March 22, 2016",33.23
"March 21, 2016",33.31
"March 18, 2016",33.32
"March 17, 2016",33.64
"March 16, 2016",33.34
"March 15, 2016",32.90
"March 14, 2016",32.59
"March 11, 2016",33.07
"March 10, 2016",32.01
"March 9, 2016",32.07
"March 8, 2016",32.39
"March 7, 2016",33.28
"March 4, 2016",32.57
"March 3, 2016",32.81
"March 2, 2016",32.68
"March 1, 2016",30.57
"Feb. 29, 2016",29.88
"Feb. 26, 2016",30.64
"Feb. 25, 2016",29.01
"Feb. 24, 2016",30.42
"Feb. 23, 2016",30.07
"Feb. 22, 2016",30.78
"Feb. 19, 2016",29.35
"Feb. 18, 2016",29.61
"Feb. 17, 2016",29.62
"Feb. 16, 2016",28.00
"Feb. 12, 2016",24.00
"Feb. 11, 2016",23.07
"Feb. 10, 2016",23.67
"Feb. 9, 2016",23.38
"Feb. 8, 2016",24.32
"Feb. 5, 2016",28.96
"Feb. 4, 2016",31.10
"Feb. 3, 2016",30.17
"Feb. 2, 2016",32.51
"Feb. 1, 2016",33.28
"Jan. 29, 2016",33.82
"Jan. 28, 2016",33.95
"Jan. 27, 2016",33.63
"Jan. 26, 2016",32.46
"Jan. 25, 2016",30.21
"Jan. 22, 2016",29.95
"Jan. 21, 2016",28.03
"Jan. 20, 2016",29.10
"Jan. 19, 2016",31.97
"Jan. 15, 2016",34.70
"Jan. 14, 2016",34.28
"Jan. 13, 2016",33.00
"Jan. 12, 2016",34.38
"Jan. 11, 2016",34.82
"Jan. 8, 2016",36.48
"Jan. 7, 2016",37.08
"Jan. 6, 2016",38.11
"Jan. 5, 2016",39.32
"Jan. 4, 2016",39.37
"Dec. 31, 2015",39.38
"Dec. 30, 2015",0.4078
"Dec. 29, 2015",0.3997
"Dec. 28, 2015",0.3919
"Dec. 24, 2015",0.4041
"Dec. 23, 2015",0.406
"Dec. 22, 2015",0.3841
"Dec. 21, 2015",0.3689
"Dec. 18, 2015",0.3659
"Dec. 17, 2015",0.3742
"Dec. 16, 2015",0.3844
"Dec. 15, 2015",0.3746
"Dec. 14, 2015",0.3687
"Dec. 11, 2015",0.3743
"Dec. 10, 2015",0.3895
"Dec. 9, 2015",0.3749
"Dec. 8, 2015",0.3641
"Dec. 7, 2015",0.3708
"Dec. 4, 2015",0.3768
"Dec. 3, 2015",0.3821
"Dec. 2, 2015",0.3816
"Dec. 1, 2015",0.3849
"Nov. 30, 2015",0.3867
"Nov. 27, 2015",0.3926
"Nov. 25, 2015",0.3935
"Nov. 24, 2015",0.3966
"Nov. 23, 2015",0.3992
"Nov. 20, 2015",0.3991
"Nov. 19, 2015",0.408
"Nov. 18, 2015",0.3938
"Nov. 17, 2015",0.3741
"Nov. 16, 2015",0.3635
"Nov. 13, 2015",0.3444
"Nov. 12, 2015",0.3501
"Nov. 11, 2015",0.3573
"Nov. 10, 2015",0.3657
"Nov. 9, 2015",0.3664
"Nov. 6, 2015",0.3742
"Nov. 5, 2015",0.3758
"Nov. 4, 2015",0.3483
"Nov. 3, 2015",0.3502
"Nov. 2, 2015",0.3457
"Oct. 30, 2015",0.3585
"Oct. 29, 2015",0.3541
"Oct. 28, 2015",0.3376
"Oct. 27, 2015",0.3401
"Oct. 26, 2015",0.3551
"Oct. 23, 2015",0.3681
"Oct. 22, 2015",0.3728
"Oct. 21, 2015",0.3823
"Oct. 20, 2015",0.3796
"Oct. 19, 2015",0.3768
"Oct. 16, 2015",0.3836
"Oct. 15, 2015",0.3802
"Oct. 14, 2015",0.3806
"Oct. 13, 2015",0.3713
"Oct. 12, 2015",0.373
"Oct. 9, 2015",0.3763
"Oct. 8, 2015",0.3654
"Oct. 7, 2015",0.3601
"Oct. 6, 2015",0.3563
"Oct. 5, 2015",0.3541
"Oct. 2, 2015",0.3515
"Oct. 1, 2015",0.355
"Sept. 30, 2015",0.3518
"Sept. 29, 2015",
"Sept. 28, 2015",
"Sept. 25, 2015",
"Sept. 24, 2015",
"Sept. 23, 2015",
"Sept. 22, 2015",
"Sept. 21, 2015",
"Sept. 18, 2015",
"Sept. 17, 2015",
"Sept. 16, 2015",
"Sept. 15, 2015",
"Sept. 14, 2015",
"Sept. 11, 2015",
"Sept. 10, 2015",
"Sept. 9, 2015",
"Sept. 8, 2015",
"Sept. 4, 2015",
"Sept. 3, 2015",
"Sept. 2, 2015",
"Sept. 1, 2015",
"Aug. 31, 2015",
"Aug. 28, 2015",
"Aug. 27, 2015",
"Aug. 26, 2015",
"Aug. 25, 2015",
"Aug. 24, 2015",
"Aug. 21, 2015",
"Aug. 20, 2015",
"Aug. 19, 2015",
"Aug. 18, 2015",
"Aug. 17, 2015",
"Aug. 14, 2015",
"Aug. 13, 2015",
"Aug. 12, 2015",
"Aug. 11, 2015",
"Aug. 10, 2015",
"Aug. 7, 2015",
"Aug. 6, 2015",
"Aug. 5, 2015",
"Aug. 4, 2015",
"Aug. 3, 2015",
"July 31, 2015",
"July 30, 2015",
"July 29, 2015",
"July 28, 2015",
"July 27, 2015",
"July 24, 2015",
"July 23, 2015",
"July 22, 2015",
"July 21, 2015",
"July 20, 2015",
"July 17, 2015",
"July 16, 2015",
"July 15, 2015",
"July 14, 2015",
"July 13, 2015",
"July 10, 2015",
"July 9, 2015",
"July 8, 2015",
"July 7, 2015",
"July 6, 2015",
"July 2, 2015",
"July 1, 2015",
"June 30, 2015",
"June 29, 2015",
"June 26, 2015",
"June 25, 2015",
"June 24, 2015",
"June 23, 2015",
"June 22, 2015",
"June 19, 2015",
"June 18, 2015",
"June 17, 2015",
"June 16, 2015",
"June 15, 2015",
"June 12, 2015",
"June 11, 2015",
"June 10, 2015",
"June 9, 2015",
"June 8, 2015",
"June 5, 2015",
"June 4, 2015",
"June 3, 2015",
"June 2, 2015",
"June 1, 2015",
"May 29, 2015",
"May 28, 2015",
"May 27, 2015",
"May 26, 2015",
"May 22, 2015",
"May 21, 2015",
"May 20, 2015",
"May 19, 2015",
"May 18, 2015",
"May 15, 2015",
"May 14, 2015",
"May 13, 2015",
